,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
3,122.0,8.0,raikkonen,2.0,1.0,Finished,77739.0,150462.0,223829.0,299408.0,377390.0,455004.0,529585.0,602301.0,673918.0,746746.0,819210.0,891388.0,963635.0,1035834.0,1108151.0,1180712.0,1253427.0,1326436.0,1428445.0,1508005.0,1592064.0,1707107.0,1794907.0,1877411.0,1957610.0,2037044.0,2115908.0,2195428.0,2275893.0,2354809.0,2433344.0,2512239.0,2591134.0,2671126.0,2751986.0,2832266.0,2912418.0,2992805.0,3074096.0,3152772.0,3259213.0,3345524.0,3422304.0,3497577.0,3572425.0,3646930.0,3721834.0,3796193.0,3870233.0,3944726.0,4019051.0,4093771.0,4167934.0,4242384.0,4316598.0,4390826.0,4464679.0,4537950.0,4612212.0,4685704.0,4759674.0,4833513.0,4906652.0,4979610.0,5052486.0,5125443.0,5198306.0,5271131.0,5343918.0,5416376.0,5488734.0,5561311.0,5634255.0
15,122.0,44.0,panis,17.0,3.0,Accident,79353.0,152951.0,227479.0,303133.0,382793.0,496514.0,580955.0,662548.0,745782.0,860317.0,939077.0,1012417.0,1085993.0,1160319.0,1234974.0,1310199.0,1422961.0,1506759.0,1590642.0,1671963.0,1753720.0,1834267.0,1916249.0,1999687.0,2114290.0,2206543.0,2289041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,122.0,23.0,ralf_schumacher,19.0,3.0,Accident,79856.0,153118.0,226625.0,301633.0,378795.0,457408.0,532868.0,605716.0,677616.0,749619.0,821301.0,893270.0,964925.0,1036898.0,1134405.0,1211427.0,1285132.0,1358969.0,1433166.0,1507818.0,1591928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,122.0,30.0,michael_schumacher,1.0,1.0,Finished,81077.0,154186.0,227936.0,303219.0,381420.0,461849.0,539239.0,613172.0,685659.0,758042.0,830247.0,902499.0,973972.0,1045807.0,1117929.0,1190255.0,1264132.0,1336695.0,1409147.0,1507882.0,1637555.0,1722373.0,1800553.0,1880478.0,1961443.0,2040062.0,2117042.0,2194533.0,2272584.0,2350271.0,2428157.0,2505824.0,2585864.0,2664088.0,2743351.0,2821209.0,2899631.0,2979057.0,3056154.0,3132955.0,3209582.0,3287958.0,3364396.0,3439648.0,3514472.0,3589399.0,3664495.0,3768304.0,3852014.0,3926761.0,4000760.0,4074799.0,4148897.0,4222543.0,4296381.0,4369959.0,4443391.0,4516632.0,4589987.0,4663459.0,4737381.0,4810616.0,4883791.0,4956731.0,5029376.0,5102009.0,5176240.0,5249390.0,5322480.0,5395737.0,5468745.0,5541641.0,5615997.0
9,122.0,22.0,barrichello,20.0,4.0,Collision,81848.0,155753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,122.0,14.0,coulthard,14.0,6.0,Gearbox,82020.0,155270.0,228984.0,305153.0,383411.0,461908.0,536123.0,608757.0,680979.0,753529.0,825865.0,897874.0,970102.0,1042519.0,1117254.0,1190028.0,1289708.0,1368264.0,1442000.0,1516275.0,1603274.0,1697222.0,1796282.0,1899757.0,1997331.0,2094466.0,2190872.0,2287084.0,2384196.0,2512981.0,2611760.0,2703303.0,2792807.0,2880558.0,2981416.0,3075863.0,3157045.0,3236429.0,3314402.0,3390216.0,3464881.0,3538624.0,3611972.0,3686049.0,3759420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,122.0,31.0,montoya,6.0,11.0,+1 Lap,82263.0,155951.0,231080.0,305905.0,383866.0,462326.0,538099.0,610026.0,681621.0,754012.0,826273.0,899122.0,970911.0,1042805.0,1115151.0,1187319.0,1292031.0,1371167.0,1445007.0,1518955.0,1608857.0,1718489.0,1861607.0,1950547.0,2031866.0,2112721.0,2193372.0,2274369.0,2355852.0,2436496.0,2517601.0,2598907.0,2688982.0,2775467.0,2860886.0,2947743.0,3034507.0,3144457.0,3237883.0,3317643.0,3394110.0,3469044.0,3542827.0,3617455.0,3691143.0,3764747.0,3838033.0,3911748.0,3984957.0,4058701.0,4132385.0,4206378.0,4280386.0,4353667.0,4427190.0,4500327.0,4573448.0,4646551.0,4719356.0,4792415.0,4865228.0,4938207.0,5011714.0,5084471.0,5156872.0,5230782.0,5305424.0,5380143.0,5456332.0,5531546.0,5607577.0,5684084.0,
2,122.0,4.0,alonso,15.0,5.0,Engine,83014.0,156813.0,229783.0,305438.0,383002.0,462539.0,539119.0,611195.0,682720.0,754500.0,826822.0,899605.0,971621.0,1043598.0,1116163.0,1188243.0,1260803.0,1356708.0,1435503.0,1508583.0,1592360.0,1709910.0,1797541.0,1879539.0,1960988.0,2042631.0,2123013.0,2201897.0,2281145.0,2359992.0,2439490.0,2519611.0,2602348.0,2688795.0,2776895.0,2888372.0,2989265.0,3074788.0,3155514.0,3235881.0,3312868.0,3388826.0,3463719.0,3537420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,122.0,15.0,trulli,4.0,1.0,Finished,83366.0,157030.0,230756.0,306781.0,384780.0,463858.0,540242.0,613243.0,685867.0,758573.0,830644.0,903268.0,975395.0,1047410.0,1119697.0,1191949.0,1265032.0,1337884.0,1411793.0,1510758.0,1616837.0,1743016.0,1833618.0,1915938.0,1997620.0,2077453.0,2156587.0,2235217.0,2313534.0,2392118.0,2470919.0,2549843.0,2628799.0,2707501.0,2787895.0,2867091.0,2948126.0,3029691.0,3109709.0,3188959.0,3267427.0,3370075.0,3454543.0,3530193.0,3604801.0,3680324.0,3756125.0,3831862.0,3906735.0,3980497.0,4054130.0,4128119.0,4202065.0,4276156.0,4349989.0,4423476.0,4496767.0,4569953.0,4642384.0,4715065.0,4787977.0,4860518.0,4934302.0,5007469.0,5080086.0,5154192.0,5227840.0,5300910.0,5373685.0,5446212.0,5518484.0,5591083.0,5664326.0
14,122.0,43.0,matta,9.0,12.0,+2 Laps,84214.0,158734.0,232907.0,308779.0,387248.0,465480.0,567747.0,656468.0,737370.0,818955.0,927734.0,1006365.0,1079596.0,1153219.0,1227143.0,1301576.0,1377054.0,1452583.0,1528824.0,1639885.0,1728801.0,1810897.0,1892443.0,1972730.0,2052204.0,2132154.0,2211464.0,2293106.0,2376111.0,2457876.0,2541212.0,2664331.0,2753274.0,2833738.0,2913728.0,2995134.0,3076308.0,3158724.0,3241028.0,3348707.0,3436469.0,3512091.0,3587311.0,3661928.0,3736371.0,3826311.0,3907806.0,3981581.0,4055492.0,4130115.0,4206036.0,4281726.0,4355911.0,4429935.0,4503869.0,4577947.0,4651977.0,4725869.0,4799988.0,4874367.0,4948251.0,5022506.0,5096387.0,5170769.0,5244640.0,5318415.0,5392625.0,5466317.0,5540375.0,5614099.0,5688051.0,,
