,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,vettel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,grosjean,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,hamilton,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,webber,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,hulkenberg,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
5,perez,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6,alonso,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5
7,bottas,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,resta,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,11,10,10,10,10,11,11,11,11,10,10,10,10,10,10,10,11,11,11,11,11,12,16,16,16,16,16,16,16
9,ricciardo,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,14,14,14,14,14,13,13,13,13,12,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,11,11
10,rosberg,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,13,13,13,13,13,12,12,12,11,11,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
11,kovalainen,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,15,14,11,11,11,11,11,10,11,11,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15
12,massa,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,15,15,15,15,15,15,14,14,14,14,13,13,13,13,13,12,12,16,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14,14,13
13,gutierrez,14,20,20,20,19,18,17,17,16,16,16,16,16,16,16,16,16,15,15,15,14,13,9,8,7,7,6,6,7,8,8,8,8,8,9,9,15,15,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,14
14,button,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,16,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14,13,13,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,10
15,vergne,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,12,8,7,8,9,10,16,16,16,16,15,15,15,15,15,14,14,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12
16,maldonado,17,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,19,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,15,15,15,15,15,15,15,16,16,16,16,17,17,17,17,17,17,0
17,jules_bianchi,18,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0
18,garde,19,18,18,18,18,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0
19,pic,20,19,19,19,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0
