,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
16,142.0,55.0,alesi,9.0,11.0,+1 Lap,116718.0,224056.0,333340.0,494117.0,691563.0,838179.0,1020387.0,1205660.0,1381841.0,1553256.0,1675205.0,1798585.0,1920980.0,2043050.0,2164451.0,2286192.0,2408017.0,2529860.0,2651050.0,2772873.0,2892989.0,3013712.0,3141013.0,3282154.0,3396681.0,3511188.0,3624839.0,3736854.0,3848304.0,3958781.0,4067840.0,4176444.0,4286180.0,4394403.0,4502013.0,4609514.0,4719865.0,4826337.0,4932484.0,5040274.0,5146190.0,5251141.0,5356063.0,5461278.0,5568132.0,5676121.0,5783097.0,5892431.0,5997678.0,6101704.0,6206253.0,6310600.0,6414453.0,6519431.0,
5,142.0,18.0,button,11.0,12.0,+2 Laps,117138.0,224995.0,341451.0,594726.0,793099.0,929163.0,1055112.0,1212111.0,1388593.0,1558540.0,1678744.0,1798248.0,1929559.0,2050051.0,2169930.0,2291976.0,2414374.0,2537993.0,2661780.0,2784999.0,2908893.0,3034942.0,3165586.0,3310912.0,3426858.0,3545556.0,3661955.0,3776352.0,3889363.0,4004532.0,4114489.0,4226341.0,4334404.0,4441979.0,4549758.0,4657348.0,4764203.0,4870687.0,4977219.0,5083935.0,5190548.0,5296568.0,5403314.0,5511385.0,5617468.0,5723124.0,5829837.0,5935848.0,6041814.0,6149519.0,6254798.0,6359689.0,6464939.0,,
6,142.0,21.0,fisichella,15.0,32.0,Fuel pressure,117538.0,224520.0,339054.0,533499.0,702727.0,857835.0,1020997.0,1206120.0,1382543.0,1553700.0,1676055.0,1796751.0,1914648.0,2034429.0,2154015.0,2273728.0,2393683.0,2513477.0,2634216.0,2760150.0,2911727.0,3030697.0,3145346.0,3259090.0,3371988.0,3485211.0,3598671.0,3714354.0,3827496.0,3939079.0,4050182.0,,,,,,,,,,,,,,,,,,,,,,,,
20,142.0,59.0,bernoldi,18.0,20.0,Spun off,117879.0,225173.0,334479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,142.0,54.0,burti,10.0,11.0,+1 Lap,118474.0,225895.0,343088.0,596349.0,801753.0,944850.0,1077950.0,1216675.0,1392173.0,1559223.0,1679719.0,1798997.0,1919340.0,2039864.0,2160866.0,2282796.0,2404985.0,2526189.0,2647665.0,2767644.0,2888623.0,3008638.0,3137370.0,3288914.0,3404909.0,3519819.0,3633951.0,3747271.0,3861252.0,3973606.0,4084122.0,4194896.0,4305422.0,4414580.0,4525001.0,4634897.0,4743077.0,4850327.0,4959720.0,5066517.0,5172309.0,5277599.0,5384488.0,5489687.0,5595551.0,5702592.0,5807500.0,5911614.0,6015851.0,6119769.0,6223928.0,6327625.0,6432255.0,6538369.0,
19,142.0,58.0,marques,14.0,14.0,+4 Laps,119720.0,227598.0,347099.0,597513.0,807064.0,954901.0,1090218.0,1221319.0,1393391.0,1560355.0,1684523.0,1806902.0,1929237.0,2051568.0,2173449.0,2295924.0,2418451.0,2540355.0,2662677.0,2785535.0,2909496.0,3033838.0,3156607.0,3279791.0,3407103.0,3532245.0,3658468.0,3834460.0,4004994.0,4126650.0,4244917.0,4359726.0,4473957.0,4588067.0,4702700.0,4814921.0,4927800.0,5041252.0,5151097.0,5262102.0,5372780.0,5480799.0,5590885.0,5703391.0,5812111.0,5922549.0,6032317.0,6140376.0,6246513.0,6352529.0,6459484.0,,,,
21,142.0,60.0,mazzacane,12.0,12.0,+2 Laps,120122.0,228535.0,340582.0,528537.0,732519.0,874632.0,1023395.0,1207284.0,1386118.0,1555471.0,1679263.0,1801507.0,1922955.0,2046979.0,2169240.0,2291559.0,2413743.0,2535388.0,2657617.0,2778245.0,2900841.0,3021563.0,3142312.0,3270278.0,3426350.0,3547102.0,3664485.0,3779330.0,3892507.0,4005224.0,4116840.0,4226905.0,4335489.0,4448870.0,4589144.0,4702121.0,4811262.0,4919391.0,5027350.0,5134488.0,5243320.0,5349950.0,5456535.0,5564454.0,5669944.0,5775859.0,5882410.0,5987389.0,6092300.0,6196486.0,6303714.0,6408089.0,6512080.0,,
2,142.0,4.0,alonso,13.0,13.0,+3 Laps,120535.0,242521.0,400241.0,628656.0,807491.0,955416.0,1090585.0,1221765.0,1394402.0,1562270.0,1686731.0,1808435.0,1934710.0,2056817.0,2179007.0,2302080.0,2425021.0,2553503.0,2695629.0,2814942.0,2935561.0,3057813.0,3177080.0,3295487.0,3411868.0,3531691.0,3649615.0,3768643.0,3886406.0,4006206.0,4130225.0,4268955.0,4379799.0,4490070.0,4599344.0,4708021.0,4817169.0,4926881.0,5036419.0,5151552.0,5289243.0,5396753.0,5503448.0,5609731.0,5716308.0,5824299.0,5930447.0,6036347.0,6142036.0,6247621.0,6353796.0,6460354.0,,,
17,142.0,56.0,irvine,20.0,47.0,Water leak,121015.0,232547.0,348836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,142.0,23.0,ralf_schumacher,5.0,1.0,Finished,121264.0,227905.0,335887.0,499368.0,713355.0,860553.0,1021914.0,1206537.0,1382985.0,1553860.0,1672268.0,1789138.0,1907941.0,2026917.0,2146077.0,2264228.0,2382957.0,2506503.0,2652270.0,2769063.0,2883366.0,2995408.0,3106483.0,3218864.0,3327893.0,3436706.0,3546115.0,3655756.0,3767108.0,3877229.0,3986364.0,4092935.0,4198568.0,4304220.0,4407829.0,4510682.0,4613502.0,4722923.0,4852050.0,4956630.0,5060348.0,5164063.0,5267649.0,5372044.0,5475419.0,5578889.0,5681999.0,5785095.0,5888550.0,5991399.0,6094635.0,6197542.0,6299819.0,6401322.0,6503034.0
10,142.0,31.0,montoya,19.0,20.0,Spun off,133677.0,237603.0,345110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
