,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
5,355,9,kubica,4,5,1,Finished,133403,285370,443221,602178,761326,869815,978160,1085307,1192065,1298905,1405535,1512056,1618855,1725732,1832466,1939202,2045712,2152134,2258059,2363841,2469377,2574922,2680142,2785400,2891249,2995907,3100402,3204779,3309158,3414257,3518612,3622380,3726243,3830390,3934406,4037869,4141371,4244829,4347928,4450922,4554060,4657724,4760733,4863635.0,4966464.0,5070469.0,5193153.0,5295413.0,5397399.0,5499411.0,5601164.0,5703012.0,5805493.0,5907993.0,6015863.0
1,355,2,heidfeld,15,11,1,Finished,134471,286714,444627,603522,762012,871825,980006,1087554,1195220,1302301,1408816,1515866,1622305,1728774,1836896,1962953,2067935,2172571,2277923,2382769,2487566,2592310,2697623,2802848,2908663,3014065,3119863,3224960,3329773,3434640,3539438,3643889,3748680,3853373,3958321,4062653,4167228,4271211,4375419,4479545,4583550,4687111,4790703,4895475.0,4999110.0,5102273.0,5205627.0,5308440.0,5411127.0,5513992.0,5616936.0,5719609.0,5822509.0,5925508.0,6028388.0
15,355,67,buemi,5,15,1,Finished,135903,287190,445134,604792,762684,872262,980795,1088703,1196243,1303887,1410696,1517330,1623929,1730760,1837440,1943973,2050353,2156631,2262821,2368703,2474834,2580650,2686225,2791792,2897194,3002527,3107925,3213087,3318160,3423130,3528456,3633447,3738311,3843387,3948036,4052977,4159154,4284697,4388468,4491904,4596280,4700433,4803945,4907181.0,5010515.0,5113811.0,5217096.0,5319975.0,5422601.0,5525174.0,5628182.0,5730841.0,5833948.0,5937099.0,6040015.0
18,355,807,hulkenberg,3,16,1,Finished,136807,288116,446254,605785,763861,872939,981505,1089403,1198429,1305482,1412403,1519371,1626381,1732996,1839671,1946132,2052317,2158596,2264856,2370566,2476474,2582616,2688454,2793947,2899712,3004935,3110332,3215272,3320404,3425751,3531007,3635777,3740822,3846133,3950598,4056945,4181014,4285558,4389193,4492806,4596961,4701181,4804849,4908500.0,5012070.0,5115389.0,5218408.0,5321568.0,5424372.0,5527067.0,5629464.0,5732514.0,5835564.0,5938028.0,6041600.0
4,355,5,kovalainen,205,17,11,+1 Lap,138683,289756,447286,606756,765021,876600,986511,1097387,1207647,1316818,1425589,1534252,1643047,1751713,1860302,1969136,2077624,2186041,2294274,2402256,2510219,2618392,2726501,2834544,2942031,3049786,3157274,3264623,3372120,3479624,3586750,3693859,3801005,3907771,4014726,4121576,4229723,4338131,4444476,4550827,4659147,4788359,4897904,5006660.0,5116700.0,5224952.0,5332031.0,5438416.0,5544362.0,5649880.0,5755428.0,5860806.0,5966835.0,6078182.0,
16,355,153,alguersuari,5,9,1,Finished,138877,294481,453484,611716,768044,878523,989806,1097852,1205202,1312212,1418936,1526932,1633551,1741353,1847666,1954025,2060032,2166194,2272061,2377866,2483504,2589081,2695306,2800913,2906383,3012106,3117444,3222211,3327106,3432285,3537388,3642242,3747089,3851762,3956648,4061156,4165650,4269725,4374037,4478003,4582059,4685578,4789398,4894012.0,4997343.0,5100548.0,5203705.0,5306707.0,5409434.0,5512420.0,5615493.0,5718224.0,5821160.0,5924071.0,6027038.0
8,355,15,trulli,205,21,65,Rear wing,141773,291266,449051,607718,765623,877753,989336,1100024,1209771,1319170,1428220,1537216,1646054,1754826,1863498,1972281,2081288,2189757,2298296,2406940,2515401,2623943,2731988,2840082,2948410,3056660,3164834,3282451,3437952,3548925,3657713,3765367,3872487,3979234,4086087,4192703,4299056,4405502,4511747,4618153,4724704,4830683,4936887,5043043.0,5149589.0,5257126.0,5366555.0,5474742.0,5585939.0,5695195.0,5862116.0,,,,
6,355,10,glock,166,22,6,Gearbox,143415,292225,450395,609292,766847,879790,990529,1100512,1210302,1320136,1429326,1538252,1647324,1756504,1865641,1974397,2082926,2191586,2300150,2408520,2516876,2625299,2733325,2841467,2949329,3057601,3166661,3276554,3383959,3491173,3598403,3706303,3815140,3922534,4031042,4138458,4248299,4355375,4462212,4571227,4703363,4811379,4919140,,,,,,,,,,,,
21,355,811,bruno_senna,164,19,12,+2 Laps,145416,296455,455175,613625,770383,881952,993041,1103734,1214009,1323839,1433486,1543276,1653424,1763002,1872657,1982362,2092521,2201617,2310763,2419870,2528839,2638062,2747277,2856143,2965028,3073795,3182195,3291989,3401049,3509336,3618512,3728923,3836844,3945201,4060577,4171883,4281203,4391357,4499026,4606458,4713722,4820776,4927819,5034632.0,5141285.0,5247786.0,5354168.0,5460815.0,5569511.0,5676220.0,5785163.0,5891418.0,5997828.0,,
20,355,810,grassi,166,18,12,+2 Laps,146741,295402,454175,612769,769383,881110,992236,1102622,1212867,1322912,1432374,1541931,1651162,1760589,1870129,1979706,2089184,2198542,2307676,2416709,2525799,2634942,2743821,2852647,2961312,3069914,3178336,3286707,3395178,3504262,3612243,3721641,3829974,3939517,4047033,4154826,4264969,4377764,4485619,4595786,4705328,4812782,4920230,5027798.0,5134765.0,5241564.0,5348480.0,5454909.0,5561341.0,5667467.0,5776031.0,5883628.0,5994475.0,,
