,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,vettel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,webber,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,hamilton,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,alonso,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,6,5,6,6,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,michael_schumacher,5,7,8,9,9,9,10,11,11,13,13,13,14,14,19,19,18,18,18,18,17,16,16,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
5,hulkenberg,6,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,6,13,13,13,12,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6,raikkonen,7,8,7,7,7,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,2,2,2,3,7,7,7,6,6,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
7,grosjean,8,6,6,6,6,10,12,13,15,22,22,21,20,18,16,15,14,14,14,14,13,11,9,9,9,9,9,9,8,8,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,resta,9,9,9,8,8,7,7,7,7,7,8,8,8,8,8,8,7,6,6,6,5,13,12,12,12,12,12,12,14,14,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
9,massa,10,10,10,10,10,8,8,8,8,8,7,7,7,7,6,6,5,5,5,5,4,4,4,4,3,3,6,7,7,7,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,perez,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,8,7,7,7,8,8,14,14,14,14,14,14,13,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,bruno_senna,12,12,12,12,12,12,11,10,10,10,10,10,10,10,10,10,9,8,8,10,14,12,11,11,11,11,11,11,11,11,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10
12,maldonado,13,13,14,13,13,14,14,15,14,14,14,14,13,13,13,13,12,11,11,11,10,14,13,13,13,13,13,13,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9
13,rosberg,14,15,16,16,17,17,17,17,17,16,16,16,16,15,14,14,13,12,12,12,11,9,8,8,8,8,8,8,9,9,8,8,8,8,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
14,button,15,14,13,14,14,13,13,12,12,11,11,11,11,11,11,11,10,9,9,8,7,6,5,5,4,4,3,3,3,3,3,3,3,3,3,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5
15,vergne,16,16,15,15,15,16,16,16,16,15,15,15,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,kobayashi,17,17,17,18,18,18,18,18,18,17,17,17,17,22,21,21,19,19,19,19,19,17,17,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
17,petrov,18,19,19,19,19,19,19,19,19,18,18,18,18,17,15,16,15,15,15,15,15,15,15,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0
18,glock,19,20,20,20,20,20,20,20,20,20,20,20,21,20,18,18,17,17,17,17,18,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0
19,ricciardo,20,18,18,17,16,15,15,14,13,12,12,12,12,12,12,12,11,10,10,9,9,7,7,7,6,6,5,5,5,6,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
20,kovalainen,21,22,21,21,21,21,21,21,21,19,19,19,19,19,17,17,16,16,16,16,16,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0
21,pic,22,21,22,22,22,22,22,22,22,21,21,22,22,21,20,20,20,20,20,20,20,18,18,17,17,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0
22,rosa,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0
