,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,leclerc,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,max_verstappen,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,vettel,4,4,4,4,4,4,4,4,4,4,4,4,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5
4,albon,5,5,5,5,5,5,5,5,5,5,5,5,3,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
5,norris,6,6,6,6,6,6,6,7,16,15,15,14,13,13,13,13,13,12,11,11,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,8,0
6,sainz,7,7,7,7,7,7,7,6,6,6,6,7,15,15,14,14,14,13,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,14,12,12,12,11,11,11,11,11,11,11,11,10,0
7,ricciardo,8,8,8,8,8,8,8,8,7,7,8,15,14,14,15,15,15,14,14,14,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,12,11,11,14,14,14,13,13,13,12,12,12,12,12,11,0
8,kevin_magnussen,9,10,10,10,10,11,12,12,11,11,11,10,9,9,9,9,9,9,8,9,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,13,13,13,13,14,14,14,14,14,14,14,14,14,0
9,hulkenberg,10,9,9,9,9,9,9,9,8,8,7,6,5,4,4,4,4,7,12,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,8,8,8,8,9,10,10,10,10,10,10,10,10,12,0
10,perez,11,11,11,11,11,10,10,10,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,12,11,9,9,9,9,8,8,8,8,8,8,8,8,8,7,0
11,stroll,12,13,13,13,15,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,19,19,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,18,0,0,0,0,0,0,0,0,0,0
12,giovinazzi,13,12,12,12,12,13,13,14,18,18,18,18,18,18,18,18,18,18,16,16,16,16,16,15,15,15,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
13,raikkonen,14,15,15,15,14,14,14,13,12,12,12,11,10,10,10,10,10,10,9,8,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,12,11,11,11,12,12,12,13,13,13,13,13,13,0
14,bottas,15,14,14,14,13,12,11,11,10,10,10,8,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
15,kvyat,16,16,16,16,16,15,15,15,13,13,13,12,11,11,11,11,11,11,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,12,10,10,10,10,9,9,9,9,9,9,9,9,9,0
16,grosjean,17,17,17,17,17,16,16,16,14,14,14,13,12,12,12,12,12,15,19,19,19,19,18,18,17,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
17,kubica,18,18,18,18,18,17,17,17,15,16,16,16,16,16,16,16,16,16,15,15,15,15,15,17,19,19,19,19,19,19,19,19,18,18,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,0,0
18,russell,19,19,19,19,19,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,17,16,16,16,16,16,16,19,19,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,0
