,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
6,102.0,14.0,coulthard,9.0,11.0,+1 Lap,94704.0,178143.0,261460.0,344045.0,426983.0,510046.0,592343.0,674866.0,756873.0,839566.0,924443.0,1025258.0,1107337.0,1190918.0,1274273.0,1357090.0,1440047.0,1522921.0,1605757.0,1688767.0,1772628.0,1855965.0,1938586.0,2021088.0,2103525.0,2185723.0,2267769.0,2350040.0,2432733.0,2516187.0,2598162.0,2682863.0,2783751.0,2865369.0,2947862.0,3030439.0,3114480.0,3197010.0,3279273.0,3361404.0,3443823.0,3525796.0,3608000.0,3689737.0,3771198.0,3852991.0,3934767.0,4016989.0,4098912.0,4180718.0,4263094.0,4347373.0,4448735.0,4530539.0,4612258.0,4694106.0,4775846.0,4857772.0,4939821.0,5021205.0,5102659.0,5184067.0,5265574.0,5347201.0,5429163.0,5510516.0,5591650.0,5674175.0,5755652.0,
8,102.0,17.0,webber,10.0,11.0,+1 Lap,95192.0,178773.0,262210.0,345450.0,428285.0,511075.0,593884.0,676506.0,759578.0,842405.0,924726.0,1006888.0,1088850.0,1171233.0,1253486.0,1338121.0,1440274.0,1523239.0,1606140.0,1689358.0,1773208.0,1856746.0,1939574.0,2022917.0,2117302.0,2201777.0,2287305.0,2372006.0,2454740.0,2537519.0,2621711.0,2722816.0,2804866.0,2886860.0,2968735.0,3050548.0,3132606.0,3214660.0,3296710.0,3379108.0,3460878.0,3542693.0,3624390.0,3705674.0,3786499.0,3869560.0,3972961.0,4055460.0,4137599.0,4220313.0,4304294.0,4387235.0,4470024.0,4552577.0,4635684.0,4718204.0,4800237.0,4882225.0,4964309.0,5046431.0,5128403.0,5210505.0,5292229.0,5374283.0,5456473.0,5538241.0,5619545.0,5700779.0,5781740.0,
1,102.0,2.0,heidfeld,12.0,12.0,+2 Laps,95977.0,180090.0,263697.0,347516.0,431304.0,514685.0,597814.0,680888.0,764025.0,847426.0,930432.0,1013933.0,1096762.0,1181963.0,1284279.0,1365877.0,1448665.0,1531387.0,1614454.0,1697563.0,1781255.0,1865055.0,1949457.0,2033396.0,2119278.0,2203666.0,2288781.0,2373474.0,2460184.0,2568364.0,2651538.0,2736377.0,2820001.0,2903316.0,2986468.0,3069801.0,3152932.0,3236365.0,3320368.0,3405367.0,3490151.0,3574081.0,3657757.0,3740688.0,3825084.0,3910909.0,3993732.0,4076718.0,4162058.0,4265696.0,4350060.0,4433164.0,4516319.0,4600730.0,4683619.0,4766730.0,4850278.0,4932801.0,5015206.0,5097543.0,5179812.0,5262004.0,5346071.0,5429834.0,5512237.0,5594314.0,5677491.0,5759009.0,,
14,102.0,32.0,klien,13.0,12.0,+2 Laps,96298.0,180564.0,264371.0,347895.0,431907.0,515898.0,599293.0,682557.0,766940.0,850240.0,937194.0,1021173.0,1104844.0,1188380.0,1274763.0,1378971.0,1463331.0,1547689.0,1632874.0,1717116.0,1802087.0,1886202.0,1970276.0,2054438.0,2139072.0,2224484.0,2310378.0,2394456.0,2479217.0,2564370.0,2647978.0,2732206.0,2818715.0,2922160.0,3005224.0,3091688.0,3174978.0,3257975.0,3341085.0,3424546.0,3509482.0,3593526.0,3676586.0,3759726.0,3842256.0,3926725.0,4010673.0,4093757.0,4179000.0,4283956.0,4367219.0,4451207.0,4535017.0,4618601.0,4702129.0,4785630.0,4869439.0,4952979.0,5036381.0,5122357.0,5205688.0,5289107.0,5372396.0,5458935.0,5544840.0,5628311.0,5713126.0,5797631.0,,
17,102.0,44.0,panis,11.0,11.0,+1 Lap,97072.0,181529.0,266914.0,349617.0,433377.0,516841.0,600148.0,683603.0,767974.0,850943.0,933922.0,1020385.0,1121119.0,1202748.0,1285776.0,1368509.0,1451299.0,1534107.0,1617417.0,1700332.0,1783306.0,1865842.0,1949919.0,2033758.0,2120362.0,2205399.0,2289139.0,2373826.0,2458174.0,2539556.0,2624068.0,2727277.0,2809686.0,2892375.0,2975231.0,3057889.0,3140701.0,3223680.0,3306288.0,3390887.0,3473399.0,3557417.0,3639715.0,3721624.0,3803134.0,3884525.0,3966401.0,4048667.0,4130265.0,4211575.0,4295492.0,4396764.0,4479215.0,4563669.0,4646114.0,4728426.0,4811012.0,4893550.0,4975587.0,5057169.0,5138853.0,5220363.0,5304950.0,5387277.0,5468831.0,5550653.0,5632903.0,5715328.0,5798075.0,
18,102.0,45.0,pantano,16.0,6.0,Gearbox,97391.0,182063.0,267680.0,351211.0,435097.0,520935.0,604500.0,687644.0,770813.0,853895.0,937664.0,1021827.0,1108252.0,1210641.0,1294122.0,1378416.0,1463014.0,1547257.0,1632495.0,1716446.0,1801665.0,1885665.0,1969619.0,2053883.0,2138233.0,2223383.0,2310996.0,2396140.0,2480347.0,2565171.0,2649075.0,2735453.0,2838341.0,2924764.0,3009109.0,3095343.0,3179548.0,3264470.0,3348480.0,3432159.0,3515195.0,3598372.0,3681299.0,3765460.0,3849059.0,3933391.0,4018526.0,4104840.0,,,,,,,,,,,,,,,,,,,,,,
5,102.0,13.0,massa,19.0,23.0,Brakes,97724.0,182434.0,267991.0,351537.0,435619.0,518795.0,601260.0,684413.0,768685.0,851611.0,934881.0,1020706.0,1122046.0,1203902.0,1286595.0,1369304.0,1452273.0,1539814.0,1661000.0,1743196.0,1845718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,102.0,46.0,bruni,14.0,14.0,+4 Laps,98796.0,184772.0,271123.0,358355.0,444617.0,531575.0,618547.0,704903.0,791178.0,877174.0,963150.0,1052547.0,1159264.0,1244498.0,1331730.0,1417433.0,1509331.0,1597272.0,1683298.0,1769685.0,1859481.0,1946088.0,2032760.0,2124031.0,2210605.0,2296936.0,2384495.0,2470759.0,2556362.0,2641881.0,2731504.0,2838091.0,2926905.0,3013771.0,3098647.0,3185657.0,3271189.0,3360425.0,3447589.0,3533151.0,3619319.0,3704457.0,3791681.0,3878085.0,3963196.0,4047972.0,4136220.0,4226147.0,4333238.0,4421678.0,4506946.0,4592425.0,4677875.0,4765208.0,4852443.0,4941624.0,5026718.0,5111619.0,5196718.0,5281991.0,5369217.0,5455052.0,5545679.0,5634449.0,5719050.0,5806632.0,,,,
15,102.0,41.0,zonta,18.0,40.0,Electronics,99693.0,185067.0,271377.0,354911.0,437906.0,521341.0,605119.0,688653.0,771790.0,854912.0,941730.0,1042778.0,1125303.0,1208225.0,1291473.0,1374686.0,1457926.0,1541344.0,1624891.0,1708234.0,1792202.0,1878642.0,1965728.0,2053347.0,2156321.0,2242961.0,2329600.0,2415191.0,2499115.0,2583093.0,2668110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,102.0,47.0,baumgartner,15.0,15.0,+5 Laps,103825.0,190275.0,277133.0,364595.0,452153.0,539193.0,626154.0,713016.0,800283.0,887944.0,974325.0,1060384.0,1146627.0,1233297.0,1320105.0,1408483.0,1515093.0,1600449.0,1686003.0,1776268.0,1863279.0,1953082.0,2040737.0,2128344.0,2215431.0,2303309.0,2390888.0,2477563.0,2565852.0,2655012.0,2742929.0,2829438.0,2919427.0,3036445.0,3122406.0,3208593.0,3295353.0,3383107.0,3470097.0,3560841.0,3649058.0,3736323.0,3823134.0,3914663.0,4000303.0,4086077.0,4173272.0,4262603.0,4351040.0,4440582.0,4548128.0,4635419.0,4722574.0,4810384.0,4898577.0,4983844.0,5069703.0,5159442.0,5245743.0,5332800.0,5418594.0,5503769.0,5588624.0,5679199.0,5764389.0,,,,,
