,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,michael_schumacher,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,barrichello,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,raikkonen,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,0,0,0,0,0,0,0,0,0
3,montoya,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,3,3,3,3,3,3,3,3,3
4,coulthard,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4
5,ralf_schumacher,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,7,7,7,7,7,7,7,7,6,6,6,9,7,7,7,5,5,5,5,5,5,5,5,5
6,trulli,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,6,6,6,6,6,6,7,9,8,6,6,6,6,0,0,0,0,0,0,0,0,0
7,irvine,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,13,11,10,9,9,9,8,8,8,8,8,8,8,8,8,10,10,9,8,8,6,6,6,6,6,6,6,6,6
8,button,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,salo,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8,12,11,10,10,10,9,9,9,9,9,9,9,9,10,11,11,10,9,9,7,7,7,7,7,7,7,7,7
10,rosa,11,11,11,11,11,11,11,11,11,11,10,10,10,10,9,9,13,12,11,11,11,10,10,10,10,10,10,10,10,7,7,7,11,10,10,8,8,0,0,0,0,0,0,0
11,mcnish,12,12,12,12,12,12,12,12,12,12,11,11,11,12,15,15,15,14,13,13,13,12,12,12,12,12,12,12,14,15,15,15,14,14,14,12,12,10,9,9,9,9,9,0
12,fisichella,13,13,13,13,13,13,13,15,15,15,14,14,14,13,11,10,8,6,6,6,8,15,15,15,15,15,15,14,12,12,12,12,12,11,11,9,9,8,0,0,0,0,0,0
13,villeneuve,14,14,14,14,14,14,14,13,13,13,12,12,12,11,14,14,14,13,12,12,12,11,11,11,11,11,11,11,11,11,9,8,8,12,12,10,10,9,8,8,8,8,8,8
14,heidfeld,15,15,15,15,16,16,16,16,16,16,15,15,15,14,12,11,10,16,15,15,15,14,14,14,14,14,14,13,15,16,16,16,15,15,15,13,13,11,10,10,10,10,10,0
15,massa,16,16,16,16,15,15,15,14,14,14,13,13,13,16,16,16,16,15,14,14,14,13,13,13,13,13,13,16,16,14,14,14,13,13,13,11,11,0,0,0,0,0,0,0
16,sato,17,17,17,17,17,17,17,17,17,17,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,13,12,11,11,11,11,0
17,panis,18,18,18,18,18,18,18,18,18,18,17,17,17,15,13,12,9,9,16,16,16,16,16,16,16,16,16,15,13,13,13,13,16,16,16,14,14,12,11,0,0,0,0,0
18,webber,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
