,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,raikkonen,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
2,massa,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
3,alonso,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,8,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,kovalainen,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,1,7,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,11,17,17,17,17,16,16,16,16,15,15,15,15,15,15,0,0,0,0,0,0,0
5,heidfeld,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,3,10,9,8,8,8,8,8,7,6,6,6,6,6,6,6,6,6,5,5,4,3,2,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,vettel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,4,4,14,13,13,13,12,11,11,11,11,11,10,10,10,10,9,9,8,8,8,8,7,7,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7,kubica,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,5,3,3,3,3,3,3,3,9,9,8,8,8,8,8,7,7,6,6,5,5,5,4,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
8,piquet_jr,9,9,9,9,9,9,9,9,10,10,10,9,9,9,8,8,8,7,5,5,5,5,5,6,10,10,10,10,9,9,9,9,8,8,7,7,7,7,10,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
9,barrichello,10,10,10,10,10,11,11,11,11,11,11,11,10,10,10,10,10,9,8,16,16,16,15,14,14,14,14,14,13,13,13,11,11,11,10,10,10,10,9,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11
10,glock,11,12,12,12,12,12,12,12,12,12,12,13,12,12,11,11,11,11,10,9,9,9,9,9,8,7,7,7,7,7,7,7,10,10,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
11,webber,12,11,11,11,11,10,10,10,9,9,9,10,18,17,17,16,16,16,16,15,15,15,14,13,13,13,13,13,12,12,12,17,17,17,17,16,16,16,16,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14
12,rosberg,13,13,13,13,13,13,13,13,13,13,13,12,11,11,12,18,18,18,18,18,18,18,17,17,17,17,17,16,16,16,16,14,13,13,13,12,12,12,12,17,17,17,17,16,16,16,16,16,16,15,15,15,15,15,15,0
13,coulthard,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,12,12,12,11,10,10,10,10,10,9,8,8,9,14,14,15,13,14,14,14,13,13,13,13,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
14,button,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,13,13,12,11,11,12,18,18,18,18,18,18,17,17,17,15,15,15,15,14,14,14,14,12,11,11,11,17,17,17,17,17,17,16,16,16,16,16,16,0
15,nakajima,16,16,16,16,16,16,17,17,17,17,17,17,16,16,16,15,15,15,15,14,14,14,13,12,12,12,12,12,11,11,11,16,16,16,16,15,15,15,15,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12
16,sutil,17,17,17,17,18,18,18,18,18,18,18,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,bourdais,18,18,18,18,17,17,16,16,16,16,16,16,15,15,15,14,14,14,13,12,12,11,11,16,16,16,16,15,15,15,14,12,12,12,12,11,11,11,11,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13
18,fisichella,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,17,17,17,17,17,17,17,16,15,15,15,15,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,0
