,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
16,179,65,herbert,24,16,7,Transmission,97969,186797,275809,364131,452380,540487,628256,716144,803765,891861,980159,1068211,1156363,1244109,1332034,1419790,1507232,1597593,1707687,1795450,1883317,1971421,2059736,2148423,2237578.0,2326492.0,2415103.0,2503509.0,2591772.0,2680081.0,2768724.0,2857157.0,2945413.0,3034269.0,3123976.0,3212824.0,3301069.0,3389767.0,3478342.0,3569425.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,179,64,diniz,15,15,7,Transmission,99013,188225,276678,364901,453184,541136,629159,717074,804609,892787,980881,1068925,1157075,1244999,1332844,1420558,1507930,1595577,1682065,1768380,1854822,1941476,2028762,2116168,2205191.0,2293485.0,2383264.0,2490280.0,2576886.0,2663540.0,2750605.0,2837485.0,2924555.0,3012264.0,3099236.0,3185773.0,3272291.0,3358688.0,3445475.0,3534533.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,179,71,damon_hill,17,7,11,+1 Lap,99591,188725,277451,365625,453950,542086,630138,718090,806046,893735,981646,1069900,1158021,1245827,1333650,1421551,1509124,1596744,1684119,1770782,1857871,1944787,2031889,2118970,2209917.0,2317018.0,2404473.0,2492270.0,2579803.0,2667085.0,2754706.0,2843102.0,2930406.0,3018008.0,3105634.0,3193203.0,3280634.0,3367516.0,3454656.0,3542196.0,3629322.0,3716133.0,3803131.0,3889753.0,3976705.0,4063264.0,4149612.0,4236182.0,4322792.0,4412743.0,4518883.0,4605785.0,4692750.0,4780025.0,4868094.0,4957617.0,5045428.0,5133563.0,5221800.0,5310607.0,5399892.0,5488834.0,5577115.0,5665044.0,
2,179,21,fisichella,22,9,11,+1 Lap,100160,189376,278075,366374,454774,542733,630853,719044,807095,894957,982731,1070956,1159114,1247507,1335834,1428762,1516213,1603500,1690671,1777900,1867766,1972861,2060360,2148721,2237971.0,2326920.0,2415392.0,2503989.0,2592288.0,2680486.0,2769157.0,2857526.0,2945803.0,3035304.0,3126567.0,3232828.0,3320192.0,3409522.0,3498459.0,3586907.0,3675287.0,3763684.0,3852111.0,3940315.0,4028603.0,4116492.0,4204579.0,4295069.0,4407055.0,4495584.0,4583527.0,4671657.0,4759028.0,4846518.0,4934108.0,5021864.0,5109489.0,5197113.0,5284211.0,5371542.0,5459086.0,5546732.0,5634426.0,5722704.0,
19,179,70,zanardi,3,19,6,Gearbox,100729,190365,278899,367345,455807,544735,633110,721276,809429,897445,985369,1073265,1161284,1249525,1337485,1425664,1513123,1600718,1687966,1775762,1863470,1951184,2039099,2131319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,179,25,wurz,22,10,11,+1 Lap,101470,191220,279786,371386,459736,548017,636108,724608,812423,900471,988430,1076592,1164950,1253113,1341592,1430028,1518854,1607214,1697237,1808012,1895089,1986163,2075346,2164219,2252870.0,2341476.0,2431408.0,2520405.0,2609256.0,2697944.0,2786111.0,2874394.0,2966706.0,3071759.0,3158788.0,3245899.0,3333085.0,3420225.0,3507571.0,3594696.0,3681983.0,3769747.0,3857144.0,3945711.0,4033002.0,4120371.0,4211526.0,4299545.0,4389448.0,4496340.0,4585295.0,4674311.0,4762719.0,4850746.0,4938870.0,5026736.0,5114848.0,5202835.0,5290148.0,5377508.0,5465452.0,5553867.0,5641678.0,5729548.0,
14,179,63,salo,16,8,11,+1 Lap,101835,192613,281898,370565,458926,547252,635426,723625,811572,899692,987660,1075767,1163871,1252215,1340557,1429504,1518196,1606512,1694329,1782228,1872502,1985799,2074930,2163733,2252442.0,2341016.0,2430954.0,2519891.0,2608749.0,2697437.0,2785632.0,2873947.0,2963826.0,3052641.0,3142477.0,3231094.0,3319669.0,3409300.0,3498045.0,3586522.0,3674889.0,3763200.0,3851536.0,3939861.0,4028047.0,4116076.0,4203997.0,4292537.0,4380788.0,4471350.0,4579665.0,4668061.0,4756266.0,4844901.0,4932778.0,5020565.0,5108295.0,5195299.0,5282452.0,5369717.0,5456840.0,5544741.0,5632778.0,5721065.0,
8,179,37,rosa,21,11,12,+2 Laps,102190,193291,282567,371876,461042,549534,637776,726495,814950,903381,991447,1080145,1168418,1256564,1344803,1432882,1523774,1636983,1727915,1815404,1903094,1991034,2079392,2167321,2257952.0,2346273.0,2434374.0,2522483.0,2611028.0,2699081.0,2790446.0,2897308.0,2984717.0,3073351.0,3161495.0,3249976.0,3338426.0,3428609.0,3517144.0,3605710.0,3693961.0,3782435.0,3871077.0,3959622.0,4048026.0,4140280.0,4252228.0,4340689.0,4429427.0,4518365.0,4609128.0,4698992.0,4788131.0,4877182.0,4967612.0,5058076.0,5146932.0,5235830.0,5324890.0,5413911.0,5502663.0,5591819.0,5681268.0,,
17,179,68,takagi,21,12,13,+3 Laps,102610,194728,284854,374543,464257,553785,642969,732267,821926,911430,1001011,1090729,1180443,1270016,1359707,1449060,1538289,1627486,1716676,1807769,1899724,1990403,2084772,2195972,2286816.0,2378435.0,2469303.0,2559752.0,2649780.0,2740946.0,2830846.0,2922682.0,3014807.0,3105354.0,3196115.0,3286701.0,3377273.0,3468971.0,3559202.0,3649433.0,3742691.0,3855971.0,3947254.0,4038890.0,4129651.0,4220547.0,4311001.0,4402482.0,4493031.0,4583028.0,4673940.0,4765827.0,4856851.0,4948159.0,5039055.0,5129468.0,5220719.0,5316147.0,5407215.0,5497649.0,5588752.0,5678929.0,,,
18,179,69,badoer,18,13,20,Spun off,102947,195136,285651,375696,465576,555594,645531,735187,824986,914712,1004729,1095467,1185772,1275711,1365499,1455450,1545627,1636590,1730513,1839599,1929333,2021108,2113531,2206965,2297474.0,2388086.0,2479909.0,2569891.0,2661523.0,2753344.0,2844498.0,2934436.0,3024338.0,3114618.0,3204409.0,3294226.0,3384272.0,3473990.0,3563622.0,3659758.0,3774740.0,3864558.0,3954793.0,4044545.0,4134587.0,4224323.0,4314327.0,4404936.0,4495396.0,4587807.0,,,,,,,,,,,,,,,
