,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
17,129,59,bernoldi,21,21,4,Collision,85905,167796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,129,21,fisichella,17,5,1,Finished,86293,161776,235855.0,310351.0,384141.0,458103.0,533682.0,607405.0,681246.0,755522.0,828845.0,902340.0,975396.0,1049190.0,1122495.0,1195665.0,1268620.0,1341336.0,1414104.0,1486891.0,1560975.0,1634835.0,1708440.0,1795526.0,1876844.0,1965912.0,2086431.0,2170171.0,2301130.0,2418743.0,2540568.0,2661355.0,2781482.0,2905727.0,3031033.0,3149430.0,3223827.0,3297551.0,3370571.0,3443349.0,3516014.0,3589026.0,3662450.0,3735329.0,3809271.0,3883089.0,3956057.0,4028911.0,4101324.0,4173884.0,4246267.0,4318429.0,4390494.0,4462745.0,4534841.0,4607097.0,4679296.0,4751021.0,4822844.0,4894790.0,4966505.0,5038228.0,5109808.0,5181668.0,5253323.0,5324607.0,5396057.0,5467430.0,5538786.0,5610134.0,5681527.0
5,129,15,trulli,4,13,32,Fuel pressure,86517,163610,238923.0,313296.0,387733.0,462685.0,537745.0,611613.0,685661.0,759542.0,833418.0,907052.0,980441.0,1053677.0,1126808.0,1199901.0,1272799.0,1345647.0,1419065.0,1492556.0,1565312.0,1637987.0,1712133.0,1797924.0,1878936.0,1967962.0,2087487.0,2172662.0,2297430.0,2421671.0,2542938.0,2663276.0,2783660.0,2908151.0,3033234.0,3151285.0,3225480.0,3298635.0,3371387.0,3444013.0,3516788.0,3589622.0,3663135.0,3736307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,129,66,mcnish,7,9,1,Finished,87262,163063,238235.0,312625.0,386916.0,461208.0,535987.0,610829.0,684774.0,758775.0,832349.0,905992.0,979411.0,1052461.0,1125441.0,1198424.0,1271483.0,1344133.0,1416615.0,1490837.0,1563323.0,1635628.0,1709355.0,1795989.0,1877264.0,1967103.0,2086721.0,2171751.0,2298489.0,2417162.0,2538774.0,2659604.0,2778517.0,2916074.0,3038883.0,3156021.0,3232173.0,3306847.0,3380740.0,3454263.0,3527655.0,3601051.0,3674252.0,3747194.0,3820946.0,3895827.0,3968959.0,4042124.0,4114996.0,4187602.0,4259985.0,4332367.0,4404539.0,4476604.0,4548654.0,4620891.0,4692801.0,4766149.0,4838376.0,4911019.0,4982815.0,5054538.0,5126122.0,5197825.0,5269350.0,5341185.0,5412641.0,5484357.0,5556325.0,5628716.0,5701281.0
14,129,44,panis,16,18,5,Engine,87709,164211,239763.0,314513.0,388681.0,463149.0,538282.0,612246.0,686389.0,760081.0,833894.0,907720.0,981146.0,1054572.0,1128474.0,1201826.0,1274951.0,1347713.0,1422102.0,1495175.0,1567964.0,1640558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,129,11,sato,17,17,4,Collision,88195,164634,240580.0,315274.0,389754.0,464001.0,539192.0,614290.0,688316.0,762127.0,836081.0,909985.0,983551.0,1057244.0,1130623.0,1204345.0,1277955.0,1352367.0,1425649.0,1498768.0,1572174.0,1645396.0,1724100.0,1834715.0,1958510.0,2082355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,129,56,irvine,19,15,9,Hydraulics,88633,165244,241400.0,316144.0,390761.0,465371.0,540174.0,614798.0,689261.0,763402.0,837029.0,911009.0,984533.0,1058657.0,1131873.0,1205292.0,1280347.0,1353455.0,1426450.0,1500468.0,1573417.0,1646019.0,1721633.0,1802855.0,1882492.0,1970920.0,2088720.0,2175336.0,2300234.0,2422993.0,2544128.0,2662989.0,2788222.0,2912623.0,3036632.0,3154451.0,3229557.0,3309111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,129,35,villeneuve,16,10,11,+1 Lap,89018,164326,239098.0,313489.0,387806.0,461473.0,536135.0,608359.0,681402.0,753859.0,825606.0,898022.0,971020.0,1043554.0,1115988.0,1189224.0,1262506.0,1335105.0,1406915.0,1478452.0,1549636.0,1621125.0,1696131.0,1798480.0,1880427.0,1969210.0,2088079.0,2173783.0,2299724.0,2420743.0,2541779.0,2662190.0,2782520.0,2906798.0,3032261.0,3150543.0,3223906.0,3296221.0,3368913.0,3440569.0,3512135.0,3583700.0,3654990.0,3726368.0,3798501.0,3870459.0,3942439.0,4014175.0,4085195.0,4156383.0,4227280.0,4298103.0,4372417.0,4466975.0,4538653.0,4610059.0,4681688.0,4754358.0,4825948.0,4897447.0,4969209.0,5040593.0,5112556.0,5184058.0,5255786.0,5327292.0,5398608.0,5469883.0,5541182.0,5612258.0,
18,129,62,yoong,18,14,5,Engine,89911,165998,242193.0,319780.0,394874.0,469846.0,545320.0,620454.0,695608.0,770633.0,845547.0,921264.0,996240.0,1072334.0,1147626.0,1222641.0,1297875.0,1372342.0,1450827.0,1526602.0,1601106.0,1675547.0,1752770.0,1837423.0,1960196.0,2083254.0,2170307.0,2296605.0,2424509.0,2545373.0,2664921.0,2785208.0,2909039.0,3034309.0,3152329.0,3231643.0,3309028.0,3384151.0,3458793.0,3533709.0,3608246.0,3682774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,129,17,webber,18,12,12,+2 Laps,90200,166602,243343.0,318740.0,393248.0,467985.0,542361.0,616878.0,691246.0,765419.0,839650.0,913782.0,987689.0,1061777.0,1135339.0,1210587.0,1284272.0,1357533.0,1431116.0,1504770.0,1578241.0,1651491.0,1727700.0,1831269.0,1955751.0,2079961.0,2167203.0,2294126.0,2413060.0,2547634.0,2666430.0,2786817.0,2911301.0,3035773.0,3152804.0,3228628.0,3302747.0,3376604.0,3450108.0,3523764.0,3597375.0,3671087.0,3744827.0,3820059.0,3900832.0,3988158.0,4062110.0,4135707.0,4210068.0,4284046.0,4357020.0,4429999.0,4503166.0,4575952.0,4648787.0,4721649.0,4794523.0,4867096.0,4939664.0,5012021.0,5084453.0,5156791.0,5232448.0,5304521.0,5376911.0,5448838.0,5520657.0,5592499.0,5664495.0,,
