,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
9,162.0,30.0,michael_schumacher,5.0,1.0,Finished,88772.0,173289.0,257964.0,342486.0,427102.0,511757.0,596768.0,681915.0,766975.0,852026.0,937299.0,1022670.0,1107934.0,1193059.0,1278417.0,1363986.0,1449358.0,1534551.0,1620197.0,1705739.0,1792037.0,1878529.0,1966394.0,2055670.0,2162382.0,2247240.0,2332931.0,2418255.0,2503666.0,2589759.0,2675473.0,2761597.0,2847334.0,2933239.0,3019148.0,3105234.0,3191460.0,3277985.0,3364405.0,3450891.0,3539398.0,3657953.0,3743829.0,3830150.0,3917063.0,4005047.0,4093777.0,4182598.0,4271258.0,4366726.0,4472823.0,4558010.0,4643854.0,4730143.0,4816266.0,4902042.0,4987950.0,5073970.0,5160550.0,5247338.0,5334290.0,5420726.0,5507928.0,5594739.0,5683373.0
18,162.0,57.0,hakkinen,1.0,1.0,Finished,89914.0,174987.0,260418.0,345246.0,430201.0,515137.0,600113.0,684999.0,770146.0,855456.0,940382.0,1025426.0,1110569.0,1195724.0,1280910.0,1366167.0,1451274.0,1536490.0,1621953.0,1707866.0,1794196.0,1879919.0,1966892.0,2053397.0,2138290.0,2226718.0,2334722.0,2419192.0,2504500.0,2590372.0,2676089.0,2762084.0,2847984.0,2933847.0,3019848.0,3105957.0,3192072.0,3278690.0,3364949.0,3451439.0,3540178.0,3647727.0,3732624.0,3817810.0,3903269.0,3988450.0,4074041.0,4159761.0,4245616.0,4331796.0,4417803.0,4503631.0,4589489.0,4675233.0,4761630.0,4847859.0,4934732.0,5021753.0,5108963.0,5195865.0,5283109.0,5370325.0,5457607.0,5545407.0,5635390.0
7,162.0,23.0,ralf_schumacher,4.0,1.0,Finished,91001.0,176339.0,261939.0,347455.0,433178.0,518972.0,604868.0,690686.0,776521.0,862380.0,948086.0,1034044.0,1120136.0,1206186.0,1292178.0,1378013.0,1463685.0,1549519.0,1636074.0,1722369.0,1808505.0,1894418.0,1983649.0,2091594.0,2176920.0,2262436.0,2348449.0,2434475.0,2520918.0,2606755.0,2692674.0,2778715.0,2864565.0,2950219.0,3036222.0,3122211.0,3208138.0,3294456.0,3380951.0,3469625.0,3580720.0,3666778.0,3752832.0,3839343.0,3925536.0,4012888.0,4100098.0,4186965.0,4273999.0,4363017.0,4450896.0,4538122.0,4624939.0,4711932.0,4798917.0,4885717.0,4972916.0,5059753.0,5146871.0,5234288.0,5321269.0,5408947.0,5496677.0,5584101.0,5672701.0
2,162.0,14.0,coulthard,2.0,1.0,Finished,91504.0,177178.0,262765.0,348259.0,433974.0,519731.0,605592.0,691482.0,777362.0,863257.0,948927.0,1034692.0,1120860.0,1206969.0,1292971.0,1378797.0,1464811.0,1550271.0,1636709.0,1722859.0,1809157.0,1895121.0,1981237.0,2069749.0,2180787.0,2265471.0,2350609.0,2435976.0,2522106.0,2608268.0,2694037.0,2780058.0,2865999.0,2951770.0,3037548.0,3123664.0,3209513.0,3295941.0,3385543.0,3492750.0,3578742.0,3663886.0,3748791.0,3833855.0,3919054.0,4005347.0,4094113.0,4180406.0,4267189.0,4353739.0,4440380.0,4525790.0,4611787.0,4697743.0,4784804.0,4870430.0,4956238.0,5042520.0,5128932.0,5215582.0,5301699.0,5388282.0,5475361.0,5562802.0,5651456.0
6,162.0,22.0,barrichello,3.0,1.0,Finished,92475.0,178941.0,264894.0,350797.0,436501.0,522245.0,608194.0,694069.0,779716.0,865670.0,951380.0,1036956.0,1123147.0,1209255.0,1295145.0,1380754.0,1466475.0,1552014.0,1637927.0,1724245.0,1810541.0,1896556.0,1982286.0,2067574.0,2155219.0,2263839.0,2349286.0,2435135.0,2521575.0,2607589.0,2693277.0,2779510.0,2865185.0,2950890.0,3036939.0,3123106.0,3208824.0,3295173.0,3381534.0,3470254.0,3581077.0,3667801.0,3754258.0,3840657.0,3927150.0,4013722.0,4100641.0,4187622.0,4274600.0,4362350.0,4449043.0,4535134.0,4621658.0,4708626.0,4795231.0,4882413.0,4968688.0,5055992.0,5142649.0,5229440.0,5316774.0,5402712.0,5489882.0,5576991.0,5664502.0
10,162.0,35.0,villeneuve,19.0,9.0,Hydraulics,93780.0,181527.0,268837.0,356278.0,443386.0,530509.0,617763.0,704464.0,791644.0,879035.0,966029.0,1053100.0,1140231.0,1227618.0,1314654.0,1401608.0,1489006.0,1575931.0,1662763.0,1749885.0,1840228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,162.0,49.0,frentzen,6.0,1.0,Finished,94377.0,182128.0,269676.0,357177.0,444488.0,531645.0,619051.0,706078.0,793191.0,880607.0,967729.0,1054847.0,1141950.0,1229148.0,1316354.0,1403441.0,1490700.0,1577831.0,1664812.0,1751685.0,1838481.0,1925203.0,2011809.0,2098230.0,2185010.0,2274473.0,2382892.0,2468075.0,2554072.0,2640267.0,2726853.0,2813433.0,2899790.0,2985960.0,3072506.0,3158925.0,3245711.0,3332397.0,3419209.0,3508858.0,3619816.0,3706271.0,3793370.0,3880844.0,3968581.0,4055999.0,4143662.0,4231569.0,4319136.0,4406986.0,4494782.0,4582418.0,4669976.0,4757409.0,4844983.0,4932356.0,5019834.0,5107097.0,5194143.0,5281349.0,5368496.0,5455647.0,5542546.0,5629828.0,5717315.0
3,162.0,15.0,trulli,12.0,11.0,+1 Lap,94824.0,182756.0,270374.0,357918.0,445254.0,532490.0,619815.0,706988.0,794207.0,881553.0,968859.0,1056201.0,1143013.0,1230175.0,1317547.0,1404769.0,1492023.0,1579311.0,1666538.0,1753274.0,1839993.0,1929321.0,2063848.0,2149654.0,2236464.0,2322502.0,2408603.0,2495073.0,2581591.0,2667970.0,2754790.0,2841524.0,2928712.0,3015637.0,3103115.0,3190464.0,3280387.0,3367389.0,3454614.0,3541755.0,3628489.0,3715175.0,3801836.0,3892419.0,4004009.0,4092024.0,4180022.0,4268751.0,4356753.0,4444873.0,4532688.0,4620310.0,4708217.0,4796712.0,4884601.0,4973749.0,5061724.0,5148869.0,5236446.0,5322785.0,5410955.0,5499440.0,5588584.0,5679113.0,
4,162.0,18.0,button,17.0,5.0,Engine,95061.0,183008.0,270926.0,358279.0,445649.0,533026.0,620232.0,707519.0,794658.0,882210.0,969279.0,1056694.0,1143663.0,1230814.0,1318213.0,1405240.0,1492559.0,1582806.0,1690718.0,1775447.0,1860844.0,1946360.0,2032305.0,2118271.0,2204243.0,2290349.0,2376452.0,2462757.0,2548794.0,2634745.0,2720928.0,2807362.0,2893890.0,2979908.0,3066746.0,3153082.0,3239154.0,3325360.0,3412063.0,3498711.0,3588826.0,3700282.0,3786817.0,3874356.0,3961743.0,4049370.0,4136152.0,4223030.0,4309643.0,4397780.0,4484557.0,4572221.0,4658913.0,4745901.0,4833247.0,4920105.0,5007026.0,5094070.0,5180997.0,5268105.0,5354586.0,,,,
20,162.0,63.0,salo,7.0,11.0,+1 Lap,95524.0,183528.0,271502.0,359492.0,447041.0,534360.0,621802.0,709147.0,796372.0,884114.0,971550.0,1058991.0,1146472.0,1234020.0,1321633.0,1408748.0,1496169.0,1583400.0,1670298.0,1757154.0,1844544.0,1931454.0,2018374.0,2105123.0,2191563.0,2278068.0,2367641.0,2474957.0,2560853.0,2646857.0,2733060.0,2819059.0,2905193.0,2991482.0,3077733.0,3163942.0,3250342.0,3336883.0,3423887.0,3510911.0,3597422.0,3683939.0,3771441.0,3858902.0,3949345.0,4058749.0,4145727.0,4232698.0,4320044.0,4407658.0,4495471.0,4583018.0,4670634.0,4758126.0,4845502.0,4932852.0,5020771.0,5110393.0,5197767.0,5285028.0,5372747.0,5460577.0,5548417.0,5636126.0,
