,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
14,39.0,18.0,button,12.0,11.0,+1 Lap,95517.0,181910.0,267898.0,353791.0,439355.0,524734.0,609964.0,695280.0,780462.0,865395.0,950399.0,1035355.0,1120166.0,1204862.0,1289663.0,1374148.0,1458802.0,1543485.0,1627977.0,1712398.0,1800520.0,1924997.0,2047883.0,2135288.0,2221030.0,2306785.0,2392101.0,2477825.0,2566291.0,2651708.0,2737147.0,2822485.0,2907837.0,2992910.0,3077930.0,3162821.0,3247790.0,3332711.0,3419519.0,3504753.0,3591842.0,3677095.0,3762028.0,3846972.0,3931984.0,4017083.0,4101692.0,4190029.0,4297543.0,4382132.0,4466689.0,4551381.0,4636183.0,4720989.0,4805738.0,4890080.0,4974332.0,5058600.0,5142894.0,5227290.0,5311506.0,5396134.0,5480416.0,5564602.0,
16,39.0,21.0,fisichella,9.0,11.0,+1 Lap,95912.0,182552.0,268507.0,354333.0,439882.0,525345.0,610594.0,695801.0,781058.0,866090.0,950863.0,1035900.0,1120691.0,1205494.0,1290547.0,1374863.0,1459482.0,1544070.0,1628642.0,1713170.0,1800919.0,1911935.0,1996262.0,2081287.0,2167395.0,2253117.0,2338478.0,2423369.0,2508878.0,2593923.0,2679306.0,2764678.0,2849765.0,2934487.0,3019210.0,3104068.0,3188835.0,3273465.0,3358035.0,3445838.0,3553068.0,3637363.0,3721543.0,3805839.0,3889677.0,3973825.0,4058155.0,4142108.0,4226196.0,4310026.0,4393940.0,4478199.0,4562093.0,4645861.0,4729613.0,4813369.0,4896929.0,4983559.0,5087930.0,5172672.0,5257721.0,5342459.0,5427150.0,5512172.0,
8,39.0,11.0,sato,8.0,11.0,+1 Lap,96793.0,183319.0,269485.0,355528.0,441336.0,526872.0,612694.0,698669.0,784316.0,869617.0,955066.0,1040118.0,1125079.0,1209894.0,1294752.0,1379315.0,1464001.0,1548638.0,1632996.0,1717628.0,1802146.0,1886493.0,1970603.0,2058249.0,2169312.0,2254309.0,2339722.0,2425016.0,2510264.0,2595476.0,2680757.0,2766146.0,2851391.0,2936799.0,3021572.0,3106270.0,3191241.0,3276116.0,3360806.0,3445622.0,3530239.0,3614564.0,3698972.0,3784232.0,3869064.0,3956729.0,4068543.0,4153680.0,4238493.0,4323187.0,4407733.0,4492480.0,4577161.0,4661747.0,4746437.0,4831636.0,4917242.0,5002764.0,5087356.0,5172110.0,5256757.0,5341500.0,5426267.0,5510941.0,
21,39.0,26.0,speed,18.0,27.0,Tyre,98164.0,185376.0,272119.0,358524.0,444896.0,531134.0,617403.0,703720.0,790951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,39.0,24.0,liuzzi,17.0,31.0,Retired,98656.0,186083.0,274068.0,360871.0,447498.0,533783.0,620131.0,706154.0,792438.0,878656.0,964597.0,1050401.0,1135935.0,1221455.0,1307064.0,1392376.0,1477875.0,1563082.0,1701884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,39.0,17.0,webber,21.0,9.0,Hydraulics,99054.0,186407.0,272800.0,359123.0,445548.0,531906.0,631842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,39.0,16.0,sutil,13.0,12.0,+2 Laps,99772.0,188390.0,275998.0,364184.0,451412.0,538070.0,625034.0,712158.0,798661.0,884540.0,970723.0,1056562.0,1142478.0,1228317.0,1314154.0,1399781.0,1485613.0,1571453.0,1657263.0,1742946.0,1828616.0,1914726.0,2004371.0,2116003.0,2202694.0,2289119.0,2376852.0,2463252.0,2549624.0,2635907.0,2723104.0,2811053.0,2898417.0,2985758.0,3071871.0,3157455.0,3243087.0,3328525.0,3414022.0,3500003.0,3587003.0,3674135.0,3760225.0,3845723.0,3931057.0,4020230.0,4134744.0,4220599.0,4306632.0,4392401.0,4479683.0,4565618.0,4651426.0,4737282.0,4824909.0,4910620.0,4995811.0,5081214.0,5166446.0,5253365.0,5338640.0,5424206.0,5509413.0,,
15,39.0,19.0,davidson,11.0,11.0,+1 Lap,100016.0,187018.0,274605.0,361498.0,448326.0,534879.0,621117.0,707550.0,793815.0,880072.0,966058.0,1051716.0,1137295.0,1222901.0,1308505.0,1393914.0,1479428.0,1564845.0,1650411.0,1735421.0,1820408.0,1905036.0,1989730.0,2074723.0,2160142.0,2244878.0,2332520.0,2443167.0,2528422.0,2615705.0,2701307.0,2786583.0,2871776.0,2956968.0,3041983.0,3126778.0,3211801.0,3296691.0,3381972.0,3468969.0,3554490.0,3640260.0,3725695.0,3811109.0,3898781.0,3984698.0,4071909.0,4156916.0,4245786.0,4353468.0,4438106.0,4522745.0,4607500.0,4692034.0,4776737.0,4861253.0,4945557.0,5030163.0,5114454.0,5198794.0,5283248.0,5367862.0,5452486.0,5537097.0,
11,39.0,15.0,trulli,20.0,32.0,Fuel pressure,100896.0,188888.0,276214.0,362417.0,449548.0,535642.0,624136.0,718148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,39.0,27.0,albers,14.0,12.0,+2 Laps,101319.0,189616.0,277755.0,365619.0,452891.0,539715.0,626906.0,714240.0,800755.0,887089.0,974114.0,1060599.0,1146637.0,1233126.0,1319201.0,1405210.0,1490982.0,1576906.0,1663268.0,1748946.0,1834650.0,1921030.0,2007077.0,2095435.0,2207401.0,2293542.0,2379798.0,2466342.0,2553338.0,2641437.0,2729303.0,2816244.0,2906619.0,3005621.0,3093080.0,3178902.0,3264728.0,3350869.0,3437014.0,3522600.0,3608110.0,3694005.0,3779850.0,3865690.0,3951102.0,4036582.0,4127377.0,4249897.0,4336240.0,4422515.0,4508591.0,4594845.0,4682546.0,4768520.0,4857018.0,4942822.0,5031519.0,5117950.0,5203556.0,5289156.0,5374416.0,5459853.0,5545252.0,,
18,39.0,23.0,ralf_schumacher,16.0,22.0,Suspension,112236.0,230296.0,314970.0,399776.0,484862.0,569717.0,654401.0,739294.0,824115.0,908666.0,993186.0,1077652.0,1161979.0,1246465.0,1330910.0,1415509.0,1501797.0,1586201.0,1671019.0,1755517.0,1839781.0,1923994.0,2008370.0,2093132.0,2177695.0,2261738.0,2349397.0,2457493.0,2544608.0,2629278.0,2714119.0,2798762.0,2883260.0,2967780.0,3052370.0,3136701.0,3220704.0,3304797.0,3389736.0,3474402.0,3558949.0,3643239.0,3727748.0,3836138.0,,,,,,,,,,,,,,,,,,,,,
20,39.0,25.0,wurz,22.0,4.0,Collision,136740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
