,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,958,1,hamilton,131,1,1,Finished,90569,177701,264574,351274,437912,524675,611344,697689,783782,869456,955080,1040698,1126202,1212043,1297897,1387126,1490568,1577012,1663957,1750865,1837696,1924133,2010599,2096868,2183011,2268994,2354758,2441094,2527182,2613071,2698915,2784745,2871500,2956767,3042021,3127018,3211862,3296610,3381377,3466383,3554472,3655829,3741170,3827263,3912497,3997521,4083141,4168085,4253892,4338867,4424075,4510025,4594444,4679008,4763883,4848674,4933018,5017440,5101425,5185280,5269470.0,5355103.0,5440188.0,5524175.0,5608561.0,5692628.0,5777304.0,5861582.0,5945431.0,6030115.0
1,958,3,rosberg,131,2,1,Finished,91645,179102,265978,352895,439317,526077,612780,699501,785550,871489,957295,1043253,1128857,1214553,1300454,1386310,1474447,1578428,1665058,1751924,1838659,1925268,2011782,2098010,2184180,2270127,2356149,2442501,2528730,2614910,2700935,2786791,2873450,2959576,3044686,3129537,3214399,3299047,3383850,3468886,3553843,3641108,3745692,3830379,3914919,3999645,4084926,4169922,4256220,4340825,4425843,4510644,4595652,4680237,4766571,4851627,4935765,5019818,5103541,5187211,5270993.0,5355790.0,5441325.0,5525525.0,5609839.0,5693967.0,5778231.0,5862854.0,5947498.0,6032092.0
10,958,817,ricciardo,9,3,1,Finished,92496,179925,266957,353739,440585,527415,614285,700971,787586,873954,960223,1046586,1133134,1219722,1308335,1415038,1500471,1586613,1672606,1758463,1844509,1930596,2016595,2102580,2188512,2274456,2360373,2446226,2531971,2617746,2703906,2789901,2878165,2981699,3066432,3151841,3236844,3322116,3407989,3493369,3578924,3664181,3749522,3834800,3919891,4005094,4090267,4175456,4260830,4346643,4432698,4518495,4603868,4689513,4774528,4859633,4946120,5031852,5116621,5201229,5285893.0,5372255.0,5457608.0,5543014.0,5628421.0,5713962.0,5799694.0,5885638.0,5971500.0,6057654.0
16,958,830,max_verstappen,9,5,1,Finished,93082,180590,267721,354576,441374,528349,615005,701877,788526,875147,961586,1048179,1135100,1222017,1309423,1399223,1505249,1591651,1678532,1765525,1851873,1938336,2024816,2111082,2197277,2283600,2370589,2457483,2544236,2630145,2716050,2802112,2888051,2973874,3059576,3145709,3232851,3321540,3424141,3508828,3593729,3679226,3764272,3849749,3935085,4020150,4104948,4190520,4275443,4360484,4445938,4531383,4616581,4702026,4787395,4873065,4958917,5044492,5130409,5216636,5302647.0,5389179.0,5475236.0,5561584.0,5647430.0,5733321.0,5819330.0,5905658.0,5992006.0,6078774.0
6,958,20,vettel,6,4,1,Finished,93627,181497,269176,356254,443192,530352,617259,704092,790548,876851,963186,1049697,1136430,1225451,1328437,1415833,1502068,1588493,1674711,1760915,1847047,1933073,2019098,2104856,2190617,2276504,2362510,2448636,2534369,2620112,2705944,2792152,2878210,2964532,3051540,3137067,3222582,3308288,3394026,3480084,3568747,3671364,3756519,3841274,3926628,4011895,4097496,4182390,4266920,4351433,4436266,4521810,4606985,4692076,4777490,4862228,4947867,5034408,5118791,5203421,5288058.0,5373496.0,5458940.0,5544081.0,5629518.0,5714963.0,5800391.0,5886287.0,5972155.0,6058328.0
2,958,4,alonso,1,7,11,+1 Lap,94557,183227,271359,359555,446984,534504,621995,709461,796766,884041,971483,1058669,1145896,1233369,1323089,1428948,1516986,1604709,1692445,1780026,1867473,1954885,2042554,2129559,2216479,2303196,2389880,2476435,2563058,2649716,2737174,2823615,2910103,2996579,3083062,3169630,3256259,3342821,3429989,3517666,3604234,3690860,3777327,3866239,3970677,4056695,4143082,4228930,4314872,4400825,4487053,4573233,4659205,4744887,4830712,4916415,5002287,5088346,5174235,5260633,5346326.0,5431284.0,5516671.0,5602734.0,5688506.0,5775000.0,5863585.0,5949332.0,6035870.0,
18,958,832,sainz,5,8,11,+1 Lap,95155,184063,272214,360380,448300,535908,623576,710926,798283,885548,972855,1060343,1147746,1235042,1322225,1412232,1518303,1605655,1693180,1781006,1868499,1956485,2044227,2131634,2218604,2305586,2392321,2479060,2565859,2652957,2739859,2826618,2913382,3000014,3086764,3173511,3260322,3347130,3434282,3521558,3608891,3699839,3804319,3889590,3975554,4061351,4147547,4233296,4319001,4405276,4491152,4576905,4662902,4748651,4834519,4920413,5006279,5092038,5177796,5263830,5350703.0,5436597.0,5522691.0,5611582.0,5697330.0,5783039.0,5868142.0,5954005.0,6039352.0,
5,958,18,button,1,22,44,Oil leak,95567,184764,273193,362410,470321,559085,648962,753810,840554,930501,1030398,1117646,1205119,1292543,1380053,1467567,1554898,1642386,1729589,1816966,1904098,1991339,2078394,2165645,2253476,2341757,2429848,2520651,2626412,2713477,2800572,2889781,2977046,3064359,3153511,3241053,3328133,3417420,3504788,3591948,3680223,3768353,3855580,3942823,4030176,4117247,4204285,4291135,4378033,4464808,4551563,4638434,4725481,4812844,4900244,4987509,5074946,5162217,5249361,5348652,,,,,,,,,,
12,958,822,bottas,3,9,11,+1 Lap,96183,185350,274094,362590,450159,537768,625318,713154,800746,888284,975711,1063118,1150814,1238465,1326226,1417517,1522710,1610710,1697538,1784867,1872387,1959787,2047232,2134636,2222082,2309279,2396474,2483514,2570486,2657443,2744448,2831169,2917877,3004504,3091284,3177878,3264513,3351206,3438185,3525396,3612724,3700171,3790449,3894087,3979893,4065877,4151774,4237678,4323535,4409471,4495271,4581140,4666958,4752838,4838820,4924698,5010629,5096098,5181371,5266867,5353356.0,5441697.0,5528176.0,5615206.0,5701468.0,5787575.0,5873751.0,5960078.0,6046620.0,
8,958,807,hulkenberg,10,10,11,+1 Lap,96541,185971,274809,363036,451097,538859,626584,714373,802287,889941,977753,1065872,1154239,1246031,1351203,1437601,1525244,1613381,1701311,1789829,1878330,1966788,2055405,2143858,2232329,2318540,2404969,2491971,2578727,2665460,2752200,2838864,2925364,3012171,3099318,3186566,3273794,3361091,3451120,3556744,3642866,3729327,3815533,3901887,3988625,4075120,4161387,4246999,4332768,4418511,4504638,4591127,4677679,4765580,4853413,4939286,5025256,5111305,5196942,5282759,5368421.0,5454208.0,5540044.0,5625828.0,5711695.0,5797380.0,5882866.0,5968319.0,6053711.0,
