,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
18,149,56,irvine,19,7,1,Finished,91286,174235,256533,338692,420570,502387,584075,665770.0,747722.0,829973.0,911980.0,993390.0,1074864.0,1155058.0,1236000.0,1317756.0,1398989.0,1480408.0,1561205.0,1642204.0,1723144.0,1804450.0,1885748.0,1966650.0,2048069.0,2129510.0,2210931.0,2292019.0,2372798.0,2453700.0,2535285.0,2615410.0,2694262.0,2772936.0,2852116.0,2931071.0,3013135.0,3122548.0,3203799.0,3284388.0,3364949.0,3445375.0,3525964.0,3607811.0,3688432.0,3769457.0,3850206.0,3932103.0,4013008.0,4093512.0,4173942.0,4254399.0,4334665.0,4414703.0,4494911.0,4574874.0,4654532.0,4734014.0,4813323.0,4893088.0,4973147.0,5052600.0,5131497.0,5210418.0,5289616.0,5369032.0,5448922.0
11,149,35,villeneuve,16,9,11,+1 Lap,91758,175155,257744,339790,421959,504178,586081,667600.0,749900.0,831706.0,913571.0,995490.0,1077206.0,1158613.0,1240130.0,1321619.0,1402913.0,1484421.0,1565861.0,1647392.0,1728848.0,1810088.0,1891101.0,1972180.0,2053801.0,2134930.0,2217095.0,2298164.0,2379061.0,2460195.0,2541534.0,2623259.0,2704615.0,2786058.0,2867129.0,2948134.0,3029116.0,3110262.0,3191166.0,3272086.0,3353370.0,3434453.0,3518745.0,3625274.0,3706319.0,3787425.0,3867617.0,3947981.0,4028379.0,4109342.0,4189984.0,4270823.0,4352033.0,4433089.0,4515750.0,4596133.0,4676614.0,4756737.0,4836966.0,4917467.0,4997625.0,5077641.0,5158015.0,5238234.0,5318031.0,5398681.0,
6,149,21,fisichella,22,11,11,+1 Lap,92424,175687,258725,340582,422606,505102,586840,668504.0,750720.0,832750.0,915470.0,997164.0,1079110.0,1160823.0,1242258.0,1323964.0,1405628.0,1488084.0,1569416.0,1650767.0,1735299.0,1841246.0,1923587.0,2004444.0,2085255.0,2165984.0,2247023.0,2328105.0,2409340.0,2490446.0,2571954.0,2653358.0,2736878.0,2819687.0,2901606.0,2984739.0,3066464.0,3147836.0,3229073.0,3310274.0,3391439.0,3475613.0,3584000.0,3665028.0,3746224.0,3827390.0,3908888.0,3991359.0,4072770.0,4154279.0,4235810.0,4317379.0,4398838.0,4480386.0,4562046.0,4643705.0,4725369.0,4807287.0,4890828.0,4972686.0,5054919.0,5135953.0,5217178.0,5298872.0,5380631.0,5463678.0,
15,149,50,verstappen,21,16,5,Engine,92928,176350,259274,341970,424336,506669,589010,671033.0,753006.0,834831.0,916755.0,998713.0,1081023.0,1162821.0,1244552.0,1326142.0,1407718.0,1489645.0,1571386.0,1652821.0,1734369.0,1815831.0,1896985.0,1978463.0,2059837.0,2144499.0,2254731.0,2335995.0,2418226.0,2499769.0,2584807.0,2666604.0,2748589.0,2830149.0,2912053.0,2993539.0,3075091.0,3156791.0,3238505.0,3320033.0,3401477.0,3484103.0,3566487.0,3648057.0,3730345.0,3815011.0,3923511.0,4006768.0,4088172.0,4169517.0,4251090.0,4332932.0,4415786.0,4497534.0,4580066.0,4661654.0,4743279.0,4824853.0,,,,,,,,,
12,149,37,rosa,19,8,11,+1 Lap,93547,177304,260591,343592,426343,509310,591907,674416.0,756542.0,838651.0,920929.0,1002860.0,1084616.0,1166322.0,1247755.0,1329434.0,1410918.0,1492824.0,1574278.0,1655887.0,1737315.0,1818472.0,1899501.0,1980397.0,2061261.0,2142255.0,2223220.0,2303878.0,2384668.0,2465094.0,2548816.0,2629108.0,2709492.0,2789738.0,2870098.0,2950473.0,3030516.0,3111450.0,3192407.0,3273689.0,3354275.0,3435276.0,3516329.0,3599329.0,3704938.0,3785210.0,3865422.0,3945607.0,4026719.0,4107702.0,4188547.0,4269472.0,4350262.0,4431124.0,4511885.0,4594088.0,4674691.0,4755026.0,4835203.0,4915941.0,4996301.0,5076422.0,5156790.0,5236820.0,5316557.0,5396946.0,
21,149,59,bernoldi,21,20,6,Gearbox,93938,177751,261130,344173,427169,510178,592657,675129.0,757723.0,839721.0,921964.0,1003971.0,1086105.0,1168134.0,1249987.0,1331778.0,1413316.0,1495264.0,1577131.0,1658712.0,1740254.0,1821683.0,1906512.0,2024515.0,2105703.0,2187399.0,2268747.0,2350476.0,2432152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,149,44,panis,16,21,10,Electrical,94650,178173,261513,344538,427711,510567,593070,675550.0,758294.0,840607.0,922562.0,1004479.0,1086562.0,1168760.0,1250664.0,1332371.0,1414202.0,1496408.0,1578018.0,1659364.0,1740979.0,1822454.0,1903768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,149,18,button,22,13,12,+2 Laps,95144,178429,261816,344847,428040,510927,593648,676292.0,759017.0,841553.0,923710.0,1005619.0,1087700.0,1169702.0,1251454.0,1333514.0,1415350.0,1496988.0,1578983.0,1660545.0,1741931.0,1823361.0,1907743.0,2013588.0,2093657.0,2176190.0,2256977.0,2341824.0,2423617.0,2505209.0,2587158.0,2669155.0,2750888.0,2832534.0,2914225.0,2995789.0,3077525.0,3159374.0,3241185.0,3324192.0,3407866.0,3490109.0,3576619.0,3684624.0,3767306.0,3848463.0,3929754.0,4013840.0,4095342.0,4176438.0,4258087.0,4339340.0,4421910.0,4503581.0,4585294.0,4669015.0,4750543.0,4833232.0,4916870.0,5000224.0,5082036.0,5163713.0,5245342.0,5326482.0,5409667.0,,
17,149,55,alesi,20,15,20,Spun off,95808,179476,262511,345574,428672,511383,594241,676832.0,759565.0,842117.0,924301.0,1006449.0,1088694.0,1170679.0,1252452.0,1334262.0,1416173.0,1497957.0,1579680.0,1661618.0,1743132.0,1824591.0,1905969.0,1986852.0,2067829.0,2148921.0,2230241.0,2311684.0,2392670.0,2473212.0,2554058.0,2634681.0,2716010.0,2797863.0,2878438.0,2958540.0,3038624.0,3118874.0,3199128.0,3279818.0,3360369.0,3443902.0,3550449.0,3632397.0,3714089.0,3796023.0,3876820.0,3956869.0,4037129.0,4117982.0,4199831.0,4280581.0,4361809.0,4443093.0,4524304.0,4605377.0,4686568.0,4768114.0,4849134.0,4931260.0,5012651.0,5093407.0,5173948.0,5255567.0,,,
16,149,54,burti,20,12,12,+2 Laps,96265,180069,263186,346041,429152,512137,594858,677394.0,760186.0,844487.0,926719.0,1013032.0,1127540.0,1211725.0,1294304.0,1377925.0,1460685.0,1543887.0,1629390.0,1713427.0,1795257.0,1877276.0,1959299.0,2041814.0,2123477.0,2206234.0,2288692.0,2370122.0,2451746.0,2537008.0,2618614.0,2699735.0,2780893.0,2861706.0,2943250.0,3023977.0,3104838.0,3185555.0,3266717.0,3348452.0,3429104.0,3509137.0,3589291.0,3669351.0,3749680.0,3831893.0,3912892.0,3993239.0,4076787.0,4181996.0,4262021.0,4343533.0,4423261.0,4503931.0,4585580.0,4666312.0,4745417.0,4825088.0,4907004.0,4986110.0,5069768.0,5149808.0,5229077.0,5308208.0,5387681.0,,
1,149,4,alonso,18,14,12,+2 Laps,96571,181216,264296,347463,430555,513630,596408,679250.0,761975.0,845695.0,928315.0,1011400.0,1093995.0,1176259.0,1258369.0,1340156.0,1421512.0,1503336.0,1584957.0,1666173.0,1747791.0,1828985.0,1910222.0,1991367.0,2075568.0,2190357.0,2271847.0,2352963.0,2433900.0,2515273.0,2596899.0,2679108.0,2761541.0,2844434.0,2927067.0,3009520.0,3091528.0,3173968.0,3256113.0,3337803.0,3419476.0,3500734.0,3584822.0,3666341.0,3747989.0,3833074.0,3941377.0,4022795.0,4103819.0,4186620.0,4267944.0,4349173.0,4432287.0,4516943.0,4600918.0,4684127.0,4768529.0,4852460.0,4934809.0,5017825.0,5100563.0,5182713.0,5266704.0,5350535.0,5433817.0,,
