,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
10,350.0,18.0,button,2.0,1.0,Finished,90560.0,178674.0,266355.0,353871.0,441149.0,528145.0,615339.0,702560.0,789626.0,876589.0,963450.0,1050354.0,1137049.0,1223634.0,1310060.0,1396390.0,1482596.0,1568790.0,1655152.0,1741410.0,1827900.0,1914066.0,2000252.0,2086770.0,2173431.0,2259614.0,2345543.0,2431312.0,2517003.0,2602829.0,2688762.0,2774746.0,2860882.0,2946763.0,3032332.0,3121501.0,3225336.0,3312072.0,3397316.0,3482418.0,3567469.0,3652469.0,3738094.0,3824122.0,3908778.0,3993376.0,4078095.0,4163218.0,4247962.0,4332620.0,4417702.0,4502572.0,4587510.0
2,350.0,4.0,alonso,1.0,1.0,Finished,91181.0,179375.0,267013.0,354295.0,441851.0,528844.0,615884.0,703187.0,790225.0,877288.0,964526.0,1051877.0,1138745.0,1225166.0,1311454.0,1397555.0,1483821.0,1570146.0,1656194.0,1742346.0,1828791.0,1914803.0,2001188.0,2087466.0,2174062.0,2260287.0,2346256.0,2432181.0,2518100.0,2603774.0,2689620.0,2775579.0,2861691.0,2947689.0,3033292.0,3118771.0,3207365.0,3311592.0,3396534.0,3481214.0,3565950.0,3650626.0,3735641.0,3820479.0,3905019.0,3989880.0,4074935.0,4159418.0,4243883.0,4328844.0,4415000.0,4499139.0,4584572.0
6,350.0,13.0,massa,3.0,1.0,Finished,92152.0,180459.0,268220.0,355690.0,442783.0,529840.0,616976.0,703898.0,791141.0,878157.0,965395.0,1052855.0,1139862.0,1226477.0,1313140.0,1399541.0,1485825.0,1572078.0,1658992.0,1745296.0,1831825.0,1917789.0,2003847.0,2090019.0,2176477.0,2262784.0,2348759.0,2434976.0,2520769.0,2606726.0,2692396.0,2778154.0,2863989.0,2949783.0,3035332.0,3120698.0,3206003.0,3294813.0,3400587.0,3485588.0,3570733.0,3655740.0,3740637.0,3825679.0,3910575.0,3995320.0,4080264.0,4165026.0,4249923.0,4334555.0,4419130.0,4503757.0,4588795.0
1,350.0,3.0,rosberg,5.0,1.0,Finished,93523.0,182194.0,270562.0,358607.0,446309.0,533919.0,621521.0,709048.0,796576.0,883993.0,971408.0,1058968.0,1146607.0,1233887.0,1321008.0,1408235.0,1495265.0,1582205.0,1669105.0,1755996.0,1842805.0,1929521.0,2016217.0,2102910.0,2189378.0,2276635.0,2363390.0,2449907.0,2536201.0,2622429.0,2708884.0,2795278.0,2881747.0,2967875.0,3057449.0,3162823.0,3249150.0,3335194.0,3421077.0,3506601.0,3591844.0,3677116.0,3762568.0,3847706.0,3932907.0,4017985.0,4103304.0,4187944.0,4272881.0,4357587.0,4444430.0,4528921.0,4614514.0
4,350.0,9.0,kubica,8.0,1.0,Finished,94072.0,182971.0,271478.0,359661.0,447799.0,535746.0,623250.0,710856.0,798768.0,886228.0,973747.0,1061265.0,1148778.0,1236139.0,1323373.0,1410384.0,1497524.0,1584505.0,1671365.0,1758528.0,1845250.0,1931970.0,2018705.0,2105429.0,2191917.0,2278675.0,2365264.0,2451853.0,2538333.0,2624723.0,2711111.0,2797507.0,2886957.0,2993517.0,3079285.0,3165317.0,3253268.0,3339870.0,3425805.0,3511354.0,3596793.0,3682250.0,3767441.0,3852977.0,3938133.0,4023448.0,4108176.0,4192736.0,4277352.0,4363227.0,4448559.0,4533307.0,4618600.0
19,350.0,807.0,hulkenberg,7.0,1.0,Finished,94498.0,183295.0,272048.0,360143.0,448391.0,536422.0,624153.0,711821.0,799553.0,887055.0,974578.0,1062062.0,1149520.0,1236804.0,1324149.0,1411290.0,1498656.0,1585663.0,1672519.0,1759665.0,1846582.0,1933458.0,2020026.0,2107073.0,2193529.0,2280057.0,2366834.0,2453328.0,2539981.0,2626356.0,2712818.0,2799087.0,2885480.0,2971475.0,3057425.0,3146622.0,3251996.0,3338387.0,3424076.0,3509267.0,3594885.0,3679863.0,3765145.0,3850104.0,3935064.0,4019977.0,4105209.0,4189888.0,4275743.0,4362614.0,4447745.0,4532321.0,4617384.0
11,350.0,20.0,vettel,4.0,1.0,Finished,94845.0,184055.0,272655.0,360809.0,448911.0,537560.0,624830.0,712424.0,800210.0,887703.0,975069.0,1062662.0,1150335.0,1237364.0,1324688.0,1412011.0,1499216.0,1586420.0,1673364.0,1761859.0,1850346.0,1937000.0,2023704.0,2110441.0,2197160.0,2283242.0,2370320.0,2456440.0,2542538.0,2628492.0,2714781.0,2800818.0,2886958.0,2973176.0,3059918.0,3145594.0,3231444.0,3316941.0,3402170.0,3487395.0,3572524.0,3657754.0,3742842.0,3828138.0,3913757.0,3998552.0,4083343.0,4168008.0,4253086.0,4337579.0,4422286.0,4510476.0,4612768.0
15,350.0,30.0,michael_schumacher,9.0,1.0,Finished,95710.0,184724.0,273554.0,361945.0,449987.0,539249.0,627168.0,715172.0,803133.0,891035.0,978655.0,1066120.0,1153751.0,1241374.0,1329106.0,1416554.0,1503850.0,1590918.0,1678101.0,1765474.0,1852717.0,1939619.0,2026421.0,2113413.0,2200207.0,2287418.0,2374298.0,2461600.0,2548349.0,2634854.0,2721614.0,2808425.0,2895040.0,2981503.0,3067868.0,3157372.0,3262101.0,3347652.0,3433273.0,3518973.0,3604655.0,3689900.0,3775321.0,3860834.0,3946581.0,4032111.0,4117548.0,4203052.0,4287999.0,4373308.0,4458349.0,4543492.0,4629520.0
9,350.0,17.0,webber,6.0,1.0,Finished,96124.0,185260.0,273892.0,362325.0,450185.0,538103.0,625718.0,713289.0,801213.0,888579.0,975825.0,1063381.0,1150764.0,1238264.0,1325716.0,1412776.0,1499832.0,1587159.0,1674104.0,1761122.0,1847582.0,1934101.0,2020910.0,2107701.0,2194069.0,2280837.0,2367577.0,2454136.0,2540790.0,2627112.0,2713573.0,2800148.0,2886293.0,2972554.0,3061793.0,3165845.0,3252414.0,3339178.0,3424831.0,3510249.0,3595480.0,3680831.0,3766439.0,3851701.0,3936232.0,4021126.0,4106036.0,4190608.0,4275977.0,4361298.0,4445937.0,4530215.0,4615848.0
17,350.0,67.0,buemi,11.0,1.0,Finished,96894.0,186583.0,275286.0,364340.0,452885.0,541621.0,630000.0,718215.0,806560.0,894516.0,982687.0,1070725.0,1158978.0,1246734.0,1334602.0,1422301.0,1509886.0,1597853.0,1685448.0,1773039.0,1860526.0,1947785.0,2035457.0,2122968.0,2210076.0,2296951.0,2383968.0,2471205.0,2559462.0,2646559.0,2733520.0,2820996.0,2911732.0,3019131.0,3105695.0,3192108.0,3278833.0,3365464.0,3451873.0,3537589.0,3623192.0,3708816.0,3794504.0,3880046.0,3965619.0,4051254.0,4136730.0,4222011.0,4307441.0,4393182.0,4478406.0,4563896.0,4649628.0
