,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
13,906.0,815.0,perez,11.0,4.0,Collision,122234.0,247920.0,376904.0,502251.0,623107.0,738009.0,850277.0,932811.0,1014419.0,1095805.0,1177358.0,1259657.0,1341438.0,1423560.0,1505751.0,1587812.0,1669386.0,1750500.0,1831507.0,1912626.0,1993736.0,2074725.0,2155448.0,2236203.0,2317161.0,2398053.0,2478574.0,2559276.0,2640100.0,2720923.0,2801768.0,2882783.0,2963527.0,3060738.0,3143137.0,3223097.0,3302800.0,3382696.0,3462528.0,3542268.0,3622103.0,3701679.0,3781412.0,3861201.0,3940917.0,4020462.0,4100038.0,4179913.0,4259946.0,4340301.0,4420269.0,4500362.0,4580201.0,4660069.0,4739938.0,4820027.0,4899771.0,4979354.0,5059004.0,5138818.0,5218642.0,5298333.0,5377824.0,5457591.0,5537836.0,5619640.0,5699318.0,5779096.0,5859665.0,
11,906.0,807.0,hulkenberg,5.0,1.0,Finished,123633.0,248965.0,378440.0,503673.0,624516.0,738909.0,850673.0,933959.0,1016197.0,1098068.0,1179812.0,1261715.0,1344198.0,1426143.0,1507796.0,1589430.0,1670993.0,1752370.0,1833573.0,1914686.0,1995855.0,2077208.0,2158999.0,2239474.0,2320562.0,2401029.0,2481640.0,2562116.0,2642627.0,2723036.0,2803541.0,2884104.0,2964790.0,3045433.0,3125552.0,3205857.0,3285778.0,3366264.0,3446463.0,3527250.0,3623742.0,3705522.0,3785476.0,3865467.0,3945358.0,4025274.0,4105402.0,4185430.0,4265586.0,4345413.0,4425333.0,4505065.0,4585188.0,4665156.0,4745171.0,4825348.0,4906833.0,4987439.0,5067051.0,5146614.0,5226427.0,5305605.0,5384776.0,5463712.0,5542834.0,5622857.0,5702526.0,5782891.0,5864353.0,5965673.0
18,906.0,825.0,kevin_magnussen,9.0,1.0,Finished,125429.0,250399.0,379792.0,504573.0,625984.0,740072.0,851151.0,934198.0,1016791.0,1098946.0,1181127.0,1263548.0,1346245.0,1429061.0,1526987.0,1609352.0,1689756.0,1770479.0,1851058.0,1932496.0,2014077.0,2095519.0,2176839.0,2258110.0,2339617.0,2422268.0,2503751.0,2585047.0,2666567.0,2747305.0,2828237.0,2908958.0,2989384.0,3069992.0,3150640.0,3231327.0,3311837.0,3392041.0,3472389.0,3552543.0,3632628.0,3712564.0,3792688.0,3872976.0,3969841.0,4051225.0,4130334.0,4209458.0,4289111.0,4368613.0,4447869.0,4527063.0,4606270.0,4685360.0,4764463.0,4843282.0,4922111.0,5001120.0,5080488.0,5159977.0,5239568.0,5319251.0,5399622.0,5479040.0,5557961.0,5637756.0,5717360.0,5796923.0,5877106.0,5982084.0
6,906.0,16.0,sutil,13.0,11.0,+1 Lap,126953.0,252044.0,381793.0,506274.0,626829.0,741571.0,851762.0,935114.0,1017460.0,1099660.0,1182081.0,1264512.0,1347461.0,1430887.0,1529444.0,1614529.0,1696068.0,1778256.0,1859890.0,1941562.0,2023168.0,2105335.0,2186970.0,2268674.0,2351496.0,2433557.0,2517032.0,2599273.0,2681056.0,2762722.0,2844154.0,2925213.0,3006645.0,3087980.0,3169079.0,3250464.0,3331611.0,3413319.0,3494758.0,3592949.0,3676714.0,3757959.0,3838369.0,3918612.0,3998973.0,4079743.0,4160361.0,4241283.0,4322013.0,4402619.0,4482898.0,4563174.0,4643408.0,4723980.0,4805300.0,4886797.0,4968788.0,5049698.0,5130402.0,5211397.0,5292016.0,5372588.0,5452987.0,5533662.0,5614286.0,5694512.0,5783153.0,5865671.0,5969355.0,
9,906.0,154.0,grosjean,15.0,65.0,Rear wing,128245.0,253858.0,383964.0,508734.0,629368.0,743085.0,852316.0,935688.0,1018078.0,1100597.0,1200563.0,1285226.0,1367126.0,1449422.0,1531356.0,1613869.0,1695507.0,1777091.0,1858812.0,1940692.0,2022285.0,2104185.0,2186143.0,2267923.0,2351013.0,2432693.0,2514137.0,2595601.0,2677217.0,2758825.0,2839946.0,2921152.0,3001928.0,3082715.0,3163231.0,3243781.0,3324160.0,3404878.0,3485901.0,3567742.0,3648890.0,3729615.0,3810561.0,3891542.0,3972096.0,4069544.0,4152901.0,4233195.0,4313545.0,4393819.0,4473755.0,4553884.0,4633957.0,4713607.0,4793383.0,4873204.0,4953208.0,5033045.0,5112836.0,,,,,,,,,,,
19,906.0,826.0,kvyat,16.0,79.0,Drivetrain,129948.0,254780.0,385502.0,510572.0,630943.0,744670.0,852720.0,936393.0,1018783.0,1110697.0,1192562.0,1275524.0,1356797.0,1439771.0,1522280.0,1603446.0,1686215.0,1768285.0,1849395.0,1930672.0,2012132.0,2093808.0,2174996.0,2256100.0,2337558.0,2418874.0,2500792.0,2583929.0,2685226.0,2768836.0,2849159.0,2930084.0,3010222.0,3090434.0,3170660.0,3250841.0,3331894.0,3412692.0,3492754.0,3573013.0,3653256.0,3733635.0,3813613.0,3894043.0,3974359.0,4072843.0,4156358.0,,,,,,,,,,,,,,,,,,,,,,,
12,906.0,813.0,maldonado,19.0,131.0,Power Unit,130831.0,255559.0,386718.0,511266.0,631759.0,745149.0,853419.0,937318.0,1020312.0,1102554.0,1185427.0,1267438.0,1349572.0,1431926.0,1514773.0,1597014.0,1679388.0,1761835.0,1843473.0,1925070.0,2006584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,906.0,155.0,kobayashi,18.0,22.0,Suspension,133113.0,257401.0,388426.0,513204.0,633370.0,747086.0,854165.0,938742.0,1022909.0,1106580.0,1191337.0,1276417.0,1360907.0,1445340.0,1529897.0,1614543.0,1699517.0,1783454.0,1867090.0,1950220.0,2033835.0,2117213.0,2200904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,906.0,828.0,ericsson,20.0,101.0,Turbo,134065.0,258917.0,389739.0,514562.0,634749.0,749244.0,860285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,906.0,821.0,gutierrez,14.0,132.0,ERS,149693.0,274050.0,390694.0,515954.0,636763.0,750899.0,858020.0,941614.0,1024693.0,1107381.0,1190659.0,1273399.0,1356478.0,1439740.0,1523381.0,1606970.0,1689688.0,1772626.0,1854825.0,1936852.0,2019036.0,2103072.0,2185786.0,2267768.0,2350078.0,2433378.0,2516676.0,2599957.0,2682247.0,2764039.0,2845959.0,2945462.0,3030619.0,3112238.0,3193590.0,3274572.0,3355477.0,3436125.0,3516915.0,3598001.0,3678702.0,3759314.0,3840086.0,3921064.0,4001963.0,4082796.0,4163473.0,4244178.0,4324918.0,4405067.0,4485179.0,4565380.0,4645685.0,4726172.0,4806584.0,4887366.0,4968315.0,5048922.0,5129793.0,5210577.0,5291424.0,5371727.0,5452278.0,5534792.0,,,,,,
