,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
8,880,20,vettel,9,3,1,Finished,99646,192752,286302,380676,475172,569920,682156,781329,873646,965855,1058545,1150784,1243371,1337036,1430622,1524378,1617872,1711481,1805005,1898649,2010425,2107702,2199359,2290738,2383006.0,2475673.0,2568218.0,2660358.0,2753269.0,2846306.0,2939460.0,3032299.0,3123876.0,3215194.0,3306732.0,3398857.0,3508601.0,3605266.0,3696156.0,3787266.0,3877725.0,3968134.0,4058723.0,4149446.0,4240475.0,4331548.0,4422612.0,4514307.0,4605404.0,4696472.0,4787470.0,4878277.0,4969243.0,5060425.0,5151218.0,5242101.0,5333386.0,5425571.0
4,880,13,massa,6,4,1,Finished,101714,194567,288023,381526,475895,570750,665385,777111,876149,968125,1061302,1153090,1245457,1338113,1431342,1524958,1618530,1712055,1805683,1899352,1992730,2085863,2196381,2293730,2385145.0,2476867.0,2569433.0,2662274.0,2755163.0,2848297.0,2940969.0,3033685.0,3126315.0,3218233.0,3310594.0,3420380.0,3516170.0,3606409.0,3697238.0,3789753.0,3880374.0,3970971.0,4061779.0,4152461.0,4243242.0,4334366.0,4425534.0,4516949.0,4609312.0,4700836.0,4792068.0,4883837.0,4975571.0,5067454.0,5159487.0,5251587.0,5343908.0,5436802.0
2,880,4,alonso,6,2,1,Finished,102073,195270,288495,382290,476579,571370,666186,760882,872185,970085,1062525,1154408,1246494,1338783,1432080,1525643,1619441,1712724,1806361,1917552,2013723,2106161,2198411,2290331,2382175.0,2474823.0,2566945.0,2658758.0,2751196.0,2843427.0,2938889.0,3031306.0,3122142.0,3212517.0,3303123.0,3393797.0,3485157.0,3576468.0,3685804.0,3782239.0,3871964.0,3963148.0,4052797.0,4142915.0,4234409.0,4325953.0,4417624.0,4508463.0,4599040.0,4689373.0,4779783.0,4869365.0,4958925.0,5048801.0,5140659.0,5231835.0,5323040.0,5415676.0
0,880,1,hamilton,131,5,1,Finished,103828,199242,293272,387319,481926,577641,672709,767162,861097,954843,1048040,1141248,1253304,1353176,1446817,1539708,1631919,1725114,1818661,1911837,2005239,2098344,2190913,2283441,2376227.0,2469296.0,2562559.0,2655650.0,2749240.0,2843109.0,2957869.0,3056663.0,3147993.0,3238834.0,3329462.0,3420550.0,3512450.0,3604012.0,3696036.0,3790533.0,3882186.0,3991891.0,4088876.0,4178895.0,4268654.0,4358579.0,4448517.0,4538448.0,4628822.0,4719871.0,4812126.0,4902603.0,4993011.0,5083657.0,5174418.0,5265106.0,5356732.0,5448786.0
3,880,8,raikkonen,208,1,1,Finished,104043,198610,291975,385463,479147,573512,667422,761303,874234,972732,1064681,1157514,1249391,1341768,1434708,1527834,1621326,1714657,1808080,1901506,1994352,2087291,2180403,2272382,2364872.0,2457220.0,2549533.0,2642703.0,2735815.0,2830923.0,2923012.0,3014897.0,3107005.0,3218264.0,3316194.0,3408075.0,3499750.0,3591263.0,3683032.0,3775094.0,3866391.0,3956750.0,4048294.0,4138858.0,4229805.0,4319677.0,4409882.0,4500555.0,4591347.0,4681923.0,4772165.0,4862080.0,4952189.0,5042610.0,5132347.0,5221621.0,5311464.0,5403225.0
1,880,3,rosberg,131,20,10,Electrical,104529,199950,294763,389876,485695,581792,677035,771262,864835,958516,1052167,1146137,1240605,1352703,1451933,1545152,1638540,1730799,1823475,1916584,2009968,2103060,2195834,2288388,2380969.0,2473999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,880,17,webber,9,6,1,Finished,105114,200716,295793,391432,507473,606325,700289,794590,889083,983170,1077369,1171199,1264881,1358657,1453728,1547709,1641904,1754221,1851296,1942839,2035269,2127363,2219178,2311339,2404021.0,2497248.0,2589865.0,2683602.0,2778854.0,2872108.0,2964696.0,3057539.0,3149934.0,3241932.0,3334366.0,3427465.0,3520576.0,3630908.0,3728275.0,3818328.0,3908407.0,3999941.0,4090503.0,4180667.0,4270399.0,4360471.0,4450518.0,4541138.0,4631750.0,4721834.0,4815560.0,4906254.0,4996642.0,5087170.0,5178306.0,5268749.0,5359425.0,5450025.0
11,880,814,resta,10,8,1,Finished,105675,201738,296888,392306,487960,583472,678505,791715,891720,985370,1078861,1172333,1266315,1359899,1454450,1548846,1643283,1737297,1831256,1925359,2019167,2113295,2206848,2300869,2394513.0,2487926.0,2581335.0,2675012.0,2770144.0,2864872.0,2958876.0,3052645.0,3166197.0,3265976.0,3358290.0,3449776.0,3541487.0,3633346.0,3724960.0,3816749.0,3908198.0,4001026.0,4093203.0,4185547.0,4277632.0,4369618.0,4461355.0,4553430.0,4646020.0,4738059.0,4829984.0,4921928.0,5013788.0,5105010.0,5196059.0,5286953.0,5378400.0,5471674.0
7,880,18,button,1,9,1,Finished,106360,202210,297504,411395,510802,605933,699934,794310,888784,982754,1076846,1170521,1264100,1357628,1453191,1547131,1640900,1735290,1829506,1943262,2041798,2134842,2228788,2321285,2414352.0,2508615.0,2601830.0,2695587.0,2792195.0,2886894.0,2979580.0,3072252.0,3165668.0,3258090.0,3351447.0,3444282.0,3554511.0,3651687.0,3742946.0,3835000.0,3925198.0,4015688.0,4106482.0,4197396.0,4289185.0,4380703.0,4472377.0,4564421.0,4655690.0,4746913.0,4838432.0,4930041.0,5021505.0,5113808.0,5206256.0,5298905.0,5391841.0,5484855.0
5,880,16,sutil,10,7,1,Finished,106947,202951,298005,393565,488244,583816,679247,773849,867908,961826,1055475,1148986,1242761,1336452,1429890,1523507,1616707,1710220,1803591,1897308,2008877,2107196,2200350,2291684,2383651.0,2476211.0,2569140.0,2661759.0,2754669.0,2847647.0,2940391.0,3032780.0,3125369.0,3217527.0,3309744.0,3402102.0,3494808.0,3587032.0,3679331.0,3771682.0,3863531.0,3955536.0,4049028.0,4141609.0,4234179.0,4346378.0,4445221.0,4536633.0,4627343.0,4719459.0,4817914.0,4913195.0,5006672.0,5100162.0,5192627.0,5285116.0,5376670.0,5468293.0
