,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,damon_hill,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,berger,2,2,2,7,14,13,12,11,11,11,11,11,11,10,9,9,6,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
2,hakkinen,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,michael_schumacher,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,irvine,5,5,5,4,4,4,4,4,4,4,4,5,5,5,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,6,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,villeneuve,6,6,6,5,5,5,5,5,5,5,5,4,4,4,8,7,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,brundle,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,6,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5
7,barrichello,8,8,8,8,7,7,7,7,7,7,7,7,7,8,11,11,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,11,10,10,9,9,9,8,8,8,8,8,8,8,8,9,9,9,9,9
8,frentzen,9,9,9,9,8,8,8,8,8,8,8,8,8,7,6,6,11,9,9,9,9,9,9,9,9,9,9,9,10,12,12,11,10,9,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6
9,panis,10,10,10,10,9,9,9,9,9,9,9,9,9,9,7,8,8,10,10,10,10,10,10,10,10,10,10,10,9,9,9,12,11,10,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7
10,herbert,11,11,11,11,10,10,10,10,10,10,10,10,10,11,10,10,9,11,11,11,11,11,11,11,11,11,11,11,11,10,10,9,8,12,11,11,10,10,10,9,9,9,9,9,9,9,10,10,10,10,10,10
11,diniz,12,12,12,12,11,11,11,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,verstappen,13,13,13,13,12,12,13,13,13,13,13,13,13,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,0
13,salo,14,15,15,15,15,15,15,15,15,15,16,16,16,15,15,14,13,13,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,katayama,15,14,14,14,13,14,14,14,14,14,14,14,14,13,14,16,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,lamy,16,16,16,16,16,16,16,16,16,17,17,17,17,16,16,15,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,13,12,12,12,12,12,12,12,12,12,12,12,0,0
16,coulthard,17,17,17,17,17,17,17,17,17,16,15,15,15,14,13,13,14,14,13,13,12,12,12,12,12,12,12,12,12,11,11,10,9,8,12,12,11,11,11,10,10,10,10,10,10,10,9,8,8,8,8,8
