,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,945,3,rosberg,131,1,1,Finished,108445,215459,322401,429664,536852,644106,750995,858167,965288,1074802,1201705,1309078,1416568,1524117,1630945,1738338,1845773,1952802,2060136,2167674,2274802,2382035,2489814,2597153,2704606,2811605,2919015,3026209,3133473,3240482,3349730,3475600,3581050,3686994,3792621,3898151,4003507,4109554,4215054,4320727,4426639,4532590,4638066,4743735,4849225,4955712,5061485,5166960,5272421,5378060,5483496,5589073,5695879.0,5802262.0,5910175.0
0,945,1,hamilton,131,2,1,Finished,109867,217062,324196,431509,538624,646116,753778,861815,970059,1078414,1189232,1315448,1422811,1530246,1638051,1745094,1851997,1959012,2066013,2173183,2280105,2386849,2493624,2600648,2707222,2813884,2920750,3027802,3134866,3241841,3348986,3455491,3562159,3668738,3775132,3881884,3988782,4096477,4203360,4310909,4420177,4545163,4649876,4754393,4859523,4964296,5069279,5174805,5279613,5384889,5490393,5596719,5703293.0,5810500.0,5918446.0
3,945,8,raikkonen,6,3,1,Finished,110826,218428,325879,433310,541014,648854,757165,865818,974326,1085076,1212112,1318904,1425895,1533499,1641249,1748469,1855733,1963052,2070319,2177625,2285243,2392623,2500058,2607909,2715525,2823344,2930616,3037880,3145055,3252252,3359684,3468827,3599833,3706001,3812323,3918307,4023659,4129137,4234984,4340206,4445440,4550838,4656513,4762411,4868475,4973930,5078872,5184324,5290017,5395575,5501976,5608348,5714172.0,5820569.0,5929605.0
9,945,815,perez,10,5,1,Finished,111832,219806,327948,436020,544529,656006,783377,890754,998695,1106848,1216615,1325407,1433392,1542016,1650637,1759309,1867949,1976474,2085417,2194684,2303369,2412256,2521574,2630786,2739574,2848703,2959574,3086428,3192607,3298499,3404632,3510936,3617762,3724404,3831027,3937253,4043580,4149956,4256423,4363255,4469726,4576518,4683494,4790118,4898343,5006136,5113931,5221570,5328850,5435788,5543158,5650885,5758769.0,5866418.0,5974127.0
8,945,807,hulkenberg,10,7,1,Finished,112754,221397,329617,438218,547337,658112,769220,896450,1004868,1113566,1223372,1332475,1441495,1550684,1659564,1768583,1877715,1986516,2095851,2204723,2313876,2423290,2532566,2644743,2772496,2880321,2988605,3095821,3202885,3309993,3417247,3524426,3631836,3739233,3846652,3954473,4062333,4170045,4277788,4385540,4493657,4601444,4709327,4816789,4924366,5032133,5139770,5247682,5355651,5463453,5570983,5678859,5786927.0,5895286.0,6003793.0
10,945,817,ricciardo,9,6,1,Finished,113484,222340,330348,438817,547819,658237,786109,895355,1003821,1112967,1222783,1331190,1439490,1548233,1657152,1765509,1873856,1982422,2091380,2200231,2309568,2418455,2527216,2636200,2744534,2854504,2980717,3087269,3193696,3300830,3408095,3514971,3621745,3728558,3835125,3941509,4048117,4154549,4261146,4368066,4475410,4582525,4689959,4797999,4904532,5010837,5117610,5224432,5331737,5438604,5546021,5653231,5760308.0,5867704.0,5975185.0
17,945,832,sainz,5,11,1,Finished,114713,223772,333844,442783,551953,661499,772709,904717,1013113,1121427,1230023,1338451,1447260,1556594,1665345,1774535,1883711,1994349,2103838,2213303,2322415,2431424,2540207,2649440,2758750,2867868,2976828,3087713,3215013,3322558,3429681,3537321,3644604,3752099,3859812,3967019,4074125,4181123,4288377,4395745,4503052,4610378,4717826,4825501,4933042,5040880,5148409,5256372,5364172,5471990,5579939,5688680,5797004.0,5905265.0,6013700.0
4,945,13,massa,3,8,1,Finished,115648,224648,333164,441315,549960,660689,789151,897611,1006057,1114506,1224059,1334268,1443473,1552387,1661178,1770128,1878868,1988274,2097265,2206462,2315515,2424833,2534218,2644221,2753227,2863937,2992061,3099105,3206188,3313426,3420571,3528065,3635049,3742043,3849762,3956796,4064033,4171639,4279354,4387292,4495818,4603739,4711889,4819985,4928011,5035943,5144769,5252469,5360223,5468036,5575951,5683882,5791794.0,5899701.0,6007926.0
12,945,826,kvyat,9,10,1,Finished,116442,226062,335178,443898,554199,682329,790838,899174,1007690,1115830,1224652,1334693,1444632,1553575,1662054,1770840,1879606,1988727,2097766,2207128,2316864,2425879,2535078,2645311,2756370,2883250,2990132,3097071,3204140,3311345,3418360,3525507,3632821,3740116,3847341,3955105,4062947,4170606,4278392,4386245,4494426,4602510,4710437,4818356,4926428,5034630,5145383,5254561,5362960,5470973,5578815,5686863,5795910.0,5904195.0,6012546.0
11,945,822,bottas,3,13,11,+1 Lap,116953,226946,336206,444957,553696,662615,771574,880972,1020094,1154414,1262134,1369980,1477897,1586014,1694293,1802237,1910512,2018557,2126815,2235253,2344017,2452891,2561312,2670032,2779899,2889701,2998797,3107780,3219280,3353912,3460702,3567564,3675393,3782572,3889817,3997049,4103930,4211017,4318039,4425067,4534317,4641348,4748038,4855120,4961584,5070459,5177901,5286566,5394912,5504250,5613522,5722872,5831442.0,5940250.0,
