,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,leclerc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
1,hamilton,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1
2,bottas,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
3,norris,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,5,5,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,ricciardo,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,8,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,vettel,6,6,6,18,18,18,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0
6,alonso,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,6,6,9,9,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,sainz,8,8,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,3,3,3,3,3,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
8,raikkonen,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,15,15,15,15,15,0
9,ocon,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9
10,stroll,11,11,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,10,10,10,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
11,gasly,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,8,8,8,7,6,6,6,6,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,12,12,11,11,11
12,giovinazzi,13,13,13,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,13,13,13,13,0
13,russell,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,11,11,11,12,12,0
14,tsunoda,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,11,11,11,11,9,8,8,8,8,7,7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,10,10,10,10,10
15,mick_schumacher,16,16,16,15,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,0
16,latifi,17,17,17,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,0
17,mazepin,18,18,18,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,0
