,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,alonso,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,trulli,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,fisichella,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,webber,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,6,5,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ralf_schumacher,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,7,5,5,5,5,5,5,5,6,6,6,6,6,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,raikkonen,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,3,1,1,13,14,13,13,13,13,13,13,13,13,13,12,10,10,10,10,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9
6,button,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,heidfeld,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,10,10,9,7,6,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
8,coulthard,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,11,11,11,9,9,9,9,9,9,9,9,9,8,8,8,6,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6
9,klien,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,14,14,14,13,13,12,10,10,10,10,10,10,10,10,10,9,9,9,7,7,7,7,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
10,montoya,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,6,6,5,10,8,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
11,barrichello,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,7,7,7,6,6,8,8,8,8,8,8,8,8,10,12,13,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0
12,massa,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,10,14,14,13,12,12,12,12,12,12,12,12,12,12,11,11,9,9,9,9,10,9,9,9,10,10,10,10,10,10,10,10,10,10,10,0
13,michael_schumacher,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,9,9,9,8,11,11,11,11,11,11,11,11,11,11,10,10,8,8,8,8,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7
14,villeneuve,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,12,12,14,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,davidson,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,monteiro,17,19,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,0,0,0
17,karthikeyan,18,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,0,0
18,albers,19,18,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,0,0,0,0
