,0,1,2
0,13,6,1:11.931
1,1,1,1:12.082
2,8,6,1:12.161
3,4,1,1:12.356
4,17,9,1:12.683
5,2,2,1:12.888
6,9,2,1:12.641
7,15,7,1:12.832
8,14,9,1:12.846
9,3,3,1:12.752
10,22,11,1:12.932
11,21,4,1:12.968
12,20,5,1:13.058
13,24,5,1:13.251
14,23,7,1:13.315
15,18,11,1:13.469
16,5,4,1:14.078
17,11,8,1:14.098
18,6,3,1:14.417
19,19,8,1:14.596
20,16,12,1:15.217
21,29,12,1:15.487
