,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,villeneuve,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,alesi,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,4,4,3,3,3,3,3,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,hakkinen,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,michael_schumacher,4,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,damon_hill,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,barrichello,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,irvine,7,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,berger,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,3,3,3,3,2,2,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,brundle,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,8,10,9,9,9,8,8,8,8,8,7,7,10,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0
9,coulthard,10,10,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,frentzen,11,11,10,10,10,9,9,9,9,9,9,9,9,9,9,10,10,9,10,10,10,10,9,9,9,9,8,8,7,8,10,10,10,10,10,10,10,10,10,10,10,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
11,herbert,12,12,11,11,11,10,10,10,10,10,10,10,10,10,10,9,9,8,8,8,8,9,13,13,13,13,11,11,11,10,9,8,8,8,8,8,8,8,8,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
12,verstappen,13,13,12,12,12,11,11,11,11,11,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,9,9,9,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
13,katayama,14,16,15,15,15,14,14,14,14,14,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,diniz,15,14,13,13,14,13,13,13,15,15,15,14,14,14,14,13,13,13,13,13,13,13,12,12,12,12,12,12,14,14,14,14,13,13,13,13,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,panis,16,15,14,14,13,12,12,12,12,12,11,11,11,11,13,15,15,15,14,14,14,14,14,14,14,14,13,13,12,11,12,13,12,12,12,12,13,14,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,salo,17,17,16,16,16,15,15,15,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,10,10,8,7,7,9,9,9,9,9,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
17,fisichella,18,18,17,17,17,16,16,17,17,17,17,17,16,15,15,14,14,14,15,15,15,15,15,15,15,15,14,14,13,13,13,12,14,14,14,14,14,13,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0
18,rosset,19,19,18,18,18,17,17,16,16,16,16,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
