,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
13,131,35,villeneuve,16,22,51,Oil pressure,92157,173761,254220,334842,414926,496688,578760,661131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,131,44,panis,16,8,11,+1 Lap,92309,174208,254971,336511,417488,498731,579827,662033,743242.0,825020.0,905694.0,985686.0,1066305.0,1152639.0,1237747.0,1367650.0,1494250.0,1575836.0,1655909.0,1736265.0,1816498.0,1896077.0,1975474.0,2054713.0,2134172.0,2213746.0,2292176.0,2370940.0,2449498.0,2527844.0,2606879.0,2684946.0,2763383.0,2841622.0,2919937.0,2997604.0,3075148.0,3152350.0,3229704.0,3307226.0,3410307.0,3492893.0,3572647.0,3651962.0,3731562.0,3811357.0,3891977.0,3971096.0,4050904.0,4129595.0,4208633.0,4287437.0,4369803.0,4449758.0,4529185.0,4607338.0,4685494.0,4763507.0,4841730.0,4919993.0,4998290.0,5077023.0,5155040.0,5232866.0,5311113.0,5391744.0,5469188.0,5546761.0,5624772.0,
3,131,13,massa,15,9,11,+1 Lap,93071,175603,256770,337091,418074,498915,580152,661811,741798.0,821038.0,899980.0,979014.0,1058658.0,1144203.0,1236416.0,1366474.0,1493244.0,1574991.0,1654940.0,1735040.0,1814586.0,1893918.0,1972946.0,2052248.0,2133242.0,2211989.0,2290440.0,2368698.0,2447288.0,2525484.0,2604441.0,2682513.0,2760240.0,2837968.0,2915863.0,2994462.0,3071883.0,3148900.0,3225984.0,3327430.0,3408046.0,3486177.0,3564921.0,3645358.0,3724265.0,3803449.0,3882256.0,3972873.0,4053667.0,4133533.0,4213494.0,4292121.0,4370913.0,4450467.0,4529580.0,4608198.0,4686476.0,4764372.0,4842445.0,4920707.0,4998861.0,5077272.0,5155383.0,5233362.0,5313610.0,5392238.0,5470043.0,5547570.0,5625069.0,
20,131,63,salo,7,19,23,Brakes,93233,175130,255165,335850,415323,495780,575496,655197,735555.0,815714.0,895646.0,975707.0,1055320.0,1141969.0,1235605.0,1365544.0,1492722.0,1574617.0,1654306.0,1733446.0,1812920.0,1891894.0,1970887.0,2050592.0,2156645.0,2285537.0,2366746.0,2444285.0,2522287.0,2600904.0,2691399.0,2772982.0,2851603.0,2930385.0,3009827.0,3093404.0,3173889.0,3252296.0,3331325.0,3410551.0,3489484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,131,56,irvine,19,18,25,Overheating,93758,176956,258547,341361,423206,504715,585659,666671,747706.0,828341.0,908880.0,989375.0,1069604.0,1153376.0,1240266.0,1369956.0,1495080.0,1577149.0,1657779.0,1738010.0,1818033.0,1897678.0,1977238.0,2056882.0,2136755.0,2216015.0,2294948.0,2373648.0,2452425.0,2531326.0,2610352.0,2688963.0,2767386.0,2845899.0,2924045.0,3002088.0,3079927.0,3157740.0,3235675.0,3350470.0,3432472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,131,11,sato,17,10,11,+1 Lap,93901,175583,255870,336593,417549,498224,578915,660110,739374.0,818482.0,897441.0,976356.0,1055776.0,1164283.0,1252576.0,1374823.0,1501569.0,1582200.0,1663243.0,1743516.0,1822932.0,1902374.0,1982122.0,2062118.0,2142114.0,2221364.0,2300386.0,2379313.0,2458666.0,2537593.0,2616304.0,2695305.0,2774899.0,2853810.0,2932479.0,3010845.0,3089264.0,3168055.0,3246284.0,3324697.0,3402720.0,3480401.0,3558937.0,3637411.0,3715682.0,3819328.0,3901964.0,3980989.0,4060201.0,4139000.0,4217949.0,4297922.0,4378271.0,4457063.0,4535616.0,4614368.0,4692818.0,4771323.0,4851557.0,4930838.0,5009166.0,5087499.0,5165417.0,5244354.0,5322664.0,5400444.0,5477780.0,5555192.0,5632772.0,
18,131,59,bernoldi,21,21,22,Suspension,94580,177160,258626,338690,419034,499410,580349,662263,743318.0,823655.0,903498.0,982945.0,1062070.0,1145772.0,1259924.0,1451025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,131,66,mcnish,7,17,20,Spun off,95599,177670,259362,342510,423478,505107,586243,667399,748529.0,829239.0,909559.0,990161.0,1070504.0,1154276.0,1240757.0,1370453.0,1496328.0,1577325.0,1658159.0,1738560.0,1818526.0,1898151.0,1977714.0,2057270.0,2137077.0,2216415.0,2295612.0,2374887.0,2453668.0,2532371.0,2611165.0,2690175.0,2768831.0,2847225.0,2925734.0,3004085.0,3082384.0,3160647.0,3239150.0,3317461.0,3512903.0,3597991.0,3679536.0,3759100.0,3838257.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,131,49,frentzen,21,13,11,+1 Lap,96746,178097,259832,342795,424295,505396,586789,668427,750466.0,830837.0,910635.0,990984.0,1071435.0,1157078.0,1242845.0,1371422.0,1497396.0,1578239.0,1658828.0,1739058.0,1819417.0,1899237.0,1979090.0,2058799.0,2138333.0,2217673.0,2296639.0,2376199.0,2454770.0,2569383.0,2649956.0,2727848.0,2806747.0,2885605.0,2964754.0,3045440.0,3124580.0,3206644.0,3286303.0,3366424.0,3446330.0,3525216.0,3603715.0,3682601.0,3761666.0,3840039.0,3920631.0,4000499.0,4101856.0,4184357.0,4263097.0,4343996.0,4423931.0,4504052.0,4583436.0,4662693.0,4741385.0,4820086.0,4898675.0,4977201.0,5055933.0,5134206.0,5212124.0,5290189.0,5368807.0,5447850.0,5527738.0,5609550.0,5693892.0,
6,131,17,webber,18,11,11,+1 Lap,96971,179594,261175,343453,425069,506494,587868,668994,750787.0,831934.0,912195.0,992384.0,1072289.0,1157796.0,1243512.0,1372452.0,1498202.0,1580799.0,1661975.0,1742292.0,1822221.0,1901650.0,1981374.0,2061606.0,2141152.0,2220116.0,2299119.0,2378084.0,2456952.0,2535639.0,2614293.0,2693138.0,2772378.0,2851087.0,2929896.0,3008536.0,3086606.0,3165436.0,3271869.0,3355241.0,3438102.0,3518832.0,3599099.0,3679146.0,3758572.0,3837607.0,3916908.0,3996189.0,4075106.0,4153898.0,4232848.0,4313085.0,4392223.0,4471047.0,4549519.0,4628026.0,4706195.0,4784719.0,4863271.0,4941535.0,5020279.0,5099173.0,5177188.0,5255184.0,5333262.0,5411549.0,5489356.0,5567444.0,5648239.0,
19,131,62,yoong,18,14,12,+2 Laps,97592,180218,261637,344231,425749,507209,588933,670823,752160.0,833564.0,915053.0,996260.0,1077948.0,1163488.0,1249254.0,1373368.0,1499220.0,1581749.0,1662702.0,1743981.0,1824449.0,1904346.0,1984068.0,2063807.0,2143798.0,2224532.0,2304328.0,2384074.0,2463333.0,2542663.0,2621752.0,2700218.0,2778755.0,2858973.0,2937635.0,3017047.0,3122563.0,3209875.0,3291184.0,3370932.0,3450974.0,3532236.0,3612287.0,3718648.0,3802535.0,3884315.0,3967302.0,4047087.0,4127982.0,4208797.0,4291817.0,4373428.0,4454372.0,4533989.0,4615334.0,4694950.0,4776314.0,4856095.0,4935352.0,5013940.0,5093126.0,5171805.0,5251802.0,5331388.0,5410948.0,5491646.0,5570496.0,5649625.0,,
