,0,1,2
0,1,131,1:21.164
1,8,6,1:21.828
2,20,6,1:21.838
3,830,9,1:21.879
4,817,9,1:22.152
5,825,210,1:23.187
6,154,210,1:23.339
7,807,4,1:23.532
8,832,4,1:23.061
9,822,131,1:22.089
10,4,1,1:23.597
11,838,1,1:23.853
12,815,10,1:24.005
13,840,3,1:24.230
14,839,10,1:24.503
15,843,5,1:24.532
16,828,15,1:24.556
17,844,15,1:24.636
18,845,3,1:24.922
19,842,5,1:25.295
