,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
4,166.0,18.0,button,8.0,11.0,+1 Lap,87259.0,169486.0,251674.0,333543.0,415510.0,497451.0,579757.0,662448.0,745308.0,827793.0,910327.0,992797.0,1074599.0,1155750.0,1236913.0,1318302.0,1399741.0,1481305.0,1562893.0,1644482.0,1726241.0,1807727.0,1892524.0,1993624.0,2075056.0,2156550.0,2238103.0,2319846.0,2402021.0,2484093.0,2566354.0,2648711.0,2731408.0,2813772.0,2896269.0,2978883.0,3061096.0,3143187.0,3228068.0,3328272.0,3410166.0,3492393.0,3574228.0,3656276.0,3738387.0,3821047.0,3903579.0,3986419.0,4069811.0,4153935.0,4237234.0,4321125.0,4403962.0,4487260.0,4570241.0,4653179.0,4737704.0,4821040.0,4904070.0,4986713.0,5069359.0,5152558.0,5235635.0,5318673.0,5401817.0,5484899.0,5569347.0,5652249.0,5736430.0,5819474.0,5902897.0,
22,166.0,65.0,herbert,21.0,6.0,Gearbox,87753.0,170032.0,252208.0,334109.0,416477.0,498433.0,580422.0,663121.0,745970.0,828526.0,911058.0,994287.0,1078000.0,1161842.0,1244563.0,1327893.0,1412433.0,1505659.0,1626116.0,1724506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,166.0,37.0,rosa,17.0,7.0,Transmission,88447.0,170680.0,253512.0,335938.0,418886.0,501419.0,584247.0,666678.0,749423.0,832450.0,915523.0,998833.0,1081750.0,1164588.0,1247478.0,1330717.0,1414003.0,1497582.0,1580757.0,1663896.0,1746837.0,1830409.0,1913995.0,2000432.0,2101049.0,2182575.0,2264373.0,2346174.0,2428510.0,2511303.0,2593924.0,2676634.0,2759439.0,2842549.0,2926145.0,3009604.0,3092712.0,3175833.0,3258973.0,3346174.0,3444675.0,3526181.0,3608867.0,3691991.0,3829305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,166.0,2.0,heidfeld,12.0,11.0,+1 Lap,89146.0,172377.0,254875.0,338123.0,420539.0,503368.0,586303.0,668976.0,751728.0,834717.0,917886.0,1001237.0,1083037.0,1165258.0,1247977.0,1331098.0,1414346.0,1497993.0,1584390.0,1692251.0,1773724.0,1857143.0,1939776.0,2026622.0,2110339.0,2192706.0,2275006.0,2358121.0,2440868.0,2523320.0,2605993.0,2690582.0,2774561.0,2856757.0,2941570.0,3024209.0,3106635.0,3189262.0,3271531.0,3353992.0,3436406.0,3519053.0,3601330.0,3684830.0,3772776.0,3875092.0,3957400.0,4039756.0,4122065.0,4205383.0,4287997.0,4370318.0,4454441.0,4537719.0,4621063.0,4704293.0,4787215.0,4870098.0,4953173.0,5039417.0,5137926.0,5219041.0,5300341.0,5381995.0,5464109.0,5546068.0,5628942.0,5711581.0,5794438.0,5877752.0,5961419.0,
16,166.0,55.0,alesi,14.0,12.0,+2 Laps,89562.0,171855.0,254292.0,336610.0,419516.0,502385.0,585396.0,668044.0,750674.0,833789.0,917210.0,1006735.0,1089881.0,1172817.0,1256031.0,1339265.0,1422376.0,1508992.0,1613650.0,1696061.0,1778727.0,1861507.0,1945684.0,2030315.0,2113051.0,2195622.0,2278271.0,2360995.0,2445490.0,2529577.0,2613696.0,2698265.0,2781616.0,2864801.0,2949292.0,3033118.0,3116926.0,3200613.0,3284183.0,3368263.0,3452133.0,3536140.0,3619894.0,3703565.0,3787258.0,3874161.0,3977931.0,4062407.0,4145845.0,4229885.0,4323002.0,4406940.0,4491123.0,4578814.0,4663026.0,4749871.0,4835261.0,4920852.0,5005666.0,5089860.0,5174746.0,5259103.0,5343860.0,5429597.0,5514185.0,5599195.0,5684003.0,5768881.0,5854120.0,5939322.0,,
5,166.0,21.0,fisichella,9.0,11.0,+1 Lap,89947.0,172830.0,255408.0,337410.0,419972.0,502873.0,585851.0,668502.0,751304.0,834285.0,917327.0,1002179.0,1084221.0,1166264.0,1248748.0,1331686.0,1414798.0,1498380.0,1585075.0,1683576.0,1765816.0,1847146.0,1928373.0,2010041.0,2091776.0,2173516.0,2255350.0,2336562.0,2418458.0,2500337.0,2582307.0,2664284.0,2746068.0,2827921.0,2909422.0,2991317.0,3072801.0,3154348.0,3236340.0,3319752.0,3401793.0,3483589.0,3570293.0,3671347.0,3752305.0,3833979.0,3915801.0,3997496.0,4079499.0,4161731.0,4243710.0,4326034.0,4408379.0,4492326.0,4575631.0,4657685.0,4739826.0,4822163.0,4904891.0,4987659.0,5070453.0,5153290.0,5236467.0,5320630.0,5404871.0,5487149.0,5570189.0,5653086.0,5736539.0,5820785.0,5904489.0,
15,166.0,50.0,verstappen,20.0,7.0,Transmission,90253.0,173703.0,256354.0,339036.0,421715.0,504582.0,587818.0,670465.0,753609.0,836666.0,920211.0,1004510.0,1088077.0,1170593.0,1253432.0,1336277.0,1419238.0,1502307.0,1584973.0,1668283.0,1751138.0,1833941.0,1920195.0,2020534.0,2103032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,166.0,41.0,zonta,22.0,20.0,Spun off,90714.0,174087.0,256887.0,339599.0,422162.0,505091.0,588381.0,671030.0,754072.0,837182.0,920705.0,1004877.0,1088550.0,1171181.0,1254366.0,1337038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,166.0,64.0,diniz,11.0,11.0,+1 Lap,91370.0,174916.0,258085.0,340950.0,424011.0,507323.0,590567.0,674456.0,757764.0,841103.0,924027.0,1007644.0,1091313.0,1174444.0,1257713.0,1341314.0,1424630.0,1508118.0,1591188.0,1674526.0,1757621.0,1840419.0,1923363.0,2006137.0,2088996.0,2171784.0,2257808.0,2357281.0,2439219.0,2520972.0,2602862.0,2684948.0,2767568.0,2849903.0,2932473.0,3018638.0,3102659.0,3185502.0,3267959.0,3350360.0,3433237.0,3515793.0,3598036.0,3680603.0,3762936.0,3847214.0,3932694.0,4034051.0,4117420.0,4200546.0,4283219.0,4366073.0,4449058.0,4532704.0,4617060.0,4701804.0,4785570.0,4869052.0,4952173.0,5034993.0,5117949.0,5201434.0,5289309.0,5373280.0,5457555.0,5541014.0,5624594.0,5708369.0,5792079.0,5876252.0,5960249.0,
8,166.0,25.0,wurz,18.0,20.0,Spun off,91707.0,175500.0,258656.0,341745.0,424791.0,507404.0,591437.0,674930.0,758433.0,841856.0,924837.0,1008220.0,1092091.0,1175314.0,1258521.0,1342102.0,1425429.0,1508688.0,1592009.0,1678619.0,1779625.0,1862242.0,1946473.0,2030808.0,2113741.0,2196640.0,2279121.0,2361869.0,2447213.0,2531498.0,2615780.0,2699232.0,2782421.0,2865585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,166.0,48.0,gene,15.0,12.0,+2 Laps,92082.0,176080.0,259293.0,342257.0,425258.0,508147.0,592299.0,675450.0,759258.0,842586.0,925725.0,1009245.0,1092573.0,1176317.0,1259609.0,1343225.0,1426885.0,1510451.0,1593825.0,1677082.0,1763749.0,1867473.0,1949893.0,2032538.0,2115094.0,2197891.0,2280405.0,2364350.0,2448270.0,2532964.0,2617382.0,2700451.0,2783682.0,2866976.0,2950513.0,3034033.0,3117564.0,3201304.0,3285145.0,3368904.0,3452769.0,3536773.0,3622240.0,3705623.0,3792653.0,3894664.0,3978450.0,4062894.0,4146365.0,4230514.0,4323278.0,4408941.0,4493291.0,4579276.0,4663726.0,4750464.0,4835608.0,4921349.0,5006261.0,5090419.0,5175239.0,5259671.0,5344324.0,5430255.0,5514751.0,5599690.0,5684434.0,5769326.0,5854494.0,5939823.0,,
19,166.0,60.0,mazzacane,19.0,20.0,Spun off,92448.0,177843.0,261141.0,344193.0,428287.0,511725.0,595271.0,679346.0,762724.0,846296.0,929708.0,1013602.0,1096722.0,1179858.0,1263668.0,1347423.0,1431123.0,1514898.0,1598727.0,1682279.0,1767036.0,1851348.0,1938624.0,2041990.0,2124629.0,2208355.0,2292607.0,2376647.0,2460374.0,2544429.0,2628123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
