,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,leclerc,1,2,2,2,2,3,4,4,6,10,9,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,3,4
1,hamilton,2,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,16,16
2,max_verstappen,3,3,3,3,3,2,2,2,2,2,1,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
3,perez,4,4,4,4,4,4,3,3,3,3,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
4,gasly,5,5,5,5,5,5,5,5,4,4,4,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3
5,sainz,6,6,6,6,6,6,6,6,5,5,15,15,15,14,14,14,14,14,14,14,14,14,13,13,13,12,12,12,12,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
6,alonso,7,7,7,7,7,7,11,14,14,14,13,12,12,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,12,12,12,12,13,14,11,11,11,11,11,11,11,11,11,11,10,10,10,10,6,6
7,tsunoda,8,8,8,8,8,8,7,7,9,12,11,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7
8,vettel,9,9,9,9,9,9,8,8,7,6,5,3,2,1,1,1,1,2,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2
9,bottas,10,10,10,10,10,10,9,9,8,7,6,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,13,13,14,14,14,14,14,14,14,14,13,13,14,13,12,12
10,ocon,11,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,norris,12,12,11,11,11,11,12,17,15,13,12,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,5,5
12,ricciardo,13,13,12,12,12,12,10,10,10,8,8,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9
13,raikkonen,14,14,13,14,14,14,14,12,12,11,10,8,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,10,10
14,giovinazzi,15,18,19,18,18,18,18,18,16,15,14,14,14,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,13,13,13,13,15,15,14,14,13,13,13,13,13,13,13,13,12,12,12,12,11,11
15,stroll,16,15,14,13,13,13,13,11,11,9,7,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,latifi,17,16,15,15,15,15,15,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,14,13,15,15,15,15,15,15,15,15,15,15,14,14,13,14,13,13
17,mick_schumacher,18,17,16,16,16,16,16,16,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,14
18,mazepin,19,19,17,17,17,17,17,15,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,14,15
