,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
4,45,5,kovalainen,4,8,11,+1 Lap,127918,282635,439548.0,663346.0,2058230.0,2217929.0,2370849.0,2480116.0,2586396.0,2693489.0,2800347.0,2910863.0,3034415.0,3131095.0,3227793.0,3324296.0,3419989.0,3515961.0,3610899.0,3706143.0,3801650.0,3897119.0,3992376.0,4087193.0,4182154.0,4276964.0,4375333.0,4493866.0,4589148.0,4684531.0,4780231.0,4875402.0,4970514.0,5065458.0,5160416.0,5255121.0,5350165.0,5445117.0,5540125.0,5635532.0,5730466.0,5825136.0,5919755.0,6014871.0,6110203.0,6205280.0,6300340.0,6394943.0,6492799.0,6619444.0,6730131.0,6843266.0,6950379.0,7062768.0,7172790.0,7280899.0,7387617.0,7493438.0,7597437.0,
6,45,9,kubica,2,7,1,Finished,128005,295570,489938.0,686027.0,2063763.0,2222718.0,2375131.0,2485236.0,2593594.0,2699351.0,2805492.0,2917898.0,3041853.0,3142463.0,3240441.0,3337382.0,3433638.0,3529774.0,3625897.0,3721574.0,3817025.0,3912770.0,4008307.0,4103563.0,4198907.0,4294308.0,4389919.0,4485399.0,4580677.0,4675855.0,4771070.0,4865748.0,4960425.0,5055535.0,5150352.0,5244904.0,5339900.0,5434406.0,5532071.0,5651030.0,5745610.0,5840364.0,5935081.0,6030397.0,6125599.0,6220533.0,6315412.0,6409936.0,6504387.0,6598981.0,6694569.0,6800815.0,6924031.0,7030482.0,7140800.0,7248390.0,7354126.0,7458881.0,7563784.0,7668773.0
20,45,26,speed,5,21,20,Spun off,129078,310978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,45,24,liuzzi,5,22,20,Spun off,130715,333015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,45,19,davidson,8,12,11,+1 Lap,131701,312338,534494.0,806913.0,2068714.0,2226616.0,2380268.0,2490411.0,2600002.0,2708689.0,2821601.0,2951334.0,3051469.0,3149928.0,3247670.0,3345272.0,3442600.0,3539746.0,3636892.0,3734614.0,3831286.0,3927851.0,4024826.0,4121186.0,4217714.0,4313475.0,4409507.0,4505883.0,4602078.0,4698239.0,4794221.0,4890240.0,4986334.0,5082368.0,5178237.0,5274106.0,5369807.0,5468722.0,5590661.0,5688544.0,5784270.0,5880067.0,5977545.0,6073105.0,6169795.0,6265077.0,6361375.0,6457531.0,6553838.0,6650181.0,6754688.0,6884036.0,6996275.0,7110547.0,7224153.0,7339589.0,7451389.0,7561509.0,7672997.0,
17,45,23,ralf_schumacher,7,16,4,Collision,132580,299197,478865.0,733356.0,2064899.0,2224182.0,2375407.0,2485480.0,2593327.0,2698935.0,2805187.0,2917605.0,3042602.0,3143008.0,3241247.0,3338120.0,3434403.0,3530598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45,3,rosberg,3,20,20,Spun off,133966,304916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,45,14,coulthard,9,5,1,Finished,134799,281210,433990.0,661365.0,2057245.0,2217281.0,2370344.0,2478872.0,2585186.0,2693072.0,2799634.0,2907326.0,3017725.0,3142053.0,3240018.0,3336448.0,3432709.0,3528632.0,3624323.0,3720411.0,3816243.0,3912034.0,4007537.0,4102642.0,4198042.0,4293267.0,4389036.0,4484553.0,4579684.0,4674910.0,4770040.0,4864821.0,4959580.0,5054710.0,5149373.0,5244098.0,5339016.0,5433645.0,5528184.0,5622832.0,5717654.0,5812205.0,5909709.0,6028769.0,6123877.0,6219097.0,6313831.0,6408147.0,6502532.0,6597259.0,6693264.0,6797983.0,6920662.0,7025497.0,7133357.0,7240397.0,7346360.0,7451869.0,7556568.0,7660014.0
0,45,1,hamilton,1,9,11,+1 Lap,140323,285276,616754.0,2070638.0,2212917.0,2323376.0,2485091.0,2602224.0,2710125.0,2814182.0,2915683.0,3014277.0,3110188.0,3205792.0,3301369.0,3395728.0,3490343.0,3584844.0,3679229.0,3773249.0,3867014.0,3960954.0,4054597.0,4148204.0,4242282.0,4335911.0,4430062.0,4523763.0,4617164.0,4710905.0,4804830.0,4898532.0,4994117.0,5090621.0,5209912.0,5305131.0,5399303.0,5493596.0,5588104.0,5684807.0,5778544.0,5872561.0,5966889.0,6060833.0,6157837.0,6252415.0,6346433.0,6440098.0,6533787.0,6631817.0,6726550.0,6830299.0,6934208.0,7053094.0,7183313.0,7288332.0,7391401.0,7495334.0,7599019.0,
16,45,22,barrichello,11,11,11,+1 Lap,140636,288117,465056.0,676415.0,2061287.0,2221600.0,2373690.0,2484784.0,2593555.0,2701684.0,2809965.0,2922127.0,3047634.0,3146459.0,3244821.0,3342469.0,3440024.0,3537352.0,3634995.0,3732238.0,3829018.0,3925527.0,4021981.0,4118214.0,4214683.0,4310898.0,4407844.0,4504488.0,4600614.0,4696860.0,4793239.0,4889524.0,4985590.0,5081641.0,5177512.0,5273422.0,5369054.0,5465139.0,5564180.0,5684425.0,5782351.0,5879070.0,5976112.0,6072184.0,6168326.0,6264218.0,6360843.0,6457063.0,6553020.0,6649592.0,6749346.0,6862403.0,6993584.0,7104289.0,7214153.0,7323293.0,7431558.0,7536492.0,7641333.0,
11,45,16,sutil,12,19,20,Spun off,142911,288709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
