,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
19,942.0,832.0,sainz,7.0,1.0,Finished,126764.0,246093.0,364778.0,483936.0,614071.0,750173.0,888400.0,1009266.0,1126458.0,1243827.0,1362038.0,1479668.0,1598046.0,1716720.0,1833779.0,1949835.0,2066968.0,2183651.0,2300821.0,2433794.0,2542564.0,2650218.0,2758349.0,2864573.0,2970777.0,3076788.0,3195958.0,3371619.0,3494142.0,3640329.0,3798196.0,3945247.0,4054931.0,4161868.0,4268730.0,4374557.0,4486290.0,4621794.0,4750856.0,4857266.0,4962334.0,5067726.0,5202960.0,5361627.0,5491068.0,5638520.0,5745250.0,5849607.0,5955685.0,6059606.0,6162266.0,6265565.0,6368607.0,6471757.0,6575235.0,6678322.0
15,942.0,828.0,ericsson,15.0,31.0,Retired,129892.0,250654.0,370093.0,489504.0,618542.0,755356.0,891836.0,1012852.0,1132263.0,1251606.0,1372233.0,1492045.0,1612552.0,1732064.0,1850115.0,1968224.0,2112901.0,2227108.0,2347522.0,2489331.0,2601436.0,2710660.0,2819902.0,2927283.0,3036133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,942.0,822.0,bottas,19.0,31.0,Retired,130102.0,315843.0,467782.0,633912.0,788735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,942.0,831.0,nasr,9.0,1.0,Finished,130259.0,260170.0,442191.0,586048.0,725478.0,863233.0,987281.0,1106710.0,1226453.0,1346837.0,1471919.0,1593489.0,1719900.0,1839679.0,1958709.0,2079917.0,2199817.0,2345868.0,2463327.0,2576022.0,2690018.0,2800208.0,2910115.0,3019800.0,3128363.0,3263546.0,3419168.0,3533467.0,3643822.0,3766533.0,3876617.0,3986734.0,4096702.0,4205504.0,4311752.0,4418354.0,4540184.0,4679664.0,4795988.0,4902136.0,5007423.0,5124272.0,5290205.0,5403936.0,5510771.0,5639682.0,5746187.0,5851547.0,5957085.0,6062840.0,6167458.0,6272101.0,6376596.0,6481003.0,6586414.0,6692960.0
5,942.0,13.0,massa,17.0,31.0,Retired,130686.0,251502.0,370897.0,491164.0,620980.0,759041.0,895253.0,1016195.0,1135410.0,1255219.0,1374253.0,1492717.0,1610826.0,1728008.0,1844688.0,1961176.0,2078327.0,2194740.0,2330942.0,2444181.0,2554459.0,2662690.0,2783296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,942.0,813.0,maldonado,8.0,1.0,Finished,131422.0,255008.0,374763.0,494945.0,623615.0,760856.0,899627.0,1022715.0,1143811.0,1264340.0,1384827.0,1504882.0,1624091.0,1742896.0,1861408.0,1979269.0,2096226.0,2213679.0,2354081.0,2468085.0,2578517.0,2688972.0,2797146.0,2906024.0,3015460.0,3123352.0,3257553.0,3412954.0,3528490.0,3641308.0,3799291.0,3945828.0,4055869.0,4163038.0,4269470.0,4375153.0,4487311.0,4622356.0,4751449.0,4858002.0,4963320.0,5069366.0,5203838.0,5359146.0,5490344.0,5638109.0,5745660.0,5850627.0,5956364.0,6061214.0,6164063.0,6267465.0,6371125.0,6474993.0,6580916.0,6684976.0
8,942.0,154.0,grosjean,18.0,31.0,Retired,158246.0,302827.0,423466.0,545206.0,681779.0,819888.0,952641.0,1072253.0,1193950.0,1368643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,942.0,834.0,rossi,12.0,1.0,Finished,170794.0,327598.0,450487.0,574043.0,711556.0,849473.0,977690.0,1099518.0,1222125.0,1345032.0,1471533.0,1594787.0,1721902.0,1842595.0,1964195.0,2083878.0,2204358.0,2343697.0,2456819.0,2568455.0,2681801.0,2792730.0,2902747.0,3012994.0,3123069.0,3259129.0,3397322.0,3531415.0,3643114.0,3765681.0,3876303.0,3986443.0,4096376.0,4206882.0,4315520.0,4424643.0,4550017.0,4688286.0,4806668.0,4915358.0,5023576.0,5147006.0,5284929.0,5399840.0,5509840.0,5639822.0,5750028.0,5859126.0,5967378.0,6075551.0,6184019.0,6293182.0,6402000.0,6510551.0,6619173.0,6727980.0
3,942.0,4.0,alonso,11.0,1.0,Finished,171512.0,318706.0,439098.0,559625.0,694774.0,832323.0,960134.0,1078468.0,1197443.0,1317002.0,1436466.0,1556563.0,1675393.0,1792962.0,1909974.0,2025852.0,2141551.0,2259044.0,2394427.0,2504860.0,2612707.0,2721446.0,2827811.0,2934134.0,3040055.0,3149502.0,3315803.0,3469640.0,3607285.0,3714163.0,3820773.0,3946010.0,4055327.0,4162295.0,4268029.0,4374203.0,4485055.0,4621258.0,4750350.0,4855481.0,4959902.0,5064471.0,5199567.0,5336351.0,5486465.0,5636595.0,5742674.0,5848108.0,5955134.0,6064420.0,6174087.0,6284081.0,6391616.0,6497410.0,6601733.0,6707519.0
16,942.0,829.0,stevens,20.0,31.0,Retired,182097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
