,0,1
0,max_verstappen,1
1,russell,2
2,hamilton,3
3,ricciardo,4
4,vettel,5
5,gasly,6
6,ocon,7
7,leclerc,8
8,latifi,9
9,sainz,10
10,alonso,11
11,bottas,12
12,giovinazzi,13
13,norris,14
14,tsunoda,15
15,mick_schumacher,16
16,mazepin,17
17,stroll,18
18,raikkonen,19
