,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
9,1019.0,822.0,bottas,2.0,1.0,Finished,94461.0,186105.0,278090.0,369693.0,460706.0,552143.0,643081.0,733972.0,825382.0,916107.0,1007008.0,1097880.0,1188621.0,1279487.0,1370118.0,1460748.0,1570788.0,1661132.0,1751756.0,1859621.0,2002294.0,2143199.0,2283629.0,2373947.0,2464018.0,2553976.0,2643825.0,2733474.0,2822894.0,2912430.0,3002157.0,3091858.0,3181191.0,3270410.0,3359602.0,3448729.0,3538202.0,3627489.0,3716890.0,3805861.0,3894797.0,3983581.0,4072582.0,4161598.0,4250143.0,4359007.0,4446413.0,4535093.0,4623492.0,4712735.0,4802531.0,4893380.0
1,1019.0,1.0,hamilton,1.0,1.0,Finished,94895.0,186818.0,278453.0,370511.0,462051.0,553018.0,643958.0,734808.0,825948.0,916920.0,1007907.0,1098811.0,1189618.0,1280389.0,1371266.0,1462272.0,1552508.0,1643487.0,1734271.0,1831832.0,2001461.0,2141502.0,2282739.0,2372712.0,2462721.0,2552711.0,2642312.0,2731816.0,2821006.0,2910765.0,3000028.0,3089537.0,3179066.0,3268226.0,3357484.0,3446674.0,3536330.0,3625369.0,3714640.0,3803625.0,3892193.0,3980827.0,4069449.0,4158276.0,4247117.0,4336027.0,4425090.0,4513788.0,4602464.0,4691372.0,4781083.0,4868452.0
17,1019.0,844.0,leclerc,3.0,1.0,Finished,96045.0,188203.0,280086.0,371725.0,463613.0,555119.0,646425.0,737800.0,829381.0,921653.0,1013866.0,1105523.0,1196765.0,1308747.0,1399855.0,1491315.0,1583107.0,1674777.0,1765774.0,1879217.0,2006596.0,2147431.0,2286049.0,2379724.0,2472130.0,2562711.0,2653178.0,2743483.0,2834058.0,2924343.0,3014414.0,3104571.0,3194412.0,3284248.0,3373822.0,3463414.0,3554220.0,3644523.0,3734266.0,3824062.0,3914155.0,4003736.0,4093519.0,4182872.0,4272298.0,4361789.0,4451102.0,4540822.0,4630236.0,4719671.0,4809120.0,4898569.0
12,1019.0,830.0,max_verstappen,5.0,1.0,Finished,96721.0,188916.0,280845.0,372461.0,464385.0,555775.0,647133.0,738507.0,830165.0,922129.0,1014882.0,1106204.0,1197342.0,1309413.0,1400324.0,1491963.0,1583541.0,1675393.0,1766314.0,1877953.0,2022077.0,2146549.0,2285528.0,2379671.0,2470411.0,2561394.0,2651333.0,2741158.0,2831186.0,2921043.0,3011124.0,3100819.0,3190499.0,3279949.0,3369473.0,3458750.0,3561655.0,3653164.0,3743115.0,3832832.0,3922485.0,4012260.0,4101669.0,4191201.0,4280473.0,4369816.0,4459107.0,4548841.0,4638744.0,4728460.0,4818055.0,4907910.0
4,1019.0,20.0,vettel,16.0,11.0,+1 Lap,97360.0,189743.0,281559.0,373329.0,464929.0,556603.0,648348.0,739845.0,831302.0,922786.0,1015578.0,1108436.0,1199664.0,1291472.0,1383264.0,1475011.0,1566424.0,1657910.0,1749676.0,1854013.0,2003515.0,2144402.0,2284548.0,2377199.0,2468180.0,2558618.0,2649102.0,2739355.0,2829742.0,2919750.0,3009527.0,3099491.0,3189381.0,3279011.0,3368551.0,3458166.0,3557276.0,3681732.0,3807180.0,3898264.0,3989332.0,4080216.0,4169621.0,4258702.0,4348578.0,4437311.0,4528097.0,4616857.0,4707048.0,4796155.0,4884913.0,
16,1019.0,842.0,gasly,4.0,1.0,Finished,98238.0,190543.0,282390.0,374046.0,465890.0,557599.0,649224.0,740764.0,832174.0,923767.0,1015949.0,1107358.0,1218922.0,1311510.0,1403676.0,1495624.0,1587992.0,1679732.0,1771337.0,1888666.0,2017264.0,2145398.0,2285103.0,2378295.0,2469676.0,2560520.0,2652285.0,2742767.0,2833384.0,2923572.0,3013773.0,3103797.0,3193738.0,3283575.0,3373318.0,3464328.0,3554950.0,3645445.0,3735592.0,3825497.0,3915477.0,4005349.0,4095144.0,4184958.0,4274833.0,4364515.0,4454094.0,4543638.0,4633468.0,4723160.0,4813169.0,4903144.0
18,1019.0,846.0,norris,11.0,1.0,Finished,99321.0,192501.0,284999.0,377902.0,470219.0,563238.0,655983.0,748419.0,841157.0,933526.0,1025830.0,1118408.0,1210224.0,1323385.0,1415895.0,1508565.0,1600437.0,1692559.0,1784941.0,1908423.0,2036098.0,2149786.0,2286369.0,2380743.0,2473982.0,2565609.0,2656951.0,2748560.0,2840104.0,2931607.0,3023330.0,3114449.0,3205532.0,3296461.0,3387026.0,3498443.0,3589039.0,3679990.0,3770414.0,3860824.0,3951607.0,4042031.0,4132522.0,4222785.0,4312717.0,4402954.0,4492808.0,4582548.0,4672322.0,4761958.0,4852121.0,4942733.0
8,1019.0,817.0,ricciardo,7.0,1.0,Finished,99643.0,193171.0,285690.0,378635.0,471084.0,563937.0,656806.0,749274.0,841912.0,934341.0,1026720.0,1118530.0,1230337.0,1322278.0,1414420.0,1506516.0,1598376.0,1690057.0,1782294.0,1899984.0,2046102.0,2154120.0,2287395.0,2381768.0,2474558.0,2566283.0,2657653.0,2749127.0,2840708.0,2932120.0,3023947.0,3115259.0,3206254.0,3297135.0,3387639.0,3478086.0,3568912.0,3659477.0,3749777.0,3840275.0,3930828.0,4021520.0,4111993.0,4202274.0,4292203.0,4382812.0,4473342.0,4563515.0,4653415.0,4743039.0,4832950.0,4922853.0
6,1019.0,807.0,hulkenberg,10.0,1.0,Finished,100192.0,193982.0,286653.0,379555.0,472151.0,565064.0,658153.0,751070.0,843935.0,936630.0,1029335.0,1123416.0,1216590.0,1330473.0,1422768.0,1514293.0,1605938.0,1697621.0,1790209.0,1915413.0,2043622.0,2152159.0,2286871.0,2382909.0,2476920.0,2568977.0,2660892.0,2752566.0,2844314.0,2935571.0,3026991.0,3118414.0,3209906.0,3300879.0,3391907.0,3483051.0,3574546.0,3666041.0,3757633.0,3848809.0,3939723.0,4030911.0,4126599.0,4217942.0,4308633.0,4399211.0,4489858.0,4580507.0,4670817.0,4760949.0,4850898.0,4941185.0
20,1019.0,848.0,albon,12.0,1.0,Finished,100608.0,194686.0,287332.0,380098.0,472799.0,565692.0,658847.0,751990.0,844742.0,937318.0,1030043.0,1122700.0,1215703.0,1328638.0,1420682.0,1512401.0,1604178.0,1696188.0,1788347.0,1913453.0,2043177.0,2151028.0,2286495.0,2381207.0,2474975.0,2566881.0,2658646.0,2750093.0,2841877.0,2933622.0,3025309.0,3116941.0,3208470.0,3299541.0,3390723.0,3481696.0,3573034.0,3664387.0,3755704.0,3846968.0,3938408.0,4029743.0,4121368.0,4212246.0,4304285.0,4395157.0,4486465.0,4577574.0,4668714.0,4759909.0,4851854.0,4944069.0
13,1019.0,832.0,sainz,6.0,1.0,Finished,101311.0,195368.0,288211.0,381381.0,474459.0,567539.0,660481.0,753199.0,846089.0,938833.0,1031369.0,1124057.0,1216955.0,1310858.0,1403073.0,1495047.0,1587223.0,1678947.0,1770752.0,1884086.0,2028789.0,2148415.0,2286230.0,2379919.0,2473167.0,2564683.0,2656105.0,2747581.0,2838891.0,2929899.0,3021147.0,3112330.0,3203432.0,3294558.0,3385288.0,3476084.0,3567111.0,3657972.0,3748800.0,3839389.0,3930148.0,4020782.0,4111289.0,4201393.0,4291440.0,4382233.0,4472650.0,4562838.0,4652604.0,4742361.0,4832224.0,4922091.0
2,1019.0,8.0,raikkonen,8.0,1.0,Finished,102014.0,196245.0,289712.0,383152.0,477404.0,570883.0,664413.0,757335.0,850433.0,943104.0,1035588.0,1128253.0,1221221.0,1314276.0,1406707.0,1499154.0,1591347.0,1704054.0,1798532.0,1926147.0,2054609.0,2157193.0,2288107.0,2382328.0,2475534.0,2567588.0,2659541.0,2751547.0,2843406.0,2934768.0,3026249.0,3117601.0,3209049.0,3300175.0,3391332.0,3482410.0,3573796.0,3665089.0,3756588.0,3847733.0,3939027.0,4030244.0,4120543.0,4210938.0,4301453.0,4392047.0,4482626.0,4573020.0,4663488.0,4753922.0,4843956.0,4933992.0
15,1019.0,841.0,giovinazzi,18.0,20.0,Spun off,102302.0,197142.0,292360.0,387361.0,481078.0,574476.0,667959.0,761106.0,854636.0,947694.0,1040853.0,1133889.0,1226782.0,1319718.0,1412450.0,1505184.0,1597648.0,1690787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
