,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
3,205,22,barrichello,24,11,12,+2 Laps,95429,181376,266676,351672,438544,524278,609439.0,694450.0,779232.0,863962.0,948555.0,1032851.0,1117336.0,1201796.0,1286297.0,1370738.0,1454976.0,1539381.0,1623974.0,1708302.0,1792830.0,1876967.0,1961330.0,2045340.0,2129651.0,2213829.0,2298199.0,2382378.0,2466260.0,2550326.0,2634053.0,2717742.0,2801154.0,2886908.0,2994208.0,3079244.0,3164444.0,3250861.0,3336644.0,3422448.0,3508115.0,3593720.0,3678626.0,3764569.0,3850688.0,3935381.0,4019903.0,4104594.0,4188949.0,4273800.0,4359477.0,4444003.0,4528540.0,4614326.0,4700410.0,4785036.0,4869438.0,4953712.0,5037805.0,5122310.0,5209223.0,5294803.0,5380231.0,5464894.0,5548610.0,,
11,205,55,alesi,15,10,11,+1 Lap,96066,181714,266995,352037,437320,521157,604518.0,687888.0,771808.0,855613.0,939620.0,1023285.0,1106809.0,1190232.0,1273437.0,1356880.0,1440229.0,1523114.0,1605573.0,1688250.0,1770655.0,1853390.0,1935784.0,2018693.0,2101244.0,2184569.0,2270758.0,2373009.0,2456030.0,2538956.0,2621898.0,2704865.0,2787850.0,2871781.0,2955151.0,3038072.0,3120485.0,3202803.0,3285747.0,3368354.0,3450759.0,3534303.0,3616282.0,3698455.0,3780915.0,3864245.0,3946461.0,4030704.0,4133484.0,4217077.0,4300938.0,4385013.0,4470528.0,4554250.0,4640105.0,4723611.0,4805955.0,4888287.0,4970841.0,5053358.0,5135991.0,5218411.0,5300824.0,5383058.0,5465891.0,5549425.0,
16,205,65,herbert,15,19,5,Engine,96427,182137,267594,352644,438176,522322,606158.0,689799.0,773629.0,857351.0,941269.0,1024897.0,1108464.0,1191970.0,1275621.0,1359416.0,1442972.0,1526187.0,1609322.0,1692378.0,1775330.0,1858208.0,1940920.0,2023726.0,2106656.0,2191614.0,2291761.0,2374587.0,2457620.0,2540746.0,2624019.0,2707246.0,2790196.0,2873681.0,2956703.0,3039571.0,3122309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,205,15,trulli,20,21,7,Transmission,97049,182821,268245,353573,438937,524955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,205,64,diniz,21,22,9,Hydraulics,97677,183344,269042,354558,439843,525420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,205,44,panis,20,12,12,+2 Laps,98007,183759,269358,355007,441021,526284,611398.0,696005.0,780739.0,865274.0,949630.0,1034014.0,1118422.0,1202600.0,1286884.0,1371376.0,1455631.0,1540067.0,1624810.0,1709323.0,1793276.0,1877612.0,1961920.0,2046219.0,2132794.0,2236161.0,2320073.0,2406826.0,2491752.0,2576438.0,2661274.0,2745765.0,2830437.0,2914874.0,2999256.0,3083769.0,3168854.0,3254220.0,3339454.0,3423455.0,3508997.0,3594101.0,3680858.0,3785120.0,3868866.0,3954511.0,4039352.0,4123553.0,4207630.0,4291255.0,4374590.0,4458427.0,4542060.0,4625305.0,4708857.0,4794290.0,4880679.0,4964094.0,5048879.0,5132066.0,5214997.0,5298372.0,5381585.0,5465341.0,5549872.0,,
10,205,50,verstappen,24,13,12,+2 Laps,98476,184421,269856,355896,441545,526990,612148.0,696736.0,781507.0,866192.0,950930.0,1035365.0,1120140.0,1204707.0,1288745.0,1372857.0,1456997.0,1540998.0,1625426.0,1709933.0,1794142.0,1880311.0,1985980.0,2070293.0,2154417.0,2240655.0,2325267.0,2410763.0,2495018.0,2578962.0,2663022.0,2747114.0,2831567.0,2916326.0,3000679.0,3085114.0,3169766.0,3255329.0,3341302.0,3426224.0,3510769.0,3595944.0,3681954.0,3788294.0,3872878.0,3959387.0,4044627.0,4129203.0,4213859.0,4298551.0,4383296.0,4468409.0,4558462.0,4643340.0,4727799.0,4812276.0,4896988.0,4981604.0,5066010.0,5150424.0,5234894.0,5319132.0,5403661.0,5488670.0,5572806.0,,
14,205,63,salo,21,14,12,+2 Laps,98843,185074,270484,356429,442018,527840,613003.0,697885.0,782586.0,867186.0,952089.0,1036466.0,1120763.0,1205217.0,1289871.0,1374071.0,1458237.0,1542329.0,1626338.0,1710512.0,1794813.0,1878956.0,1962508.0,2046475.0,2133120.0,2240965.0,2326552.0,2411414.0,2495987.0,2580355.0,2664711.0,2749148.0,2833147.0,2917240.0,3001393.0,3085847.0,3170567.0,3258076.0,3342965.0,3427186.0,3511577.0,3598085.0,3704392.0,3789205.0,3874845.0,3960411.0,4045990.0,4130527.0,4215007.0,4299577.0,4384256.0,4471666.0,4559018.0,4643909.0,4728478.0,4812937.0,4897478.0,4982202.0,5066505.0,5150892.0,5235344.0,5319572.0,5404033.0,5489097.0,5573414.0,,
17,205,68,takagi,25,16,12,+2 Laps,99189,185747,271299,357115,442944,528432,613899.0,699164.0,784259.0,869432.0,954447.0,1039311.0,1124209.0,1208991.0,1293517.0,1377866.0,1462720.0,1546772.0,1631086.0,1715314.0,1799624.0,1886576.0,1992420.0,2077785.0,2162403.0,2247200.0,2331765.0,2416185.0,2500593.0,2584895.0,2669307.0,2753662.0,2837986.0,2922615.0,3006956.0,3092982.0,3177396.0,3265332.0,3352708.0,3440576.0,3525599.0,3610100.0,3694581.0,3778550.0,3867797.0,3971678.0,4055070.0,4139289.0,4224616.0,4310205.0,4394765.0,4479482.0,4563921.0,4648460.0,4732879.0,4817223.0,4901979.0,4986341.0,5070629.0,5154955.0,5239515.0,5325078.0,5409215.0,5493344.0,5577269.0,,
21,205,75,nakano,18,15,12,+2 Laps,99750,186581,272928,358830,444927,530796,616772.0,702556.0,788006.0,873510.0,959249.0,1044454.0,1129953.0,1215342.0,1300464.0,1385575.0,1470554.0,1555173.0,1639725.0,1724645.0,1809405.0,1895447.0,1981314.0,2065722.0,2150183.0,2234491.0,2319323.0,2406001.0,2490939.0,2575608.0,2660408.0,2745190.0,2829935.0,2914418.0,2998672.0,3083383.0,3168422.0,3253887.0,3341431.0,3448598.0,3535370.0,3621346.0,3706992.0,3792357.0,3878456.0,3964042.0,4049266.0,4134897.0,4220260.0,4305978.0,4390778.0,4477176.0,4562235.0,4646907.0,4731482.0,4816101.0,4900557.0,4985142.0,5069537.0,5153779.0,5237989.0,5323426.0,5407934.0,5492192.0,5576590.0,,
19,205,73,rosset,25,20,5,Engine,100542,187578,273586,360319,445846,531686,617466.0,703360.0,789250.0,875405.0,961221.0,1047122.0,1132919.0,1218957.0,1304499.0,1389813.0,1474872.0,1559802.0,1645148.0,1734184.0,1844065.0,1928843.0,2013004.0,2100329.0,2188984.0,2274084.0,2360230.0,2445248.0,2530355.0,2615351.0,2700641.0,2787125.0,2874174.0,2959988.0,3044919.0,3129833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
