,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,montoya,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0
1,raikkonen,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2,trulli,3,3,3,3,3,3,3,3,3,3,3,6,16,14,14,14,14,14,13,13,13,13,13,13,13,12,12,12,12,11,9,10,11,11,0,0,0,0,0,0,0,0,0,0
3,alonso,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
4,michael_schumacher,5,5,5,5,5,5,5,5,5,5,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,sato,6,6,6,6,6,6,6,6,6,6,6,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,button,7,7,7,7,7,7,8,8,9,8,9,16,13,10,10,10,10,9,9,9,9,9,9,8,7,7,7,7,7,6,6,5,4,6,5,5,5,4,4,4,3,3,3,3
7,ralf_schumacher,8,8,8,8,8,8,7,7,7,12,8,3,3,2,2,2,2,2,2,2,2,2,2,3,12,14,13,13,13,12,10,8,8,7,7,7,7,7,6,7,7,7,7,7
8,massa,9,9,9,9,9,9,10,10,10,9,10,7,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,6,8,14,14,14,13,11,11,12,12,12,11,10,10,10,0
9,webber,10,12,12,12,12,12,12,12,12,11,12,15,12,9,8,8,8,8,8,8,7,7,7,7,6,6,6,6,5,5,4,4,6,5,6,6,6,6,7,6,4,4,4,4
10,coulthard,11,10,10,10,10,11,11,11,11,10,11,13,14,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,fisichella,12,11,11,11,11,10,9,9,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,klien,13,13,13,13,13,13,13,13,13,13,13,12,17,15,15,15,15,15,14,14,14,14,14,14,14,13,14,14,14,14,12,13,13,12,12,12,11,11,11,10,9,9,9,0
13,barrichello,14,15,15,15,15,15,15,15,15,15,14,8,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,5,4,4,5,6,5,4,4,4,4,5,5,5,5,5,5,5
14,pizzonia,15,14,14,14,14,14,14,14,14,14,15,17,15,13,12,12,12,12,11,11,11,11,11,11,10,10,10,9,9,7,7,7,7,8,8,8,8,9,10,0,0,0,0,0
15,villeneuve,16,16,16,16,16,16,16,16,16,16,7,2,2,4,4,4,4,4,4,5,8,8,8,9,8,8,9,10,11,13,11,11,9,9,9,9,9,8,8,8,6,6,6,6
16,monteiro,17,17,17,17,17,17,17,17,17,17,16,9,8,8,9,9,9,10,10,10,10,10,10,10,9,9,8,8,8,9,13,12,10,10,10,10,10,10,9,9,8,8,8,0
17,karthikeyan,18,18,18,18,18,18,18,18,18,18,17,14,9,12,13,13,13,13,12,12,12,12,12,12,11,11,11,11,10,10,8,9,12,14,13,13,13,13,13,12,11,11,11,0
18,doornbos,19,19,19,19,19,19,19,19,19,19,18,18,18,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,13,12,0,0,0
