,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,86,31,montoya,1,14,4,Collision,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8463.0,26491.0,17129.0,6748.0,10967.0,14732.0,18499.0,20817.0,,,,
1,86,8,raikkonen,1,1,1,Finished,1252,1432,775,1558,1277,1030,961,1012,648,668,26995.0,5718.0,4186.0,6501.0,6545.0,7201.0,7342.0,7015.0,6994.0,6654.0,7153.0,7199.0,6515.0,6509.0,6075.0,4999.0,4564.0,2852.0,2212.0,1474.0,1123.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,86,15,trulli,7,16,3,Accident,3254,4505,4565,5284,5679,5451,5621,5638,5667,5465,28346.0,10564.0,23360.0,49329.0,52371.0,54247.0,55862.0,58055.0,62309.0,63660.0,66524.0,68944.0,71111.0,73691.0,75700.0,76489.0,78367.0,79402.0,85172.0,87603.0,91453.0,102620.0,117184.0,121103.0,,,,,,,,,,
3,86,4,alonso,4,2,1,Finished,3947,6776,7392,8584,9600,10678,11877,12861,12798,12935,28728.0,6411.0,4539.0,10121.0,11485.0,12702.0,13558.0,14029.0,14658.0,14956.0,16098.0,16236.0,16438.0,16611.0,16574.0,16381.0,17077.0,15921.0,15661.0,16222.0,15906.0,24687.0,36456.0,39332.0,33427.0,23370.0,27301.0,31061.0,34532.0,35621.0,39045.0,37805.0,35558.0,28394.0
4,86,30,michael_schumacher,6,18,3,Accident,4736,7879,9501,11389,12605,12998,13412,14370,14101,13982,30470.0,17236.0,18832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,86,11,sato,16,19,3,Accident,7527,10660,13173,15379,16314,17712,19065,20253,20613,20584,31013.0,17831.0,18939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,86,18,button,16,3,1,Finished,7658,11443,13996,16470,18595,19988,22590,24183,26538,27777,42056.0,28403.0,19788.0,23536.0,26220.0,29321.0,32873.0,35363.0,38355.0,40425.0,43773.0,46938.0,50069.0,53788.0,54688.0,54176.0,55309.0,54963.0,55662.0,55909.0,56255.0,56342.0,62450.0,80288.0,72921.0,59710.0,59127.0,59175.0,58511.0,55563.0,54313.0,48688.0,42896.0,32077.0
7,86,23,ralf_schumacher,7,7,1,Finished,8031,12382,14890,17177,19346,20714,22061,21304,21411,30778,37680.0,4011.0,4014.0,4736.0,3637.0,2889.0,1918.0,823.0,787.0,726.0,1162.0,1001.0,1014.0,10361.0,68854.0,81786.0,83440.0,83501.0,86753.0,89804.0,94637.0,98654.0,99970.0,105604.0,99386.0,88670.0,90764.0,91267.0,91831.0,99059.0,112938.0,107479.0,99539.0,87574.0
8,86,13,massa,15,10,11,+1 Lap,8301,13118,15588,18570,20411,22169,24627,26492,27502,28500,42705.0,11060.0,14127.0,16283.0,17959.0,21567.0,23913.0,25210.0,27132.0,28787.0,30398.0,31763.0,33023.0,34678.0,36669.0,36897.0,38011.0,37814.0,47864.0,82762.0,105770.0,141165.0,154816.0,161681.0,158210.0,150971.0,157975.0,163427.0,168092.0,172844.0,176638.0,176490.0,175508.0,
9,86,17,webber,3,4,1,Finished,9235,16068,18939,21418,23414,25368,27212,28785,29454,30548,44898.0,20601.0,19506.0,21498.0,22559.0,24720.0,28493.0,31170.0,33017.0,34696.0,36695.0,37864.0,39279.0,40620.0,42266.0,43066.0,44911.0,44554.0,44987.0,45265.0,45433.0,54199.0,68028.0,75410.0,73208.0,67484.0,72877.0,86515.0,100563.0,94620.0,92751.0,87324.0,81022.0,69167.0
10,86,14,coulthard,9,17,5,Engine,9573,14196,16287,19189,21574,24221,26349,27633,28519,29457,44047.0,20057.0,20049.0,25595.0,27792.0,31339.0,34969.0,39671.0,,,,,,,,,,,,,,,,,,,,,,,,,,
