,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
11,846,20,vettel,9,1,1,Finished,84839,165108,244919,324404,403941,483697,563492,642880,722568,802126,881822,961554,1042000,1122049,1203337,1305375,1388711,1468951,1548606,1628113,1707196,1786897,1865980,1945247,2025062,2105290,2184456,2263327,2341925,2421035,2500242.0,2578975.0,2658488.0,2744771.0,2873696.0,2995192.0,3112798.0,3228014.0,3309050.0,3389253.0,3468913.0,3548158.0,3627905.0,3707180.0,3786404.0,3865720.0,3944759.0,4023950.0,4103406.0,4182720.0,4262191.0,4341590.0,4421177.0,4501004.0,4580512.0,4660475.0,4739820.0,4819038.0,4898109.0,4977155.0,5056344.0,5135971.0,5215718.0,5295041.0,5374852.0,5454334.0,5534745.0,5614524.0,5700236.0,5829765.0,5953420.0,7266461.0,7391863.0,7470078.0,7548610.0,7625549.0,7702106.0,7778373.0
10,846,18,button,1,3,1,Finished,87288,168322,248651,328764,408609,488328,567908,647451,726854,806484,886003,965730,1045475,1125824,1224394,1305500,1384572,1462663,1541011,1619214,1697413,1776239,1855373,1933593,2011878,2090330,2169759,2249961,2328267,2406894,2486446.0,2565617.0,2665375.0,2754673.0,2877577.0,2999627.0,3116718.0,3231320.0,3313131.0,3391586.0,3469725.0,3548706.0,3628597.0,3708372.0,3787358.0,3866552.0,3945599.0,4041894.0,4123311.0,4201205.0,4278683.0,4356176.0,4434066.0,4511694.0,4589931.0,4668018.0,4746831.0,4824745.0,4902895.0,4980629.0,5058322.0,5136698.0,5216484.0,5295721.0,5375493.0,5455081.0,5535432.0,5615423.0,5702079.0,5831240.0,5955191.0,7269027.0,7393303.0,7472296.0,7550578.0,7627699.0,7704288.0,7780751.0
3,846,4,alonso,6,2,1,Finished,87562,169176,249436,329784,410188,489890,569749,649076,728830,808092,887453,967085,1046969,1127138,1208445,1289719,1388322,1471860,1551834,1631847,1711268,1790320,1869090,1948614,2028021,2107842,2186791,2266048,2344921,2424068,2503239.0,2582217.0,2662432.0,2778512.0,2885994.0,3002646.0,3119959.0,3234273.0,3317243.0,3397359.0,3476350.0,3555832.0,3635496.0,3714374.0,3793543.0,3872565.0,3951383.0,4030228.0,4109309.0,4187917.0,4266502.0,4344865.0,4423645.0,4502718.0,4582660.0,4661476.0,4740599.0,4819445.0,4898613.0,4977993.0,5056625.0,5136283.0,5216018.0,5295294.0,5375149.0,5454508.0,5535054.0,5615162.0,5701135.0,5830614.0,5954154.0,7267109.0,7392363.0,7471512.0,7549562.0,7626493.0,7702964.0,7779511.0
9,846,17,webber,9,4,1,Finished,88794,170691,251518,331559,411711,491427,571433,651671,731808,812182,892501,972906,1054005,1135510,1218263,1332198,1417698,1499496,1580162,1660729,1741793,1823041,1904803,1986430,2068407,2150435,2232110,2313716,2395413,2477594,2559494.0,2642046.0,2728832.0,2866905.0,2959394.0,3045254.0,3130042.0,3240871.0,3324744.0,3407925.0,3490905.0,3572731.0,3654073.0,3735429.0,3816734.0,3898112.0,3979719.0,4061057.0,4141941.0,4222577.0,4302937.0,4383519.0,4464349.0,4544534.0,4644018.0,4726097.0,4804728.0,4883165.0,4962249.0,5040476.0,5119201.0,5198149.0,5276759.0,5356532.0,5438402.0,5521226.0,5599134.0,5677271.0,5782854.0,5886482.0,5982087.0,7281005.0,7401725.0,7486407.0,7567525.0,7645903.0,7725240.0,7801474.0
2,846,3,rosberg,131,11,12,+2 Laps,89991,172086,253350,334357,415369,496173,577084,658263,739530,821164,903361,985902,1069583,1156247,1260800,1347054,1428480,1510640,1593107,1675641,1759458,1843094,1924009,2005652,2087638,2170701,2253011,2335674,2418864,2501992,2585652.0,2669641.0,2777072.0,2885539.0,3002193.0,3119380.0,3233843.0,3320926.0,3404393.0,3486910.0,3568820.0,3650736.0,3732237.0,3814087.0,3895829.0,3978019.0,4058592.0,4138995.0,4219458.0,4299852.0,4380510.0,4461304.0,4560754.0,4643761.0,4723535.0,4802234.0,4881463.0,4960844.0,5041222.0,5120895.0,5201143.0,5280643.0,5360540.0,5441208.0,5524557.0,5610843.0,5703782.0,5831702.0,5956123.0,7270647.0,7394125.0,7474502.0,7553969.0,7632877.0,7711962.0,7794060.0,,
6,846,13,massa,6,21,3,Accident,90601,172738,253930,334864,415776,496793,577537,658668,739957,821533,903678,986149,1069722,1153793,1234283,1314485,1395358,1476250,1557377,1638648,1719949,1801440,1883121,1964722,2047094,2148880,2233950,2314940,2396079,2478175,2560068.0,2642441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,846,813,maldonado,3,18,3,Accident,91824,173944,255426,336459,417281,498152,578819,660218,741116,822655,904690,986825,1070342,1154870,1236039,1317538,1398770,1479979,1562239,1644065,1725913,1808341,1890881,1975032,2078037,2162438,2243089,2323747,2404633,2486392,2568232.0,2649793.0,2735179.0,2868329.0,2960843.0,3047120.0,3132178.0,3242348.0,3326749.0,3409960.0,3493216.0,3575378.0,3656658.0,3737654.0,3818898.0,3899776.0,3981263.0,4062805.0,4143768.0,4224771.0,4305376.0,4386197.0,4466836.0,4566207.0,4649422.0,4728825.0,4808487.0,4887561.0,4966576.0,5045593.0,5124831.0,5203735.0,5283187.0,5362305.0,5442313.0,5524980.0,5608502.0,5691804.0,5796874.0,5893708.0,5987626.0,7283350.0,7405063.0,,,,,
19,846,808,petrov,4,19,4,Collision,92954,175513,257293,338482,419660,500562,581675,662208,742634,823977,905605,988680,1071026,1156657,1239753,1320405,1400854,1481340,1562991,1644636,1726646,1808909,1891491,1975397,2059476,2141804,2223545,2327732,2411642,2492251,2572626.0,2654191.0,2740237.0,2871321.0,2962063.0,3049487.0,3135224.0,3242948.0,3328368.0,3411361.0,3495698.0,3578070.0,3658767.0,3739067.0,3820173.0,3901579.0,3983267.0,4064553.0,4145696.0,4226522.0,4307544.0,4388140.0,4468900.0,4549453.0,4629818.0,4710412.0,4790470.0,4870799.0,4950866.0,5030990.0,5111565.0,5191763.0,5272366.0,5354032.0,5438015.0,5523602.0,5608174.0,,,,,,,,,,,
14,846,30,michael_schumacher,131,22,5,Engine,93403,175916,257933,339697,421338,503000,584573,666936,749090,832943,915616,1026998,1110384,1191407,1272389,1354281,1435155,1515401,1595667,1676594,1759682,1843552,1924679,2006062,2087936,2170886,2253365,2336031,2417061,2496862,2576828.0,2658452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,846,1,hamilton,1,6,1,Finished,94107,176452,258584,340276,421760,503272,584724,667184,749310,829960,909974,990187,1071238,1156877,1240538,1321225,1401664,1482077,1563148,1644878,1726869,1833250,1918554,1997119,2075213,2153860,2234189,2315146,2396353,2478342,2560266.0,2642813.0,2733952.0,2867208.0,2959718.0,3045743.0,3130428.0,3241202.0,3325602.0,3408077.0,3491311.0,3572927.0,3666858.0,3749053.0,3829427.0,3909667.0,3990180.0,4071254.0,4172938.0,4255531.0,4334440.0,4412878.0,4492400.0,4570247.0,4650039.0,4729310.0,4808717.0,4888036.0,4967142.0,5046728.0,5125845.0,5205281.0,5285367.0,5363929.0,5443079.0,5525250.0,5608740.0,5697406.0,5798650.0,5894234.0,5988548.0,7284606.0,7405150.0,7489031.0,7567795.0,7646543.0,7726459.0,7805583.0
12,846,22,barrichello,3,9,11,+1 Lap,94864,177764,259903,341777,423103,504712,585997,668163,750266,833374,916100,997547,1078483,1159643,1243315,1324547,1405705,1486936,1568540,1650087,1732265,1814079,1895566,1977516,2060400,2142659,2225172,2307676,2389740,2471729,2553839.0,2655554.0,2749753.0,2876408.0,2998464.0,3115502.0,3231075.0,3317356.0,3401185.0,3483491.0,3565335.0,3647074.0,3728658.0,3809715.0,3890645.0,3971766.0,4052790.0,4134964.0,4215284.0,4295593.0,4376092.0,4456665.0,4536961.0,4617379.0,4697680.0,4777920.0,4858251.0,4938660.0,5019995.0,5100388.0,5180728.0,5261314.0,5343190.0,5425194.0,5505884.0,5586498.0,5667308.0,5782124.0,5887709.0,5983627.0,7281906.0,7402915.0,7488522.0,7571020.0,7651414.0,7729998.0,7809135.0,
21,846,814,resta,10,12,12,+2 Laps,95517,178379,260810,342560,424299,505897,587322,669027,751066,833809,916551,999492,1080615,1161880,1244108,1325995,1407685,1489288,1571114,1671357,1755786,1836478,1919169,2003830,2085647,2168031,2264179,2349779,2433127,2515946,2599388.0,2724578.0,2866401.0,2958392.0,3044383.0,3129034.0,3240360.0,3325903.0,3410256.0,3494827.0,3579669.0,3662674.0,3745087.0,3828173.0,3912575.0,3994945.0,4077606.0,4159372.0,4240018.0,4321677.0,4402091.0,4482557.0,4562833.0,4644672.0,4727678.0,4810536.0,4891282.0,4972226.0,5053036.0,5133484.0,5218053.0,5298893.0,5379696.0,5461043.0,5542587.0,5623925.0,5712748.0,5834530.0,5958302.0,7272317.0,7395801.0,7479755.0,7559367.0,7638207.0,7716931.0,7795850.0,,
18,846,155,kobayashi,15,5,1,Finished,96472,180346,263202,345816,428038,509876,591709,673370,754652,836663,918515,1000496,1082440,1164071,1246115,1328067,1409559,1490883,1572448,1654401,1736335,1817778,1898950,1980564,2063031,2144642,2226418,2308316,2390291,2472654,2554731.0,2637866.0,2720038.0,2839438.0,2945158.0,3033622.0,3125515.0,3239681.0,3324375.0,3407621.0,3490544.0,3572308.0,3653687.0,3735249.0,3816431.0,3897643.0,3979029.0,4060225.0,4141187.0,4221736.0,4302204.0,4383023.0,4463472.0,4544058.0,4624399.0,4704860.0,4785140.0,4865487.0,4945818.0,5026761.0,5108339.0,5189575.0,5270996.0,5353619.0,5434590.0,5515041.0,5595501.0,5675414.0,5780341.0,5882545.0,5977787.0,7280191.0,7401475.0,7486244.0,7567203.0,7645511.0,7726329.0,7805289.0
8,846,16,sutil,10,7,11,+1 Lap,97077,180883,263706,346714,429043,511360,593045,674858,756122,837822,919633,1001650,1083286,1165234,1247408,1329217,1410923,1492582,1574102,1655765,1737495,1819322,1900731,1982280,2064282,2146657,2228318,2310386,2392202,2474133,2556208.0,2638980.0,2723079.0,2838694.0,2944549.0,3032328.0,3124963.0,3239163.0,3323492.0,3406968.0,3490068.0,3571799.0,3653077.0,3734664.0,3815910.0,3897098.0,3978576.0,4059758.0,4140757.0,4221188.0,4301671.0,4382276.0,4462772.0,4543304.0,4623642.0,4704137.0,4784458.0,4864826.0,4945306.0,5026168.0,5108003.0,5189163.0,5270610.0,5353218.0,5437798.0,5523415.0,5608085.0,5722190.0,5835284.0,5959129.0,7273052.0,7396586.0,7478510.0,7558217.0,7637111.0,7716038.0,7794910.0,
1,846,2,heidfeld,4,8,11,+1 Lap,98007,182496,265607,348229,430567,513124,594993,676681,758662,840198,921420,1003575,1085057,1166707,1248794,1330670,1412456,1494153,1575668,1657351,1739055,1821158,1903798,1985041,2066458,2148875,2229983,2311720,2393974,2475893,2557881.0,2641138.0,2742886.0,2874459.0,2995955.0,3113491.0,3228929.0,3311179.0,3393846.0,3476593.0,3558771.0,3639753.0,3720931.0,3801195.0,3881145.0,3961157.0,4041211.0,4121610.0,4204038.0,4284156.0,4363798.0,4443569.0,4523794.0,4603875.0,4683811.0,4764372.0,4845787.0,4926357.0,5007643.0,5089178.0,5169859.0,5252435.0,5332644.0,5412466.0,5492570.0,5572217.0,5651779.0,5742773.0,5861182.0,5964416.0,7277049.0,7398881.0,7482791.0,7564283.0,7642750.0,7720842.0,7798699.0,
16,846,67,buemi,5,10,11,+1 Lap,98716,183094,266158,349005,431201,513553,595737,677553,759480,841305,922610,1004389,1086159,1167636,1249793,1331670,1413586,1495190,1576789,1658359,1739892,1822124,1904172,1985818,2067383,2149722,2231382,2313192,2395084,2477151,2559117.0,2641806.0,2744289.0,2875408.0,2997009.0,3114393.0,3230230.0,3315225.0,3398841.0,3479894.0,3560735.0,3641542.0,3722419.0,3803072.0,3883288.0,3963809.0,4043901.0,4125853.0,4206513.0,4286895.0,4367087.0,4446964.0,4526844.0,4606744.0,4687045.0,4768008.0,4848221.0,4928611.0,5009091.0,5090791.0,5171437.0,5271603.0,5356037.0,5438983.0,5523879.0,5610329.0,5698911.0,5802057.0,5895131.0,5989535.0,7285480.0,7405522.0,7490889.0,7571987.0,7651914.0,7730805.0,7809637.0,
7,846,15,trulli,205,13,12,+2 Laps,99391,183900,267555,350532,433165,515437,597561,679578,761750,843914,925873,1007529,1089407,1171272,1253539,1335650,1419213,1502159,1584949,1667712,1750700,1834271,1918071,2021293,2110679,2193783,2276033,2358170,2439799,2522054,2603502.0,2686353.0,2778307.0,2884349.0,3001693.0,3118741.0,3233025.0,3319992.0,3402885.0,3485367.0,3567237.0,3649098.0,3730901.0,3812953.0,3894845.0,3995802.0,4083470.0,4166001.0,4247845.0,4329172.0,4410985.0,4495137.0,4577978.0,4664075.0,4746974.0,4831236.0,4914733.0,4998601.0,5082493.0,5167193.0,5251867.0,5338077.0,5419865.0,5501793.0,5583231.0,5664508.0,5762224.0,5876850.0,5972400.0,7277545.0,7400589.0,7487870.0,7573519.0,7655515.0,7737532.0,7819445.0,,
17,846,153,alguersuari,5,20,4,Collision,100611,185027,268285,351269,433999,516533,598780,680704,762771,845102,927293,1009030,1090863,1172701,1254770,1336810,1419911,1502797,1585667,1668367,1751426,1834832,1918563,2004928,2086669,2168803,2252787,2334850,2435241,2520023,2601005.0,2685150.0,2776693.0,2882721.0,3000376.0,3117679.0,3232375.0,3318436.0,3401576.0,3483919.0,3565833.0,3647539.0,3729116.0,3810881.0,3891663.0,3972554.0,4053502.0,4135469.0,4216325.0,4296678.0,4377019.0,4457338.0,4538038.0,4618437.0,4698935.0,4800183.0,4884635.0,4963739.0,5042347.0,5121621.0,5201683.0,5281252.0,5361114.0,5441627.0,5525916.0,5609693.0,,,,,,,,,,,,
4,846,5,kovalainen,205,14,12,+2 Laps,101074,185676,269490,352188,435097,517534,600081,682344,764973,847193,929099,1010903,1092728,1174751,1257339,1339940,1423087,1506365,1609612,1695256,1779650,1861386,1943434,2030008,2113020,2196612,2279876,2361763,2443360,2525662,2607270.0,2690944.0,2782693.0,2887838.0,3003541.0,3121255.0,3235459.0,3322184.0,3405974.0,3492835.0,3577639.0,3661367.0,3743881.0,3826028.0,3907859.0,3992068.0,4074288.0,4156363.0,4238817.0,4321684.0,4404894.0,4506301.0,4594214.0,4674892.0,4756035.0,4838057.0,4918831.0,4999746.0,5082859.0,5167533.0,5254513.0,5338458.0,5420330.0,5502165.0,5583653.0,5665106.0,5763132.0,5878795.0,5973844.0,7278410.0,7401209.0,7490697.0,7574537.0,7656256.0,7738114.0,7819884.0,,
5,846,10,glock,166,23,22,Suspension,101681,186485,270080,353078,435836,518667,601429,684386,767012,849591,932234,1014971,1097236,1179722,1262788,1345565,1428075,1510296,1592871,1675367,1759289,1862067,1952640,2035877,2118797,2201453,2284190,2367384,2449898,2532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,846,816,ambrosio,166,15,13,+3 Laps,102729,188276,272758,356523,439891,523048,606006,689077,772187,855260,938183,1020865,1103724,1186988,1270909,1354176,1437962,1521151,1604435,1688705,1772387,1856800,1940813,2026227,2111940,2196442,2282927,2368813,2453243,2537581,2622553.0,2708249.0,2828965.0,2931564.0,3022220.0,3123496.0,3237236.0,3323027.0,3406989.0,3494636.0,3579414.0,3662470.0,3744815.0,3827949.0,3912314.0,3994699.0,4077514.0,4161178.0,4244037.0,4326720.0,4409663.0,4493706.0,4576965.0,4660554.0,4745978.0,4830774.0,4914134.0,4997976.0,5082212.0,5166783.0,5251771.0,5341332.0,5449988.0,5539164.0,5620649.0,5708535.0,5833340.0,5957152.0,7271950.0,7395598.0,7482401.0,7569671.0,7655172.0,7736744.0,7818135.0,,,
