,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
16,202.0,64.0,diniz,11.0,13.0,+3 Laps,95550.0,180123.0,264506.0,348299.0,432761.0,517190.0,601581.0,686137.0,770835.0,855560.0,940639.0,1025066.0,1109866.0,1194660.0,1279175.0,1363589.0,1447383.0,1531309.0,1614963.0,1699348.0,1784588.0,1868985.0,1953203.0,2041136.0,2126427.0,2215143.0,2321171.0,2404810.0,2488985.0,2573381.0,2657444.0,2741654.0,2825817.0,2909838.0,2994032.0,3081960.0,3167225.0,3251506.0,3335249.0,3419499.0,3505150.0,3588851.0,3672280.0,3758974.0,3844373.0,3928135.0,4015867.0,4120307.0,4204572.0,4289028.0,4375206.0,4461309.0,4545265.0,4629638.0,4714982.0,4800368.0,4885560.0,4970564.0,5055079.0,5139514.0,5224009.0,5310436.0,5395135.0,5481564.0,5567611.0,5652204.0,5736902.0,5821046.0,5905398.0,5989240.0,6073101.0,6156960.0,6241336.0,6327273.0,,,
15,202.0,63.0,salo,19.0,6.0,Gearbox,95995.0,180571.0,265117.0,349195.0,433301.0,517787.0,602067.0,686726.0,771098.0,855870.0,940880.0,1025328.0,1110424.0,1194890.0,1279866.0,1363947.0,1447825.0,1531541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,202.0,23.0,ralf_schumacher,9.0,11.0,+1 Lap,96863.0,181297.0,265732.0,349748.0,433732.0,518180.0,602453.0,687219.0,771732.0,856335.0,941270.0,1025815.0,1110932.0,1195197.0,1280207.0,1364365.0,1448154.0,1532036.0,1616156.0,1699534.0,1781757.0,1863282.0,1944778.0,2026116.0,2108351.0,2195359.0,2299079.0,2380555.0,2462589.0,2544041.0,2625356.0,2707024.0,2789027.0,2870818.0,2952593.0,3036535.0,3119057.0,3203575.0,3287951.0,3370179.0,3452150.0,3534820.0,3618015.0,3699656.0,3781545.0,3863867.0,3946147.0,4029710.0,4113360.0,4195929.0,4279009.0,4366646.0,4470565.0,4552039.0,4635018.0,4717020.0,4800537.0,4882167.0,4976493.0,5058067.0,5141478.0,5224568.0,5307201.0,5388580.0,5470422.0,5555584.0,5637743.0,5719070.0,5800914.0,5883465.0,5964340.0,6045289.0,6126635.0,6208511.0,6289529.0,6375312.0,
17,202.0,65.0,herbert,10.0,11.0,+1 Lap,97283.0,182164.0,266504.0,350484.0,434432.0,518559.0,602897.0,687656.0,772050.0,856729.0,941467.0,1026292.0,1111305.0,1195577.0,1280601.0,1364732.0,1448573.0,1532489.0,1616726.0,1699853.0,1784741.0,1869279.0,1953401.0,2035989.0,2119330.0,2201284.0,2283124.0,2364831.0,2446564.0,2528764.0,2611176.0,2697912.0,2799473.0,2880955.0,2962782.0,3044260.0,3125589.0,3206932.0,3288897.0,3371247.0,3452776.0,3535588.0,3618476.0,3700267.0,3782228.0,3864621.0,3946687.0,4034283.0,4136437.0,4218420.0,4300473.0,4382339.0,4464389.0,4547211.0,4629984.0,4715039.0,4796724.0,4878939.0,4961494.0,5045546.0,5127820.0,5209617.0,5291667.0,5373576.0,5456340.0,5538915.0,5620889.0,5702697.0,5785643.0,5869314.0,5953343.0,6038051.0,6122586.0,6211625.0,6294561.0,6380060.0,
2,202.0,15.0,trulli,18.0,5.0,Engine,97610.0,182980.0,267639.0,352312.0,436583.0,520658.0,605052.0,689669.0,774146.0,858570.0,943077.0,1027538.0,1112046.0,1196701.0,1281732.0,1366029.0,1449997.0,1533981.0,1618208.0,1702285.0,1786342.0,1870510.0,1959509.0,2067086.0,2150404.0,2234362.0,2317746.0,2401185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,202.0,22.0,barrichello,17.0,6.0,Gearbox,98400.0,184495.0,270032.0,355025.0,440141.0,525083.0,609635.0,694203.0,778775.0,863519.0,948772.0,1033360.0,1118226.0,1202702.0,1287049.0,1371389.0,1455868.0,1539907.0,1624529.0,1709220.0,1794904.0,1881487.0,1965315.0,2053745.0,2157934.0,2241289.0,2325127.0,2409329.0,2493740.0,2579259.0,2663382.0,2750426.0,2834613.0,2918349.0,3002046.0,3086464.0,3170226.0,3254112.0,3338954.0,3422414.0,3506153.0,3592233.0,3677578.0,3761901.0,3846052.0,3929755.0,4014226.0,4101998.0,4209186.0,4292480.0,4377202.0,4461767.0,4547215.0,4648444.0,,,,,,,,,,,,,,,,,,,,,,,
11,202.0,50.0,verstappen,13.0,13.0,+3 Laps,98900.0,184946.0,270998.0,356302.0,441958.0,527624.0,612964.0,697900.0,783471.0,868750.0,954393.0,1040576.0,1125702.0,1210620.0,1295694.0,1380877.0,1465361.0,1551405.0,1638400.0,1722995.0,1807340.0,1891585.0,1975823.0,2059919.0,2144506.0,2234353.0,2339098.0,2422858.0,2506505.0,2590385.0,2674193.0,2758328.0,2842247.0,2926059.0,3011076.0,3095141.0,3178957.0,3266017.0,3350284.0,3434485.0,3518773.0,3602944.0,3688237.0,3772586.0,3856375.0,3940431.0,4024245.0,4107889.0,4192448.0,4281930.0,4387883.0,4473426.0,4558530.0,4642983.0,4727211.0,4811357.0,4895328.0,4980841.0,5065942.0,5154737.0,5240710.0,5325853.0,5410626.0,5495878.0,5581024.0,5666027.0,5752738.0,5837480.0,5922508.0,6007774.0,6093973.0,6180581.0,6266140.0,6353910.0,,,
20,202.0,74.0,tuero,21.0,5.0,Engine,100170.0,186506.0,273565.0,360412.0,449019.0,535152.0,620602.0,706422.0,792322.0,878674.0,965610.0,1052253.0,1138429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,202.0,75.0,nakano,15.0,13.0,+3 Laps,100432.0,187006.0,273970.0,360914.0,447955.0,532199.0,616508.0,700796.0,785261.0,869851.0,955052.0,1041014.0,1126507.0,1211505.0,1296543.0,1381671.0,1466559.0,1553870.0,1639411.0,1724150.0,1808986.0,1898048.0,2004510.0,2089954.0,2175350.0,2259702.0,2344665.0,2429819.0,2514588.0,2599180.0,2684482.0,2770108.0,2855788.0,2940288.0,3024527.0,3108881.0,3193152.0,3277721.0,3361724.0,3449233.0,3533654.0,3619400.0,3703960.0,3788092.0,3873492.0,3957830.0,4044578.0,4133687.0,4269526.0,4353099.0,4436934.0,4523737.0,4608403.0,4694062.0,4779975.0,4865719.0,4950550.0,5035330.0,5119992.0,5204403.0,5288826.0,5373347.0,5459255.0,5543962.0,5628752.0,5713199.0,5799101.0,5884857.0,5969548.0,6055796.0,6140284.0,6224755.0,6309568.0,6465728.0,,,
18,202.0,68.0,takagi,14.0,13.0,+3 Laps,100717.0,187357.0,274258.0,361257.0,448524.0,533441.0,617544.0,701847.0,786661.0,871867.0,957307.0,1042248.0,1127373.0,1212278.0,1297106.0,1382461.0,1467075.0,1560478.0,1666693.0,1750297.0,1835752.0,1922604.0,2007311.0,2092308.0,2177261.0,2262248.0,2346938.0,2430868.0,2515457.0,2602947.0,2690858.0,2776236.0,2861620.0,2946468.0,3030744.0,3115147.0,3201275.0,3287691.0,3374124.0,3459412.0,3544614.0,3629822.0,3717115.0,3802691.0,3887498.0,3978450.0,4085517.0,4168012.0,4251617.0,4335361.0,4418779.0,4502515.0,4586528.0,4670469.0,4759049.0,4845973.0,4930277.0,5013663.0,5096835.0,5180405.0,5264622.0,5349509.0,5437972.0,5522710.0,5608997.0,5693499.0,5777782.0,5862575.0,5946432.0,6030299.0,6113707.0,6197335.0,6281312.0,6368142.0,,,
9,202.0,44.0,panis,12.0,13.0,+3 Laps,101103.0,187789.0,274603.0,361630.0,449350.0,535536.0,621041.0,706988.0,792721.0,879032.0,965877.0,1052600.0,1138777.0,1222985.0,1310816.0,1393992.0,1476530.0,1560060.0,1643978.0,1728224.0,1811558.0,1895350.0,1979156.0,2062751.0,2149925.0,2238175.0,2341335.0,2424214.0,2507424.0,2590970.0,2674961.0,2758905.0,2843420.0,2929906.0,3013987.0,3101568.0,3185637.0,3269846.0,3354908.0,3438846.0,3522108.0,3609344.0,3693236.0,3777069.0,3861244.0,3945449.0,4029557.0,4116667.0,4200855.0,4284526.0,4372704.0,4478253.0,4561025.0,4644391.0,4727886.0,4812046.0,4896982.0,4981318.0,5066178.0,5150596.0,5236362.0,5320068.0,5403580.0,5487609.0,5572101.0,5655461.0,5738596.0,5822061.0,5905944.0,5989928.0,6073991.0,6158247.0,6242842.0,6330000.0,,,
