,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
13,1042.0,840.0,stroll,20.0,130.0,Collision damage,101139.0,190598.0,275865.0,360305.0,443735.0,527595.0,610941.0,694293.0,778607.0,863240.0,946400.0,1029739.0,1112447.0,1195484.0,1278924.0,1362731.0,1446100.0,1544949.0,1661407.0,1748685.0,1832678.0,1915272.0,1997787.0,2080631.0,2163535.0,2248171.0,2332106.0,2415472.0,2498433.0,2583970.0,2666917.0,2750749.0,2833542.0,2920533.0,3036107.0,3118379.0,3200738.0,3283188.0,3365471.0,3447814.0,3529734.0,3611530.0,3693588.0,3775679.0,3857373.0,3939760.0,4021523.0,4103873.0,4186174.0,4268227.0,4354495.0,,,,,,,,,,,,,,,
12,1042.0,839.0,ocon,8.0,11.0,+1 Lap,101385.0,191346.0,278327.0,363023.0,446851.0,530180.0,613355.0,696966.0,780625.0,864521.0,948687.0,1031183.0,1114685.0,1197984.0,1281108.0,1364914.0,1448063.0,1532474.0,1615351.0,1698385.0,1782414.0,1865698.0,1948720.0,2032673.0,2115656.0,2198740.0,2282266.0,2365071.0,2447707.0,2529814.0,2611817.0,2693808.0,2775679.0,2860231.0,2942767.0,3025113.0,3107446.0,3189886.0,3272063.0,3353953.0,3435816.0,3517525.0,3599157.0,3681270.0,3763110.0,3844423.0,3925755.0,4007071.0,4088526.0,4170575.0,4252505.0,4334408.0,4419905.0,4525829.0,4607246.0,4688358.0,4769575.0,4850668.0,4931545.0,5012551.0,5093410.0,5174538.0,5255640.0,5337068.0,5418457.0,
18,1042.0,847.0,russell,14.0,11.0,+1 Lap,101407.0,192159.0,278496.0,363747.0,447661.0,531390.0,615040.0,699116.0,783129.0,867313.0,951511.0,1035739.0,1120632.0,1205336.0,1289187.0,1373091.0,1456865.0,1540910.0,1623797.0,1707065.0,1790723.0,1873949.0,1957061.0,2040245.0,2124197.0,2207402.0,2291068.0,2373892.0,2456840.0,2539508.0,2622271.0,2705135.0,2787644.0,2870650.0,2953987.0,3041420.0,3154587.0,3237428.0,3319820.0,3401707.0,3485028.0,3567138.0,3650203.0,3734159.0,3816462.0,3898323.0,3980845.0,4065050.0,4148057.0,4230252.0,4311721.0,4393963.0,4475906.0,4557568.0,4639083.0,4720948.0,4802511.0,4886378.0,4968321.0,5049799.0,5130683.0,5211565.0,5292612.0,5373631.0,5455041.0,
14,1042.0,841.0,giovinazzi,15.0,11.0,+1 Lap,101422.0,192812.0,279447.0,364913.0,448655.0,532241.0,615607.0,699789.0,783739.0,867702.0,952161.0,1037174.0,1121643.0,1205980.0,1290060.0,1373887.0,1457538.0,1541719.0,1624934.0,1708639.0,1792628.0,1875851.0,1960610.0,2044571.0,2128013.0,2211532.0,2295363.0,2382379.0,2490170.0,2573661.0,2656430.0,2738865.0,2821186.0,2904131.0,2986729.0,3069615.0,3153430.0,3236219.0,3318639.0,3400940.0,3483765.0,3566467.0,3648914.0,3733009.0,3815410.0,3897303.0,3980256.0,4064436.0,4146973.0,4229845.0,4313107.0,4395482.0,4477933.0,4560385.0,4643542.0,4726017.0,4808311.0,4890565.0,4972587.0,5056592.0,5139375.0,5221413.0,5303661.0,5385656.0,5467621.0,
3,1042.0,20.0,vettel,10.0,11.0,+1 Lap,102017.0,193493.0,280575.0,365889.0,450059.0,533409.0,616513.0,700255.0,784140.0,868201.0,952317.0,1036146.0,1120868.0,1203696.0,1286851.0,1369905.0,1452722.0,1536231.0,1618835.0,1701693.0,1785746.0,1868854.0,1951633.0,2034162.0,2117152.0,2200001.0,2286988.0,2393754.0,2477764.0,2559815.0,2641797.0,2723785.0,2805693.0,2888166.0,2971753.0,3054121.0,3136246.0,3218463.0,3300268.0,3382096.0,3464184.0,3545929.0,3627773.0,3709696.0,3791288.0,3872660.0,3953926.0,4035732.0,4117350.0,4201365.0,4282705.0,4364928.0,4446002.0,4527577.0,4609102.0,4690533.0,4771426.0,4852544.0,4934606.0,5015750.0,5096627.0,5177358.0,5258354.0,5339264.0,5420291.0,
4,1042.0,154.0,grosjean,17.0,11.0,+1 Lap,102259.0,192899.0,280152.0,365476.0,449660.0,533334.0,617989.0,702218.0,787176.0,871788.0,955330.0,1039721.0,1123680.0,1208084.0,1292120.0,1376741.0,1459936.0,1543703.0,1627557.0,1711232.0,1794952.0,1878153.0,1962026.0,2045456.0,2128709.0,2216228.0,2324201.0,2408015.0,2490668.0,2574718.0,2657619.0,2740496.0,2823878.0,2907139.0,2989668.0,3072657.0,3155209.0,3238440.0,3321005.0,3403491.0,3488510.0,3571749.0,3654395.0,3736983.0,3819234.0,3903755.0,3985744.0,4067784.0,4150504.0,4232759.0,4314744.0,4397422.0,4480493.0,4562608.0,4645427.0,4728102.0,4812195.0,4894315.0,4975979.0,5057847.0,5140091.0,5221910.0,5304696.0,5386471.0,5468472.0,
8,1042.0,825.0,kevin_magnussen,16.0,11.0,+1 Lap,102744.0,194218.0,281822.0,367689.0,454074.0,538648.0,623276.0,707308.0,791496.0,875175.0,958750.0,1042463.0,1125557.0,1209589.0,1294169.0,1378423.0,1462507.0,1546692.0,1630717.0,1714548.0,1798275.0,1881613.0,1964975.0,2048717.0,2132331.0,2215957.0,2299929.0,2384836.0,2468524.0,2552909.0,2640767.0,2748874.0,2832711.0,2915759.0,2999859.0,3083155.0,3166874.0,3250346.0,3333101.0,3417271.0,3499896.0,3582324.0,3664828.0,3748309.0,3830663.0,3913159.0,3995467.0,4079005.0,4161223.0,4244016.0,4326204.0,4408150.0,4490067.0,4571856.0,4653577.0,4735580.0,4817947.0,4899556.0,4981223.0,5062938.0,5144416.0,5225881.0,5307341.0,5389053.0,5470875.0,
20,1042.0,849.0,latifi,18.0,12.0,+2 Laps,102799.0,193585.0,281414.0,366607.0,451668.0,536245.0,621676.0,706080.0,790696.0,874549.0,958188.0,1042161.0,1127833.0,1211932.0,1296099.0,1380150.0,1464046.0,1548224.0,1632090.0,1716402.0,1800288.0,1884092.0,1967706.0,2055090.0,2162076.0,2246799.0,2330754.0,2414111.0,2497140.0,2580775.0,2665059.0,2749244.0,2831880.0,2915220.0,2999141.0,3082680.0,3166590.0,3252565.0,3336941.0,3419851.0,3502669.0,3585449.0,3668252.0,3750917.0,3833547.0,3917112.0,3999189.0,4081712.0,4164049.0,4246464.0,4328803.0,4411349.0,4493208.0,4575238.0,4657953.0,4740310.0,4822437.0,4904587.0,4986908.0,5069759.0,5152311.0,5234764.0,5318335.0,5401078.0,,
9,1042.0,826.0,kvyat,19.0,12.0,+2 Laps,103591.0,194837.0,282818.0,367769.0,452093.0,536539.0,619377.0,702522.0,785425.0,868884.0,953437.0,1037592.0,1122023.0,1206323.0,1290577.0,1374423.0,1458292.0,1542352.0,1625974.0,1709788.0,1794353.0,1877592.0,1961055.0,2043688.0,2130296.0,2243747.0,2328394.0,2412058.0,2495507.0,2578261.0,2661116.0,2743710.0,2826150.0,2908949.0,2991249.0,3073861.0,3156569.0,3239182.0,3321667.0,3404017.0,3487211.0,3571074.0,3653465.0,3735884.0,3817529.0,3899622.0,3983194.0,4066447.0,4148937.0,4232073.0,4314159.0,4396459.0,4479222.0,4561982.0,4648563.0,4768626.0,4856653.0,4937882.0,5018331.0,5099156.0,5184062.0,5266038.0,5347306.0,5428169.0,,
5,1042.0,815.0,perez,7.0,11.0,+1 Lap,107446.0,213335.0,297330.0,380388.0,463340.0,546032.0,628851.0,711560.0,794643.0,877262.0,959985.0,1043122.0,1126491.0,1209848.0,1292517.0,1375559.0,1458879.0,1542758.0,1626535.0,1710266.0,1793428.0,1876407.0,1958315.0,2040692.0,2122068.0,2204358.0,2286552.0,2368152.0,2449658.0,2531028.0,2613013.0,2694833.0,2776264.0,2859533.0,2941325.0,3023192.0,3105041.0,3186721.0,3268261.0,3349936.0,3431689.0,3513198.0,3594694.0,3676419.0,3761955.0,3865774.0,3946864.0,4027725.0,4108527.0,4189807.0,4271117.0,4352291.0,4433555.0,4514859.0,4596053.0,4677403.0,4759857.0,4843642.0,4925519.0,5007005.0,5088169.0,5169596.0,5251521.0,5334660.0,5416886.0,
