,0,1,2
0,840,211,1:17.626
1,839,4,1:17.614
2,817,4,1:17.481
3,842,213,1:17.209
4,846,1,1:17.321
5,832,1,1:17.183
6,848,9,1:17.411
7,815,211,1:17.129
8,844,6,1:17.090
9,830,9,1:16.879
10,822,131,1:16.466
11,1,131,1:16.652
12,826,213,1:17.728
13,847,3,1:17.788
14,20,6,1:17.446
15,8,51,1:18.201
16,841,51,1:18.323
17,154,210,1:18.364
18,825,210,1:18.508
19,849,3,1:18.777
