,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
6,957,20,vettel,6,9,1,Finished,193625,367175,540897,710770,867024,1007406,1148156.0,1269460.0,1386454.0,1502693.0,1617323.0,1731663.0,1846185.0,1960298.0,2070697.0,2200625.0,2306949.0,2422786.0,2527192.0,2629453.0,2730528.0,2831071.0,2931656.0,3030915.0,3130929.0,3231538.0,3330913.0,3429960.0,3528742.0,3626923.0,3724564.0,3822180.0,3920425.0,4019416.0,4117202.0,4215507.0,4316043.0,4414117.0,4511311.0,4611054.0,4709069.0,4806428.0,4903738.0,5000671.0,5098348.0,5196593.0,5294544.0,5391765.0,5489312.0,5586834.0,5684438.0,5782485.0
4,957,13,massa,3,11,11,+1 Lap,194892,368394,541962,711561,868771,986117,1144473.0,1266124.0,1383434.0,1498768.0,1613832.0,1728900.0,1843380.0,1958373.0,2073287.0,2182510.0,2312442.0,2418781.0,2522498.0,2625490.0,2726687.0,2826862.0,2926383.0,3026177.0,3129713.0,3230159.0,3329324.0,3428207.0,3526879.0,3625190.0,3723419.0,3821568.0,3919825.0,4018462.0,4116738.0,4214950.0,4317327.0,4415229.0,4532139.0,4628280.0,4724518.0,4824104.0,4920677.0,5017246.0,5114053.0,5210804.0,5307312.0,5404159.0,5501406.0,5598816.0,5696720.0,
7,957,154,grosjean,210,20,31,Retired,196022,369584,543189,712869,867415,1009840,1150802.0,1275189.0,1392888.0,1509884.0,1626623.0,1743176.0,1859442.0,1974949.0,2090699.0,2202665.0,2332303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,957,821,gutierrez,210,16,11,+1 Lap,196908,370354,544116,713577,869574,1019612,1162700.0,1284200.0,1402196.0,1519408.0,1634836.0,1750819.0,1866814.0,1981972.0,2097597.0,2212819.0,2323533.0,2450798.0,2554415.0,2656760.0,2757826.0,2863891.0,2964478.0,3064238.0,3163790.0,3264425.0,3364852.0,3466247.0,3569952.0,3671238.0,3770981.0,3870332.0,3969926.0,4069349.0,4168804.0,4269877.0,4369166.0,4468652.0,4568473.0,4669612.0,4769063.0,4867665.0,4965589.0,5063302.0,5161228.0,5259237.0,5357300.0,5455369.0,5553885.0,5652131.0,5750697.0,
14,957,826,kvyat,5,10,1,Finished,198404,371479,545073,714672,871112,988301,1149471.0,1271343.0,1387640.0,1503835.0,1618791.0,1733222.0,1846892.0,1961268.0,2075285.0,2185077.0,2313502.0,2419481.0,2525650.0,2628916.0,2729536.0,2830182.0,2930927.0,3030011.0,3130455.0,3231086.0,3330429.0,3431037.0,3531074.0,3629866.0,3728062.0,3827320.0,3925809.0,4024392.0,4122059.0,4220032.0,4318656.0,4417166.0,4515285.0,4612991.0,4710898.0,4808794.0,4906712.0,5004636.0,5102419.0,5200321.0,5298158.0,5395980.0,5493727.0,5591918.0,5689624.0,5788431.0
13,957,825,kevin_magnussen,4,17,6,Gearbox,199166,372153,545793,715520,869971,1012385,1155153.0,1279863.0,1398894.0,1516665.0,1633540.0,1749356.0,1864528.0,1979854.0,2094625.0,2209681.0,2319993.0,2447939.0,2551453.0,2652843.0,2753567.0,2853866.0,2957517.0,3058720.0,3161079.0,3263198.0,3363707.0,3463983.0,3566469.0,3669553.0,3769139.0,3869174.0,3969085.0,4068481.0,4167949.0,4269179.0,4368433.0,4467839.0,4568880.0,4668917.0,4786690.0,4884348.0,4981967.0,5079774.0,5177646.0,5276316.0,5374457.0,5474106.0,5578044.0,,,
5,957,18,button,1,12,11,+1 Lap,201203,373946,546858,716741,872372,989337,1149937.0,1272557.0,1389393.0,1506675.0,1623377.0,1739468.0,1855179.0,1970111.0,2084471.0,2197868.0,2305651.0,2430623.0,2533534.0,2634294.0,2735405.0,2835880.0,2936033.0,3036360.0,3136577.0,3236127.0,3335401.0,3434792.0,3533912.0,3632517.0,3731076.0,3829715.0,3928400.0,4026616.0,4124530.0,4222437.0,4320660.0,4418955.0,4516950.0,4614940.0,4713268.0,4811670.0,4909682.0,5008055.0,5106248.0,5204690.0,5303045.0,5402897.0,5502230.0,5601594.0,5700896.0,
19,957,835,jolyon_palmer,4,18,6,Gearbox,202576,375443,549168,718036,873677,993943,1154467.0,1278573.0,1397105.0,1514138.0,1630448.0,1746793.0,1862200.0,1977669.0,2092820.0,2204433.0,2359969.0,2471624.0,2580502.0,2720033.0,2829675.0,2935423.0,3039473.0,3142435.0,3244999.0,3346280.0,3450809.0,3556655.0,3657274.0,3759794.0,3864386.0,3964672.0,4064464.0,4166134.0,4271262.0,4371017.0,4471101.0,,,,,,,,,,,,,,,
21,957,837,haryanto,209,19,20,Spun off,203761,376560,550251,719256,874520,995866,1156560.0,1282856.0,1401851.0,1528202.0,1645125.0,1761523.0,1880602.0,1997210.0,2113338.0,2228732.0,2341533.0,2473635.0,2584070.0,2689983.0,2794066.0,2896067.0,2997447.0,3099574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,957,836,wehrlein,209,22,20,Spun off,204659,377839,551271,720075,871561,1016467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,957,831,nasr,15,15,11,+1 Lap,206275,378484,552664,721028,874998,998780,1132155.0,1274101.0,1391393.0,1509282.0,1625431.0,1742627.0,1858441.0,1973176.0,2087522.0,2199394.0,2328751.0,2433436.0,2538670.0,2641716.0,2743976.0,2847647.0,2948388.0,3052612.0,3152143.0,3252024.0,3351760.0,3451839.0,3551506.0,3651562.0,3750837.0,3849895.0,3950409.0,4051665.0,4151562.0,4252823.0,4352113.0,4450889.0,4549706.0,4648950.0,4748959.0,4847813.0,4946523.0,5047017.0,5146091.0,5244850.0,5343894.0,5442946.0,5542220.0,5641159.0,5740226.0,
