,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,raikkonen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,massa,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,6,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,alonso,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,11,11,11,11,9,8,7,7,7,6,6,6,6,6,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,hamilton,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,1,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,kubica,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,2,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,kovalainen,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,heidfeld,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,4,1,1,1,6,5,5,5,5,5,5,5,7,15,13,13,13,13,13,13,13,12,12,12,11,12,12,12,12,12,12,12,12,10,9,9,9,9,9,9,9,9,9,9,9,9
7,webber,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,6,13,12,11,11,10,7,7,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5
8,trulli,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,15,14,13,13,12,8,8,8,8,8,8,8,8,7,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8
9,piquet_jr,10,10,10,10,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,rosberg,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,7,6,15,15,13,9,9,9,9,9,9,9,9,8,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,barrichello,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,8,7,6,6,5,15,15,15,15,15,15,15,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,button,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,9,8,8,8,12,12,12,12,12,12,12,12,11,10,10,10,10,10,10,10,9,9,8,8,8,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
13,nakajima,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,10,9,9,9,10,10,10,10,10,10,10,10,9,8,8,8,8,8,8,8,7,7,7,7,7,5,5,5,5,6,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7
14,fisichella,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,11,10,10,11,11,11,11,11,11,11,11,11,10,9,9,9,9,9,9,9,8,8,10,12,11,11,11,11,11,11,11,10,9,10,10,10,10,10,10,10,10,10,10,10,0
15,coulthard,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,12,12,14,13,13,13,13,13,13,13,13,12,11,11,11,11,11,11,11,10,10,9,9,9,8,8,8,8,8,7,9,11,12,12,12,12,12,12,12,12,12,12,12,0
16,glock,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,14,14,15,14,14,14,14,14,14,14,14,13,12,12,12,12,12,12,12,11,11,11,10,10,9,9,9,9,9,10,11,12,11,11,11,11,11,11,11,11,11,11,11,0
17,bourdais,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,davidson,19,19,19,19,18,18,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
