,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,vettel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,raikkonen,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,17,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,rosberg,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,10,9,8,8,8
3,bottas,4,4,4,4,4,4,4,4,4,4,4,4,6,16,11,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,13,17,17,17,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14
4,kvyat,5,6,6,6,6,6,6,7,7,7,7,7,8,17,13,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,13,12,11,9,8,8,8,8,7,7,8,8,8,7,7,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
5,hulkenberg,6,5,5,5,5,5,5,5,5,6,6,6,5,5,6,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ricciardo,7,7,7,7,7,7,7,6,6,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7,perez,8,8,8,8,8,8,8,8,8,8,8,8,9,7,7,6,10,10,15,15,15,15,15,14,14,14,14,14,14,16,16,16,15,14,14,14,14,14,14,14,14,15,14,14,14,17,17,17,17,16,16,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,massa,9,9,9,9,9,9,9,9,9,10,10,10,10,10,17,17,16,16,16,16,16,16,16,16,15,15,16,17,17,17,17,17,16,15,15,15,15,15,15,15,15,13,12,12,12,12,12,12,11,11,11,10,9,11,14,14,14,14,13,12,12,12,12,12,12,12,12,12,12
9,hamilton,10,10,10,10,10,10,10,10,10,9,9,9,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,7,13,12,12,13,13,13,13,12,11,10,9,8,8,7,7,6,6,6
10,sainz,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,14,13,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,10,10,11,11,11,11,11,10,10,9,9,9,9,9,8,8,8,7,6,6,7,7,8,9,10,15,0,0,0,0,0,0,0,0,0
11,alonso,12,12,12,12,12,13,13,13,13,13,13,13,13,9,9,13,12,12,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,10,9,9,11,11,11,11,11,9,9,9,8,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5
12,max_verstappen,13,13,13,13,13,12,12,12,12,12,12,12,12,11,14,12,11,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,7,9,9,9,9,8,8,7,7,7,8,8,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4
13,button,14,14,14,14,14,14,14,14,14,14,14,14,14,13,15,15,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,11,11,12,12,12,12,12,12,11,11,10,10,10,10,10,10,10,10,9,8,8,8,8,9,8,8,8,8,8,9,9,8,8,9,9,9
14,maldonado,15,15,15,15,16,17,17,17,17,17,17,17,17,15,12,10,9,9,9,10,10,11,12,15,18,18,18,18,18,18,18,18,17,16,16,16,16,16,16,16,16,16,15,15,15,14,14,14,14,13,13,12,11,10,10,10,10,12,14,13,13,13,13,13,13,13,13,13,13
15,grosjean,16,16,16,16,15,15,15,15,15,15,15,15,15,14,16,16,15,15,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,12,13,13,13,13,13,13,12,12,12,11,10,9,9,9,7,7,7,7,7,7,7,7,6,6,7,7,7
16,merhi,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,17,17,16,16,16,16,16,15,15,15,15,15,15,15,0,0
17,ericsson,18,17,17,17,17,16,16,16,16,16,16,16,16,12,10,8,17,17,17,17,17,17,17,17,16,16,15,15,15,14,14,14,14,17,17,17,17,17,17,17,17,17,16,16,16,15,15,15,15,14,14,14,13,13,11,11,11,10,9,9,9,10,10,10,9,10,10,10,10
18,nasr,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,16,16,15,15,15,18,18,18,18,18,18,18,18,18,14,17,17,17,16,16,16,16,15,15,15,14,14,12,12,12,11,11,10,11,11,11,11,11,11,11,11,11
