,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
19,936.0,832.0,sainz,17.0,10.0,Electrical,102132.0,193776.0,284773.0,375109.0,465334.0,555324.0,645711.0,736349.0,826550.0,916736.0,1007193.0,1097264.0,1187671.0,1277913.0,1370039.0,1480753.0,1569606.0,1658576.0,1747974.0,1837426.0,1927659.0,2018664.0,2107678.0,2196576.0,2285549.0,2374981.0,2464303.0,2553566.0,2643619.0,2733693.0,2823321.0,2912613.0,3002131.0,3092229.0,3181996.0,3275444.0,3384203.0,3472814.0,3562347.0,3651800.0,3741722.0,3855056.0,3967073.0,4111115.0,4256088.0,4378259.0,4470246.0,4560994.0,4650324.0,4739579.0,4828826.0,4918672.0,5007767.0,5096689.0,5187622.0,5277654.0,5369854.0,5461946.0,5552365.0,5656415.0,,,,,,,,,
3,936.0,4.0,alonso,5.0,1.0,Finished,102692.0,194830.0,285786.0,376415.0,466805.0,558056.0,648209.0,738572.0,828953.0,918720.0,1008810.0,1098885.0,1189240.0,1279440.0,1371746.0,1479239.0,1568581.0,1657988.0,1747374.0,1836555.0,1927093.0,2016409.0,2105767.0,2194986.0,2284326.0,2373780.0,2463219.0,2552488.0,2642491.0,2731708.0,2821168.0,2910211.0,2999818.0,3089280.0,3178581.0,3270685.0,3378488.0,3469148.0,3558655.0,3648602.0,3738191.0,3850688.0,3963021.0,4114261.0,4258973.0,4380916.0,4472207.0,4562554.0,4651589.0,4740222.0,4829254.0,4919150.0,5008352.0,5097261.0,5186374.0,5274991.0,5363662.0,5451632.0,5539805.0,5627770.0,5715324.0,5802814.0,5890531.0,5978598.0,6067208.0,6155833.0,6243144.0,6331120.0,6419064.0
17,936.0,830.0,max_verstappen,4.0,1.0,Finished,103086.0,195633.0,286380.0,377088.0,467180.0,556945.0,646596.0,737121.0,827234.0,917310.0,1007751.0,1098065.0,1188356.0,1281533.0,1388724.0,1477193.0,1566070.0,1654901.0,1744638.0,1833412.0,1923042.0,2012096.0,2101452.0,2190332.0,2279469.0,2368782.0,2458020.0,2547262.0,2636689.0,2726691.0,2816199.0,2905784.0,2995411.0,3084669.0,3174001.0,3263571.0,3355692.0,3464434.0,3553168.0,3641990.0,3730767.0,3840982.0,3951734.0,4058659.0,4160463.0,4277968.0,4417392.0,4539116.0,4633581.0,4723932.0,4812920.0,4901135.0,4989645.0,5078091.0,5166556.0,5257248.0,5357942.0,5446005.0,5534175.0,5622030.0,5709709.0,5797359.0,5885018.0,5973439.0,6061185.0,6149058.0,6236965.0,6325294.0,6414236.0
6,936.0,18.0,button,9.0,1.0,Finished,103467.0,196280.0,287679.0,378538.0,469096.0,559608.0,649612.0,739694.0,830163.0,920403.0,1010986.0,1101171.0,1191481.0,1284645.0,1391807.0,1481690.0,1571005.0,1660479.0,1750014.0,1839797.0,1929669.0,2019901.0,2110347.0,2199855.0,2289465.0,2379116.0,2468641.0,2557944.0,2647155.0,2736854.0,2826741.0,2916341.0,3006100.0,3095916.0,3188358.0,3295600.0,3385463.0,3475352.0,3565053.0,3654729.0,3752478.0,3860223.0,3972157.0,4112753.0,4257791.0,4379875.0,4471490.0,4562277.0,4653058.0,4742582.0,4831833.0,4921392.0,5010713.0,5099704.0,5188895.0,5278388.0,5370423.0,5459741.0,5548455.0,5637129.0,5725697.0,5814312.0,5903736.0,5992611.0,6081146.0,6169972.0,6259250.0,6348151.0,6437013.0
10,936.0,813.0,maldonado,14.0,1.0,Finished,103745.0,196987.0,288663.0,380104.0,471773.0,563587.0,654205.0,745053.0,835676.0,926044.0,1016670.0,1107607.0,1197875.0,1288238.0,1379338.0,1470430.0,1562148.0,1652455.0,1744414.0,1835755.0,1926797.0,2018355.0,2109976.0,2204852.0,2311853.0,2419612.0,2507704.0,2595693.0,2683868.0,2772491.0,2861137.0,2949593.0,3038496.0,3127465.0,3217672.0,3309465.0,3399568.0,3489040.0,3579167.0,3670229.0,3769044.0,3900166.0,4013372.0,4125791.0,4269861.0,4388534.0,4482578.0,4574907.0,4662550.0,4749908.0,4837142.0,4925040.0,5013490.0,5104094.0,5191614.0,5279629.0,5370907.0,5463686.0,5564503.0,5652248.0,5739546.0,5826676.0,5914100.0,6001782.0,6089397.0,6177921.0,6266022.0,6354995.0,6445127.0
8,936.0,154.0,grosjean,7.0,1.0,Finished,105374.0,197605.0,289062.0,380529.0,469995.0,560273.0,650401.0,740298.0,830747.0,921107.0,1012008.0,1102101.0,1192172.0,1285421.0,1393432.0,1482714.0,1571712.0,1661070.0,1750680.0,1841375.0,1932112.0,2021628.0,2111893.0,2202262.0,2291214.0,2380895.0,2470545.0,2560174.0,2649388.0,2738837.0,2828617.0,2917761.0,3007421.0,3100136.0,3214832.0,3304358.0,3393140.0,3482196.0,3571483.0,3660874.0,3757257.0,3868496.0,3997935.0,4118503.0,4263850.0,4383159.0,4474102.0,4564255.0,4654049.0,4744218.0,4833209.0,4922677.0,5012870.0,5101501.0,5189908.0,5278773.0,5368061.0,5456399.0,5544515.0,5632595.0,5720808.0,5809020.0,5897135.0,5985337.0,6073531.0,6162290.0,6251814.0,6339953.0,6428563.0
20,936.0,833.0,merhi,15.0,12.0,+2 Laps,105442.0,200145.0,293115.0,385742.0,479367.0,575039.0,690677.0,784322.0,878016.0,970213.0,1061855.0,1156757.0,1248596.0,1341204.0,1432569.0,1524827.0,1616389.0,1709792.0,1801591.0,1894038.0,1985708.0,2077591.0,2169314.0,2263155.0,2355324.0,2447471.0,2541528.0,2633780.0,2727737.0,2822873.0,2935802.0,3028903.0,3120772.0,3213053.0,3308247.0,3406730.0,3498957.0,3592667.0,3684947.0,3786297.0,3898875.0,4028089.0,4132086.0,4275970.0,4391575.0,4485359.0,4578207.0,4671266.0,4761862.0,4852227.0,4943070.0,5033932.0,5124808.0,5215777.0,5307256.0,5397388.0,5488112.0,5578489.0,5668357.0,5759570.0,5852430.0,5943841.0,6034699.0,6125493.0,6215886.0,6306289.0,6398057.0,,
15,936.0,828.0,ericsson,10.0,1.0,Finished,105581.0,198446.0,290215.0,381418.0,472181.0,562230.0,652660.0,742944.0,833374.0,923712.0,1014107.0,1104165.0,1194266.0,1284536.0,1374449.0,1467568.0,1576796.0,1666932.0,1756910.0,1847125.0,1937115.0,2027210.0,2117497.0,2207315.0,2297387.0,2387732.0,2477316.0,2567189.0,2657097.0,2747302.0,2837415.0,2927053.0,3020622.0,3130758.0,3220709.0,3310695.0,3401191.0,3491012.0,3582495.0,3672456.0,3773669.0,3900449.0,4014232.0,4127816.0,4272029.0,4389400.0,4483294.0,4577213.0,4665852.0,4754247.0,4842334.0,4931036.0,5019216.0,5107686.0,5195742.0,5284253.0,5372899.0,5462367.0,5551092.0,5639096.0,5727438.0,5816723.0,5905226.0,5994008.0,6082781.0,6172102.0,6260934.0,6349828.0,6439115.0
18,936.0,831.0,nasr,11.0,1.0,Finished,105925.0,199124.0,291464.0,382425.0,473255.0,564081.0,655048.0,745752.0,836257.0,926948.0,1017740.0,1108316.0,1198780.0,1292889.0,1400264.0,1488582.0,1578561.0,1668105.0,1757666.0,1847618.0,1937519.0,2027749.0,2118095.0,2208149.0,2298240.0,2388393.0,2479361.0,2568979.0,2658714.0,2748467.0,2839041.0,2931784.0,3042855.0,3132577.0,3222544.0,3312196.0,3404981.0,3495171.0,3585812.0,3675752.0,3776801.0,3887690.0,4015768.0,4129569.0,4273622.0,4390203.0,4484042.0,4577583.0,4667033.0,4755571.0,4843839.0,4932451.0,5021204.0,5110028.0,5198333.0,5286626.0,5375004.0,5463660.0,5552833.0,5641471.0,5730110.0,5818421.0,5907027.0,5996203.0,6085515.0,6175060.0,6264233.0,6353602.0,6443443.0
16,936.0,829.0,stevens,16.0,14.0,+4 Laps,107035.0,202175.0,295530.0,388371.0,481070.0,574379.0,667192.0,759736.0,852383.0,945055.0,1037802.0,1130368.0,1222914.0,1315447.0,1408137.0,1501421.0,1595307.0,1688964.0,1783464.0,1875908.0,1969523.0,2063833.0,2157789.0,2250383.0,2342732.0,2438876.0,2551013.0,2642018.0,2735734.0,2829670.0,2921799.0,3013463.0,3106633.0,3199553.0,3291500.0,3383988.0,3477221.0,3568993.0,3661970.0,3760193.0,3872165.0,4002363.0,4121901.0,4266973.0,4388204.0,4482156.0,4576844.0,4672327.0,4764730.0,4856772.0,4948911.0,5042523.0,5136103.0,5231537.0,5342679.0,5432222.0,5522540.0,5612719.0,5702965.0,5792803.0,5882847.0,5974726.0,6065083.0,6159063.0,6274574.0,,,,
