,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,rosberg,1,1,2,2,2,1,2,3,2,3,3,13,8,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6
1,vettel,2,2,1,1,1,7,6,5,3,2,1,1,1,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,massa,3,3,3,3,5,4,4,4,4,13,13,11,7,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,8,8,9,11,11,11,10,10,9,9,9,9,9,9,8
3,hamilton,4,5,5,5,4,3,3,1,1,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,alonso,5,4,4,4,3,2,1,2,9,6,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,4,3,2,2,2,2,3,3,3,3,3,4,4,4
5,buemi,6,6,6,6,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,perez,7,7,7,7,14,20,18,15,15,15,15,15,12,9,7,7,8,10,10,10,10,14,15,17,16,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,webber,8,8,11,15,12,11,10,9,7,7,5,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,4,3,3,3,3,2,2,2,2,2,2,2,2
8,kobayashi,9,9,8,8,6,5,5,6,5,4,4,4,5,6,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,14,13,12,12,12,12,12,12,12,12,12,12,12,12,12
9,petrov,10,10,9,9,7,6,7,7,6,5,6,7,13,10,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,9
10,sutil,11,11,10,10,8,8,8,8,8,8,7,6,4,7,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7
11,button,12,12,15,19,17,15,14,14,14,14,14,12,11,13,11,11,10,8,8,8,7,7,6,5,5,4,4,4,4,3,1,2,4,4,4,4,4,4,4,4,4,3,3,3
12,resta,13,14,13,11,10,9,9,10,10,9,9,8,6,8,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,12,11,10,10,10,11,11,11,11,11,11,11,11,11
13,michael_schumacher,14,13,12,14,15,14,13,13,13,12,12,10,10,11,9,9,7,7,7,7,8,8,8,8,8,8,8,8,8,6,6,7,7,6,6,6,6,6,6,6,6,5,5,5
14,barrichello,15,16,16,13,13,12,12,12,12,11,10,9,9,12,10,10,11,11,11,11,11,10,10,10,10,11,11,11,10,10,10,13,13,13,13,13,13,13,13,14,15,15,15,0
15,ricciardo,16,17,17,16,16,16,15,16,16,16,16,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,maldonado,17,15,14,12,11,10,11,11,11,10,11,14,14,14,12,12,12,12,12,12,12,11,11,11,11,10,10,10,11,12,11,10,9,9,9,9,9,10,10,10,10,10,10,10
17,liuzzi,18,18,18,17,18,17,16,18,19,19,19,20,19,18,18,18,18,18,18,18,18,17,18,18,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0
18,ambrosio,19,19,19,18,19,18,17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,16,16,15,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
19,glock,20,21,22,22,22,22,21,21,21,21,21,21,20,19,19,19,19,19,19,19,19,18,19,19,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0
20,trulli,21,20,20,20,20,19,19,19,18,18,18,17,16,16,16,16,16,16,16,15,15,15,14,14,14,14,14,14,14,13,15,15,15,15,15,15,15,15,15,15,14,14,14,0
21,bruno_senna,22,22,21,21,21,21,20,20,20,20,20,19,18,15,15,15,15,15,15,16,16,19,17,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,13,13,13,13,13
