,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,993,1,hamilton,131,1,1,Finished,108152,263942,396768,525546,655986,789866,872856,954487,1035873,1117663,1199471,1281281,1363217,1444791,1526569,1608131,1689640,1770968,1852361,1933695,2014852,2095701,2176746,2258408,2342973,2443662.0,2523793.0,2604504.0,2685217.0,2766291.0,2847239.0,2928839.0,3010067.0,3091921.0,3172463.0,3252822.0,3334118.0,3414481.0,3495291.0,3575798.0,3684388.0,3806406.0,3890564.0,3971189.0,4051614.0,4132235.0,4212001.0,4292201.0,4372184.0,4452086.0,4531720.0,4611704.0,4691535.0,4771542.0,4851402.0,4931213.0,5010656.0,5090144.0,5169758.0,5251577.0,5332047.0,5411199.0,5491021.0,5570154.0,5649579.0,5729972.0
3,993,20,vettel,6,4,1,Finished,109029,265074,398980,527661,657488,790720,874324,956583,1039058,1121594,1203894,1286769,1369089,1451251,1533482,1615525,1701126,1801763,1884097,1965518,2047141,2128592,2209818,2291267,2372502,2453542.0,2534406.0,2615335.0,2696754.0,2777956.0,2859541.0,2940581.0,3021297.0,3102082.0,3182899.0,3263729.0,3344820.0,3426130.0,3507466.0,3588731.0,3703943.0,3835949.0,3918216.0,3998691.0,4078784.0,4158966.0,4240105.0,4321052.0,4401203.0,4482118.0,4562197.0,4641778.0,4721611.0,4802008.0,4881572.0,4961239.0,5040913.0,5120694.0,5200129.0,5279948.0,5359076.0,5438980.0,5518747.0,5598057.0,5677916.0,5757556.0
6,993,822,bottas,131,2,1,Finished,111072,267162,399810,528366,658604,791270,875254,958699,1041012,1123233,1205477,1288080,1370490,1452862,1535198,1617134,1699090,1780575,1864794,1968436,2048838,2130185,2211367,2292616,2373963,2454903.0,2535760.0,2616775.0,2698094.0,2779539.0,2861620.0,2942464.0,3023311.0,3103900.0,3184851.0,3265798.0,3347200.0,3428385.0,3509650.0,3590907.0,3707101.0,3823315.0,3905105.0,3986483.0,4066427.0,4146667.0,4227048.0,4308990.0,4388818.0,4469310.0,4549234.0,4629221.0,4709313.0,4789259.0,4869096.0,4948574.0,5028514.0,5108612.0,5188781.0,5268787.0,5348606.0,5428478.0,5508536.0,5588957.0,5670087.0,5750565.0
2,993,8,raikkonen,6,17,101,Turbo,112295,267778,400931,529291,659497,792081,876486,960208,1042985,1125708,1208438,1291079,1373723,1455993,1538243,1620491,1702476,1784645,1866617,1948610,2030573,2112519,2194050,2279434,2410169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,993,830,max_verstappen,9,3,1,Finished,113164,269306,402400,529921,661634,792451,877590,961301,1044326,1127391,1210018,1292570,1375181,1457538,1539780,1621884,1703999,1786293,1868257,1950181,2031890,2113688,2195597,2277838,2359128,2440320.0,2521690.0,2602293.0,2683689.0,2765061.0,2846427.0,2927659.0,3009160.0,3093781.0,3193367.0,3274349.0,3355174.0,3436365.0,3517085.0,3598129.0,3719353.0,3834733.0,3915749.0,3996495.0,4077176.0,4157622.0,4238099.0,4318904.0,4399240.0,4479063.0,4559505.0,4639382.0,4719737.0,4799514.0,4879245.0,4958753.0,5038268.0,5117867.0,5197523.0,5277230.0,5356787.0,5436209.0,5515663.0,5595449.0,5675643.0,5756845.0
5,993,817,ricciardo,9,5,1,Finished,114044,270480,403925,532470,662648,793209,880374,963941,1046687,1129242,1211815,1294160,1376403,1458998,1541452,1623820,1706317,1788631,1870914,1953029,2034939,2117250,2199145,2281105,2362841,2445433.0,2527441.0,2609482.0,2691941.0,2773344.0,2854629.0,2935941.0,3020479.0,3119818.0,3200668.0,3283104.0,3364274.0,3445687.0,3526492.0,3608746.0,3731335.0,3853894.0,3936260.0,4016862.0,4097467.0,4177830.0,4258180.0,4339034.0,4419312.0,4498459.0,4578132.0,4657933.0,4738152.0,4819503.0,4898596.0,4980223.0,5060913.0,5140680.0,5220310.0,5301403.0,5379844.0,5459439.0,5539306.0,5617766.0,5698352.0,5780030.0
7,993,825,kevin_magnussen,210,6,11,+1 Lap,116040,271936,405228,533297,663718,793949,881116,966155,1049894,1133442,1216873,1300449,1384013,1467480,1551084,1634447,1717474,1800551,1883407,1967931,2052354,2135196,2217755,2300666,2383860,2466989.0,2549789.0,2632376.0,2714881.0,2797614.0,2880385.0,2967013.0,3069233.0,3150479.0,3231722.0,3313143.0,3394994.0,3476639.0,3558227.0,3659516.0,3780039.0,3875656.0,3957681.0,4039258.0,4120808.0,4202227.0,4284584.0,4365954.0,4447219.0,4528541.0,4609773.0,4693986.0,4775551.0,4856716.0,4937689.0,5018795.0,5099761.0,5180745.0,5261653.0,5342446.0,5423036.0,5503600.0,5585593.0,5665839.0,5748205.0,
10,993,832,sainz,4,7,11,+1 Lap,117373,273311,406316,535404,665368,794193,881629,967187,1051641,1135758,1219514,1303399,1387030,1470906,1554425,1637889,1721409,1805204,1888903,1972660,2056458,2140166,2223795,2307609,2395227,2497217.0,2580350.0,2664907.0,2748944.0,2832054.0,2916130.0,2999056.0,3081893.0,3165875.0,3248946.0,3331132.0,3413348.0,3497667.0,3579849.0,3691334.0,3813093.0,3897913.0,3979853.0,4061459.0,4143521.0,4225369.0,4308801.0,4391319.0,4473141.0,4554840.0,4636401.0,4718123.0,4803666.0,4885001.0,4966415.0,5048099.0,5129629.0,5211408.0,5293264.0,5375529.0,5456853.0,5538580.0,5621429.0,5703050.0,5784940.0,
15,993,844,leclerc,15,10,12,+2 Laps,118679,275813,407401,537054,666905,794613,882444,968204,1053037,1137314,1221603,1305803,1390138,1474096,1558151,1641887,1725864,1810040,1893893,1981063,2083027,2166057,2249596,2333132,2416144,2499106.0,2582153.0,2665778.0,2749985.0,2833516.0,2917459.0,3000888.0,3083728.0,3166955.0,3250184.0,3333110.0,3417651.0,3500469.0,3583179.0,3696494.0,3817746.0,3906220.0,3989374.0,4071965.0,4154484.0,4236842.0,4322859.0,4405304.0,4487583.0,4569847.0,4651969.0,4734233.0,4818719.0,4902336.0,4984654.0,5067282.0,5150266.0,5234387.0,5317833.0,5401432.0,5484789.0,5567599.0,5652447.0,5736153.0,,
12,993,839,ocon,10,16,44,Oil leak,120261,277022,408602,539341,668789,794985,883670,969633,1054807,1139478,1223855,1308484,1393009,1477694,1562221,1646394,1730640,1814749,1898642,1982199,2065886,2149291,2232641,2316101,2399817,2483157.0,2566605.0,2650190.0,2737292.0,2864882.0,2947804.0,3030470.0,3113813.0,3198098.0,3280380.0,3362497.0,3447313.0,3529632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
