,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
7,844,16,sutil,10,13,11,+1 Lap,102105,198670,295113,390717,486154,581376,677176,772894,868933,965138,1076776,1171747,1268562,1363899,1457929,1552034,1646195,1740604,1834867,1928870,2023217,2117568,2212528,2307884,2403542,2513511,2606823,2699900,2793396,2886784,2980032,3073114,3168803,3263508,3357738,3451749,3545788,3639456,3733269,3827927,3936615,4029310,4121380,4214071,4306634.0,4398938.0,4491172.0,4583505.0,4675624.0,4768005.0,4860452.0,4952835.0,5045508.0,5138384.0,5231949.0,5326138.0,5420932.0,
20,844,814,resta,10,23,31,Retired,102477,199142,295408,391147,486604,582695,678909,774672,870521,966670,1062964,1172682,1268872,1364151,1458906,1553185,1647532,1741791,1836314,1930924,2025433,2120753,2216563,2313100,2423061,2516973,2611261,2704958,2798800,2892368,2986562,3080501,3189173,3281986,3374740,3467260,3559964,3652558,3745254,3837773,3930534,4023553,4117134,4211060,,,,,,,,,,,,,,
19,844,813,maldonado,3,17,11,+1 Lap,103213,199981,296937,393023,488925,585672,682282,778512,874948,972945,1071866,1185959,1281821,1375906,1470131,1564318,1658499,1752658,1846722,1941422,2036875,2133311,2229410,2326037,2424190,2535148,2628824,2722537,2817034,2910653,3004683,3098062,3191527,3284731,3378372,3472514,3566975,3661238,3755783,3851053,3946726,4056266,4148680,4240724,4332864.0,4433794.0,4526772.0,4619219.0,4711441.0,4803562.0,4895962.0,4988996.0,5081409.0,5174011.0,5266463.0,5358997.0,5452155.0,
4,844,5,kovalainen,205,19,12,+2 Laps,103531,200901,297421,394246,491592,587829,683822,780235,876712,973735,1072403,1170191,1269380,1367226,1465161,1578636,1674166,1769204,1864465,1959640,2055729,2150600,2245693,2340875,2435881,2531154,2626585,2721751,2817881,2913529,3010172,3120981,3214780,3308667,3402516,3496193,3589588,3685156,3778974,3873064,3967468,4061953,4155744,4249398,4343399.0,4437488.0,4532263.0,4627094.0,4722659.0,4820192.0,4919318.0,5018726.0,5118817.0,5235216.0,5327911.0,5421373.0,,
15,844,67,buemi,5,9,1,Finished,104233,200496,296432,391809,487555,582546,678470,774069,869935,980528,1074438,1170330,1265500,1359597,1453403,1547309,1641216,1734699,1828419,1922561,2016824,2112862,2209511,2320158,2412550,2505092,2597746,2690546,2783076,2875589,2968212,3060980,3153921,3247476,3341052,3434298,3527468,3620881,3715074,3810892,3920890,4012402,4103962,4195322,4287501.0,4379870.0,4472159.0,4564543.0,4656764.0,4748236.0,4840061.0,4931838.0,5023797.0,5116678.0,5208977.0,5301099.0,5393536.0,5486952.0
6,844,15,trulli,205,18,11,+1 Lap,104673,201718,298761,395767,492221,588610,684688,781081,877524,975025,1072899,1172239,1270886,1383544,1478518,1573332,1668233,1762913,1857892,1952804,2047606,2142395,2237563,2333828,2430040,2542472,2636800,2730998,2825122,2919266,3015188,3109580,3204045,3298357,3394058,3488413,3582999,3677454,3772890,3884457,3978711,4072407,4165592,4258611,4351891.0,4445678.0,4539161.0,4632516.0,4725378.0,4818568.0,4912848.0,5007998.0,5103971.0,5198691.0,5292863.0,5387156.0,5483869.0,
17,844,155,kobayashi,15,10,1,Finished,105550,202357,298238,394010,489381,585181,680635,775736,871122,966373,1061434,1156613,1251685,1363471,1456837,1550335,1643507,1736426,1829485,1922895,2017218,2111942,2218304,2329562,2423649,2516516,2608954,2701635,2794290,2887332,2980597,3073712,3168621,3264266,3359637,3453095,3546661,3640617,3749399,3840684,3932262,4024303,4116343,4207467,4298505.0,4389880.0,4481904.0,4573205.0,4664686.0,4756249.0,4847839.0,4939689.0,5031380.0,5123895.0,5216377.0,5308814.0,5402308.0,5495579.0
12,844,24,liuzzi,164,22,15,+5 Laps,105976,205023,303370,401238,498978,597121,695313,793624,891775,992011,1089981,1188872,1287514,1386389,1485578,1660554,1811642,1909325,2006570,2105735,2203742,2301739,2399128,2496925,2596650,2695252,2792909,2891432,2990095,3088294,3186821,3285918,3384756,3482237,3580074,3696724,3844924,3981100,4077462,4174171,4268870,4364391,4459701,4557067,4652486.0,4747829.0,4845769.0,4942017.0,5037347.0,5133504.0,5230056.0,5328920.0,5424932.0,,,,,
16,844,153,alguersuari,5,16,11,+1 Lap,106090,202993,299340,395437,491447,587051,682873,780050,876448,973482,1070724,1168164,1267527,1381319,1475252,1569084,1662631,1755788,1849246,1942611,2036931,2130749,2224373,2317663,2411348,2506340,2600318,2694618,2789266,2898996,2991516,3083581,3175342,3267492,3360428,3453459,3546929,3640673,3734044,3843112,3934029,4025498,4117892,4210252,4301807.0,4393127.0,4484533.0,4576344.0,4668515.0,4760946.0,4853600.0,4946770.0,5040914.0,5137145.0,5234098.0,5341716.0,5431610.0,
14,844,39,karthikeyan,164,21,13,+3 Laps,106690,205742,304974,404090,501969,601267,699438,796921,894811,993214,1091790,1190721,1289467,1388673,1508314,1605692,1702745,1805208,1902531,1999417,2096233,2193907,2291339,2389106,2485763,2584385,2681702,2800335,2897468,2994607,3090503,3185936,3285542,3382517,3478847,3575039,3671409,3767406,3867404,3964521,4062864,4159054,4255181,4351026,4449189.0,4564191.0,4659372.0,4756865.0,4852514.0,4949734.0,5043682.0,5139124.0,5236773.0,5331520.0,5426738.0,,,
22,844,816,ambrosio,166,20,12,+2 Laps,106951,206215,304595,402113,499477,597330,695711,793853,891438,989005,1086571,1184342,1282874,1382020,1480549,1579968,1694561,1790405,1886465,1983305,2079533,2175753,2271835,2367937,2464885,2563059,2659822,2756462,2853359,2950654,3047980,3145374,3242910,3361278,3456888,3552522,3647944,3743340,3839161,3937671,4032886,4128077,4224677,4320253,4415707.0,4511224.0,4608512.0,4703870.0,4799605.0,4894990.0,4991631.0,5086955.0,5181934.0,5277017.0,5371988.0,5467701.0,,
