,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
10,165.0,50.0,verstappen,5.0,1.0,Finished,7780.0,9722.0,11640.0,13146.0,14153.0,15328.0,16834.0,18119.0,19319.0,20512.0,21612.0,22401.0,23795.0,24633.0,25191.0,25597.0,25834.0,26306.0,27250.0,27994.0,29080.0,30155.0,31866.0,63893.0,67019.0,67422.0,68063.0,70209.0,71588.0,73107.0,74098.0,74824.0,75666.0,52006.0,52011.0,52943.0,54140.0,55745.0,57258.0,59531.0,60814.0,61116.0,56473.0,82549.0,61670.0,64253.0,66578.0,64696.0,64954.0,65374.0,65350.0,69814.0,69517.0,70152.0,70357.0,71920.0,71800.0,70952.0,70050.0,69801.0,69970.0,70144.0,70142.0,66543.0,63650.0,62095.0,60925.0,58158.0,52208.0
11,165.0,65.0,herbert,22.0,6.0,Gearbox,7934.0,10744.0,12447.0,14411.0,16449.0,18212.0,19852.0,21751.0,23455.0,25175.0,27028.0,28677.0,30830.0,37087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,165.0,23.0,ralf_schumacher,14.0,4.0,Collision,8748.0,11387.0,13347.0,15708.0,17831.0,19229.0,21238.0,23079.0,24359.0,25796.0,27544.0,29181.0,30398.0,32091.0,32506.0,32971.0,34148.0,34433.0,35277.0,35725.0,36304.0,37340.0,38220.0,38712.0,38573.0,38772.0,39200.0,40433.0,41610.0,43472.0,44923.0,46452.0,48889.0,25890.0,25760.0,26328.0,27294.0,28579.0,30295.0,31336.0,32381.0,57308.0,55489.0,60008.0,64426.0,65099.0,67545.0,65493.0,65455.0,66369.0,66977.0,70397.0,70643.0,71542.0,72803.0,75003.0,74970.0,73947.0,73247.0,72564.0,73986.0,75331.0,75396.0,73396.0,,,,,
13,165.0,25.0,wurz,9.0,1.0,Finished,9582.0,12443.0,14434.0,17169.0,19010.0,21222.0,23303.0,25494.0,27229.0,29058.0,31350.0,32781.0,34276.0,37006.0,38541.0,39780.0,40714.0,41324.0,42757.0,44224.0,45299.0,46730.0,48438.0,48871.0,48783.0,48533.0,49258.0,50396.0,51600.0,53049.0,54154.0,54575.0,55260.0,32056.0,31843.0,32629.0,33955.0,35540.0,36760.0,37965.0,38764.0,38596.0,31210.0,74752.0,56669.0,55996.0,59698.0,58927.0,61049.0,63135.0,64515.0,68268.0,68960.0,69147.0,68822.0,71872.0,73171.0,72763.0,71591.0,71711.0,73341.0,74560.0,74614.0,72480.0,71160.0,70354.0,69806.0,81655.0,79899.0
14,165.0,55.0,alesi,19.0,10.0,Electrical,10058.0,13000.0,15088.0,17594.0,19965.0,21857.0,23709.0,25864.0,27490.0,29648.0,31622.0,33434.0,34755.0,36482.0,36957.0,37353.0,37544.0,37050.0,37491.0,37759.0,38387.0,38888.0,40032.0,40751.0,40358.0,40015.0,40389.0,41374.0,42394.0,44200.0,45696.0,47008.0,49412.0,26503.0,26380.0,69615.0,73462.0,75928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,165.0,63.0,salo,18.0,10.0,Electrical,10363.0,13351.0,15505.0,17961.0,20298.0,22038.0,24358.0,26341.0,28008.0,30044.0,32058.0,34137.0,35584.0,37303.0,38813.0,40007.0,41039.0,41660.0,43177.0,44600.0,45746.0,47188.0,49837.0,50104.0,49818.0,49780.0,50349.0,51698.0,53087.0,54411.0,54972.0,55775.0,56264.0,33192.0,33066.0,33860.0,34891.0,36619.0,38049.0,62056.0,67588.0,68180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,165.0,64.0,diniz,10.0,1.0,Finished,11392.0,14437.0,16409.0,19704.0,22328.0,24336.0,26172.0,28492.0,29901.0,31473.0,33217.0,35087.0,36705.0,38185.0,40111.0,41036.0,42098.0,42769.0,44280.0,45827.0,47894.0,49605.0,51775.0,53351.0,53366.0,52920.0,53679.0,54589.0,55291.0,56512.0,57525.0,57911.0,58589.0,35481.0,35164.0,35642.0,36684.0,38757.0,41010.0,42260.0,43936.0,64719.0,65488.0,71888.0,76349.0,79962.0,84666.0,83853.0,85193.0,86713.0,88033.0,89756.0,90434.0,90239.0,89734.0,90227.0,89619.0,87925.0,85683.0,84194.0,85642.0,86282.0,86719.0,84717.0,82653.0,81014.0,94467.0,94175.0,89544.0
17,165.0,2.0,heidfeld,20.0,5.0,Engine,11613.0,15107.0,17567.0,20306.0,22698.0,27022.0,29174.0,30756.0,32108.0,33631.0,35173.0,36389.0,37562.0,38902.0,40729.0,42205.0,42787.0,43621.0,45811.0,47338.0,49122.0,50532.0,53034.0,54828.0,55285.0,55550.0,56556.0,57762.0,58806.0,60190.0,61060.0,61736.0,62600.0,66403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,165.0,18.0,button,11.0,11.0,+1 Lap,11897.0,15535.0,18023.0,21148.0,23838.0,27374.0,30190.0,32113.0,34180.0,36236.0,38196.0,39610.0,40859.0,42444.0,44299.0,45538.0,46260.0,46606.0,47821.0,49249.0,50911.0,52460.0,54792.0,55776.0,56433.0,57901.0,58809.0,60302.0,61912.0,63224.0,64266.0,64996.0,65777.0,42686.0,42541.0,43334.0,44450.0,46271.0,48065.0,50169.0,77844.0,85389.0,86717.0,134406.0,114055.0,112440.0,115278.0,113137.0,113287.0,113284.0,113072.0,113849.0,114493.0,115591.0,115128.0,116435.0,118385.0,117367.0,116318.0,115175.0,115443.0,115869.0,115809.0,111631.0,108224.0,106165.0,105814.0,106378.0,
19,165.0,48.0,gene,16.0,20.0,Spun off,12752.0,16453.0,19270.0,22932.0,25383.0,28157.0,31472.0,33987.0,35977.0,37996.0,40503.0,41828.0,43041.0,44383.0,46099.0,46979.0,47836.0,48589.0,50358.0,51320.0,52788.0,54175.0,57751.0,59488.0,59766.0,59833.0,60152.0,61383.0,63094.0,64381.0,65463.0,66758.0,67781.0,44502.0,44322.0,45590.0,46972.0,48284.0,50320.0,76065.0,83377.0,86238.0,86999.0,98357.0,100312.0,101332.0,103899.0,102676.0,103880.0,105839.0,108539.0,112203.0,113260.0,113873.0,113989.0,115475.0,115551.0,116305.0,115055.0,113982.0,114940.0,115287.0,119314.0,117822.0,,,,,
20,165.0,60.0,mazzacane,12.0,11.0,+1 Lap,13135.0,17346.0,22040.0,25261.0,27956.0,30146.0,32985.0,35881.0,38244.0,40664.0,42993.0,44946.0,46986.0,48758.0,50845.0,52700.0,53925.0,54645.0,56270.0,57963.0,59380.0,60771.0,63158.0,66116.0,67758.0,69069.0,70362.0,72335.0,74252.0,75831.0,77823.0,79803.0,82341.0,59237.0,59467.0,60761.0,62292.0,88859.0,96856.0,101059.0,106047.0,111083.0,111538.0,144043.0,127671.0,132775.0,137010.0,137367.0,140355.0,145761.0,148797.0,154560.0,156569.0,159804.0,166728.0,173087.0,177251.0,177947.0,178410.0,183393.0,185685.0,188335.0,191093.0,190634.0,191443.0,192901.0,196408.0,197290.0,
