,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
16,164.0,56.0,irvine,4.0,1.0,Finished,98177.0,187279.0,274963.0,362058.0,447661.0,534133.0,620288.0,706529.0,792808.0,877201.0,962245.0,1046790.0,1131452.0,1216692.0,1301370.0,1385846.0,1471543.0,1555800.0,1640425.0,1724267.0,1807966.0,1891911.0,1976125.0,2061475.0,2145849.0,2229886.0,2314024.0,2398058.0,2482779.0,2567333.0,2651249.0,2736255.0,2819893.0,2903063.0,2986229.0,3070804.0,3154991.0,3238736.0,3322217.0,3405710.0,3489425.0,3573030.0,3657256.0,3741517.0,3825539.0,3910368.0,3997539.0,4082741.0,4167038.0,4274341.0,4364182.0,4447711.0,4531639.0,4615045.0,4698648.0,4782315.0,4866233.0,4950223.0,5033798.0,5117555.0,5202008.0,5286902.0,5370662.0,5454396.0,5537712.0,5620476.0,5702900.0,5785472.0,5869774.0,5953858.0,6039284.0,6123492.0,6206940.0,6291319.0,6376172.0,6461671.0,6546851.0,6634137.0
19,164.0,63.0,salo,5.0,1.0,Finished,99112.0,187858.0,275609.0,362761.0,449148.0,535509.0,621347.0,707229.0,793471.0,878901.0,964227.0,1049892.0,1135228.0,1220089.0,1305120.0,1390661.0,1476157.0,1561841.0,1648160.0,1733216.0,1818173.0,1903506.0,1988990.0,2074100.0,2158545.0,2242873.0,2327047.0,2412021.0,2497310.0,2581754.0,2666168.0,2752489.0,2836679.0,2921135.0,3006649.0,3091380.0,3175814.0,3260357.0,3344331.0,3428881.0,3512648.0,3596272.0,3680015.0,3763887.0,3847956.0,3935924.0,4019895.0,4103332.0,4187819.0,4272921.0,4356453.0,4440627.0,4547567.0,4635442.0,4719780.0,4803739.0,4886841.0,4969475.0,5052296.0,5135467.0,5219568.0,5303965.0,5387958.0,5471904.0,5554744.0,5638090.0,5721142.0,5805591.0,5888889.0,5972099.0,6055402.0,6138562.0,6222054.0,6306103.0,6390221.0,6474236.0,6559594.0,6648988.0
14,164.0,50.0,verstappen,11.0,20.0,Spun off,99509.0,188178.0,275942.0,363223.0,450521.0,537245.0,624498.0,710937.0,796125.0,883154.0,970365.0,1056447.0,1143156.0,1229871.0,1316287.0,1402065.0,1487772.0,1573091.0,1658886.0,1744664.0,1830572.0,1915948.0,2002310.0,2087920.0,2173090.0,2258137.0,2343213.0,2428512.0,2514100.0,2598586.0,2683464.0,2768532.0,2853455.0,2940959.0,3026098.0,3111219.0,3196504.0,3281850.0,3367487.0,3452478.0,3560962.0,3651271.0,3738745.0,3824033.0,3911879.0,3999571.0,4086384.0,4171634.0,4258000.0,4343402.0,4429366.0,4514718.0,4601645.0,4686606.0,4772148.0,4857250.0,4942536.0,5027822.0,5113280.0,5198080.0,,,,,,,,,,,,,,,,,,
20,164.0,64.0,diniz,16.0,20.0,Spun off,100266.0,188756.0,276658.0,364179.0,451762.0,538435.0,624919.0,711356.0,798301.0,884717.0,970779.0,1056744.0,1143478.0,1230331.0,1316764.0,1402602.0,1488253.0,1573791.0,1659414.0,1745029.0,1831117.0,1916610.0,2002948.0,2088597.0,2173790.0,2258747.0,2343643.0,2429088.0,2514857.0,2599447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,164.0,35.0,villeneuve,7.0,11.0,+1 Lap,101225.0,190057.0,278316.0,365841.0,453228.0,540297.0,627230.0,714003.0,800483.0,886895.0,973318.0,1059437.0,1145307.0,1231545.0,1317783.0,1403982.0,1489285.0,1574793.0,1660605.0,1746186.0,1832022.0,1917704.0,2003644.0,2090133.0,2175490.0,2260681.0,2345214.0,2430847.0,2515819.0,2600929.0,2686849.0,2774132.0,2858527.0,2943428.0,3028146.0,3112898.0,3197639.0,3283002.0,3368307.0,3453644.0,3538274.0,3622695.0,3706342.0,3790151.0,3874609.0,3958689.0,4043097.0,4126982.0,4211467.0,4296173.0,4383152.0,4467784.0,4552465.0,4659310.0,4749268.0,4834247.0,4919663.0,5007223.0,5091144.0,5175481.0,5261807.0,5347476.0,5431710.0,5515433.0,5598975.0,5682711.0,5766626.0,5851040.0,5935004.0,6020979.0,6105210.0,6188700.0,6272093.0,6356780.0,6440812.0,6524641.0,6608074.0,
11,164.0,41.0,zonta,13.0,20.0,Spun off,101870.0,190606.0,279065.0,366579.0,453856.0,540881.0,627866.0,714471.0,800961.0,887679.0,973861.0,1059752.0,1145909.0,1231969.0,1318375.0,1404341.0,1489993.0,1575714.0,1661572.0,1746956.0,1832820.0,1918219.0,2004173.0,2090441.0,2176526.0,2261424.0,2346131.0,2431426.0,2516334.0,2601739.0,2687444.0,2774918.0,2859927.0,2944272.0,3028940.0,3114664.0,3199118.0,3284480.0,3369420.0,3454950.0,3539703.0,3625464.0,3710145.0,3796015.0,3905064.0,3994949.0,4078986.0,4162500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,164.0,60.0,mazzacane,18.0,20.0,Spun off,102668.0,191435.0,279743.0,367954.0,455160.0,542187.0,628899.0,715612.0,802041.0,888698.0,977816.0,1064141.0,1150292.0,1235686.0,1321108.0,1407435.0,1493427.0,1579583.0,1665027.0,1750161.0,1835200.0,1920286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,164.0,25.0,wurz,20.0,20.0,Spun off,103591.0,192206.0,280570.0,368649.0,456097.0,543274.0,630036.0,716493.0,803223.0,889795.0,976111.0,1061691.0,1147710.0,1233428.0,1319387.0,1405687.0,1491316.0,1576800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,164.0,18.0,button,21.0,5.0,Engine,104689.0,193190.0,281204.0,369567.0,456570.0,543937.0,630673.0,717085.0,803753.0,890204.0,978323.0,1064543.0,1150638.0,1236378.0,1322185.0,1408720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,164.0,48.0,gene,19.0,6.0,Gearbox,105539.0,194543.0,282921.0,371133.0,458586.0,545413.0,632349.0,718838.0,805329.0,891675.0,979534.0,1065703.0,1151883.0,1237474.0,1323293.0,1409479.0,1497830.0,1582181.0,1667194.0,1751747.0,1836346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,164.0,2.0,heidfeld,8.0,11.0,+1 Lap,106706.0,195204.0,283738.0,371923.0,459518.0,546518.0,633744.0,720379.0,806551.0,892584.0,980379.0,1067080.0,1152990.0,1238572.0,1324115.0,1410230.0,1498919.0,1583873.0,1668942.0,1753194.0,1838406.0,1923655.0,2009181.0,2093604.0,2178902.0,2263590.0,2348037.0,2432846.0,2517903.0,2603420.0,2691104.0,2776279.0,2862238.0,2946874.0,3031310.0,3115910.0,3200645.0,3285954.0,3370583.0,3456046.0,3540844.0,3626208.0,3711120.0,3796547.0,3907014.0,4000333.0,4086850.0,4172362.0,4258552.0,4344003.0,4429888.0,4516894.0,4602224.0,4687714.0,4773393.0,4858013.0,4943012.0,5028412.0,5113733.0,5198687.0,5285896.0,5372509.0,5457168.0,5540981.0,5624264.0,5707608.0,5790869.0,5874278.0,5958057.0,6042664.0,6126856.0,6210311.0,6293790.0,6378562.0,6463891.0,6549581.0,6639719.0,
