,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
12,345.0,20.0,vettel,1.0,1.0,Finished,109992.0,213760.0,317294.0,420447.0,523502.0,626186.0,729027.0,831681.0,934301.0,1069549.0,1199710.0,1367880.0,1523410.0,1683796.0,1786561.0,1888620.0,1990524.0,2092220.0,2193968.0,2295446.0,2396389.0,2497771.0,2598761.0,2699913.0,2801108.0,2902249.0,3003249.0,3104947.0,3205932.0,3307013.0,3408179.0,3509688.0,3611067.0,3712698.0,3814061.0,3915207.0,4015880.0,4116988.0,4218337.0,4319673.0,4420201.0,4520820.0,4621434.0,4722087.0,4822273.0,4923658.0,5025060.0,5124923.0,5225274.0,5324969.0,5424415.0,5523556.0,5623532.0,5724040.0,5825047.0,5927052.0,6029571.0
1,345.0,1.0,hamilton,2.0,1.0,Finished,111661.0,216154.0,319690.0,423358.0,526517.0,629556.0,732515.0,835411.0,938430.0,1080873.0,1201676.0,1369107.0,1524399.0,1684197.0,1787570.0,1889891.0,1991719.0,2093603.0,2195381.0,2297007.0,2398332.0,2499779.0,2601020.0,2702321.0,2803294.0,2904009.0,3013364.0,3119511.0,3220197.0,3321029.0,3422003.0,3523037.0,3623799.0,3724648.0,3825318.0,3926630.0,4028979.0,4129666.0,4230238.0,4330893.0,4431381.0,4532074.0,4632585.0,4732549.0,4832835.0,4933204.0,5032980.0,5132398.0,5231895.0,5331396.0,5431391.0,5531611.0,5631627.0,5731991.0,5831737.0,5930893.0,6034613.0
3,345.0,4.0,alonso,8.0,1.0,Finished,112550.0,217751.0,321474.0,425732.0,528851.0,631577.0,734315.0,836881.0,939703.0,1102969.0,1223941.0,1376216.0,1532151.0,1688243.0,1793872.0,1898165.0,2001717.0,2105019.0,2208340.0,2311566.0,2414395.0,2517349.0,2619925.0,2722419.0,2824809.0,2927120.0,3028907.0,3130879.0,3232613.0,3334334.0,3435670.0,3537115.0,3638562.0,3740199.0,3841597.0,3942729.0,4044680.0,4146324.0,4248640.0,4350854.0,4452821.0,4554912.0,4655256.0,4755544.0,4855966.0,4956495.0,5057151.0,5158463.0,5258727.0,5358616.0,5458633.0,5558631.0,5658685.0,5758884.0,5859318.0,5961597.0,6062380.0
7,345.0,13.0,massa,11.0,1.0,Finished,113196.0,218408.0,322515.0,426634.0,529968.0,633220.0,736170.0,839028.0,942007.0,1110273.0,1235183.0,1382614.0,1539495.0,1692015.0,1799174.0,1902105.0,2005862.0,2109749.0,2213543.0,2317099.0,2419949.0,2522779.0,2625436.0,2728716.0,2831475.0,2934062.0,3036868.0,3139207.0,3241614.0,3343794.0,3445568.0,3547845.0,3649517.0,3752123.0,3853414.0,3955123.0,4056641.0,4158404.0,4261016.0,4361804.0,4463370.0,4565312.0,4666068.0,4767499.0,4868561.0,4969521.0,5070240.0,5170754.0,5271636.0,5372411.0,5472913.0,5573121.0,5673555.0,5774539.0,5875279.0,5975491.0,6076192.0
5,345.0,9.0,kubica,5.0,1.0,Finished,113848.0,219048.0,323338.0,427558.0,531341.0,634727.0,737874.0,840854.0,971980.0,1100189.0,1219821.0,1372488.0,1528895.0,1686261.0,1792112.0,1895943.0,1999570.0,2102698.0,2205829.0,2308679.0,2411505.0,2513862.0,2616184.0,2718085.0,2820145.0,2922144.0,3024097.0,3126025.0,3227865.0,3329630.0,3431217.0,3532722.0,3634105.0,3735587.0,3836831.0,3938048.0,4040678.0,4143004.0,4244154.0,4345428.0,4446427.0,4546977.0,4647678.0,4748427.0,4849581.0,4950413.0,5050774.0,5151168.0,5251388.0,5351789.0,5452120.0,5552313.0,5652137.0,5752355.0,5851897.0,5951728.0,6056693.0
11,345.0,18.0,button,3.0,1.0,Finished,114539.0,220211.0,325080.0,429240.0,533302.0,636877.0,740307.0,843473.0,963292.0,1098464.0,1218287.0,1370513.0,1526748.0,1685437.0,1790817.0,1894596.0,1997928.0,2101253.0,2204188.0,2306784.0,2409214.0,2511261.0,2613473.0,2715462.0,2817207.0,2918826.0,3020255.0,3122174.0,3223869.0,3325236.0,3426789.0,3527952.0,3629016.0,3729931.0,3830746.0,3931543.0,4034974.0,4135864.0,4237171.0,4338199.0,4438713.0,4539149.0,4640783.0,4741031.0,4841212.0,4941354.0,5041421.0,5141046.0,5240944.0,5341001.0,5441443.0,5541363.0,5640996.0,5739762.0,5838847.0,5937796.0,6042229.0
13,345.0,22.0,barrichello,4.0,1.0,Finished,114930.0,220832.0,325630.0,430224.0,534309.0,638156.0,742130.0,845800.0,967738.0,1099528.0,1218801.0,1371252.0,1527867.0,1686138.0,1791353.0,1895432.0,1999133.0,2102222.0,2205160.0,2308186.0,2410785.0,2513169.0,2615332.0,2717380.0,2819456.0,2921553.0,3023376.0,3125413.0,3227182.0,3328690.0,3430418.0,3531836.0,3633306.0,3734696.0,3835984.0,3937261.0,4040312.0,4142132.0,4243274.0,4344659.0,4445473.0,4545793.0,4646580.0,4747725.0,4848927.0,4949483.0,5049856.0,5150353.0,5250635.0,5350984.0,5451228.0,5551176.0,5651219.0,5751388.0,5850938.0,5950427.0,6055198.0
20,345.0,807.0,hulkenberg,22.0,43.0,Exhaust,115641.0,221806.0,326697.0,431487.0,535638.0,639512.0,743449.0,847341.0,978950.0,1106034.0,1222560.0,1375380.0,1531480.0,1688057.0,1794661.0,1898696.0,2002403.0,2105858.0,2209209.0,2312409.0,2415335.0,2518233.0,2620991.0,2723536.0,2826115.0,2928203.0,3030511.0,3132347.0,3234175.0,3335944.0,3437362.0,3538872.0,3640492.0,3741882.0,3843362.0,3944566.0,4046018.0,4147821.0,4249584.0,4351692.0,4453838.0,4555764.0,4657000.0,4758120.0,4859266.0,4960056.0,5060973.0,5161833.0,5268166.0,,,,,,,,
10,345.0,17.0,webber,24.0,4.0,Collision,116306.0,222182.0,327358.0,432029.0,536093.0,640330.0,762691.0,870977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,345.0,67.0,buemi,9.0,1.0,Finished,116998.0,222433.0,328010.0,432775.0,537137.0,641165.0,745071.0,848478.0,972464.0,1101895.0,1220858.0,1373575.0,1529825.0,1686897.0,1792642.0,1896762.0,2000541.0,2103878.0,2207158.0,2310178.0,2413060.0,2515669.0,2618459.0,2720931.0,2823333.0,2925171.0,3026898.0,3128762.0,3230542.0,3332015.0,3433697.0,3535310.0,3636831.0,3738403.0,3839748.0,3940997.0,4042357.0,4144402.0,4248387.0,4350027.0,4451557.0,4552444.0,4653485.0,4754409.0,4855164.0,4955704.0,5056381.0,5156764.0,5257091.0,5357336.0,5457743.0,5557845.0,5657929.0,5758191.0,5859114.0,5960273.0,6065870.0
