,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
7,1052,830,max_verstappen,9,2,1,Finished,118245,260651,418652,522995,627624,723606,819508,915540,1011552,1107727,1203906,1300498,1396789,1493669,1590593,1687626,1786779,1902311,1996732,2091602,2186431,2281590,2376712,2471919,2566963,2661921,2757039,2852165,2947447,3042923,3137977,3233355,3328641.0,3424279.0,3519872.0,3615593.0,3711213.0,3807134.0,3904962.0,4018399.0,4111627.0,4205077.0,4298308.0,4391902.0,4485958.0,4579852.0,4673944.0,4767762.0,4861338.0,4955231.0,5049195.0,5143864.0,5240277.0,5335350.0,5429915.0,5524642.0
0,1052,1,hamilton,131,1,1,Finished,119538,262250,418906,523838,628977,725146,821269,917344,1013492,1109574,1205717,1302224,1401148,1516154,1610211,1705315,1800414,1895680,1991026,2086350,2182187,2277726,2372945,2468032,2563391,2659013,2754953,2852788,2967982,3062347,3157652,3252381,3347422.0,3442087.0,3536832.0,3631586.0,3726326.0,3821046.0,3915862.0,4010752.0,4105086.0,4199285.0,4293448.0,4387463.0,4482046.0,4576538.0,4671129.0,4765296.0,4859432.0,4953786.0,5048365.0,5143304.0,5239459.0,5334273.0,5428979.0,5523897.0
13,1052,844,leclerc,6,6,1,Finished,122698,263881,419069,525172,630715,729009,826157,924043,1022710,1120228,1217957,1318434,1435207,1530759,1626714,1723129,1820065,1916497,2012786,2109389,2206110,2302567,2398762,2495100,2591528,2687934,2784550,2881105,2978201,3075072,3172180,3272153,3387409.0,3482505.0,3577646.0,3672701.0,3767721.0,3862985.0,3957973.0,4053091.0,4148132.0,4243416.0,4338584.0,4433878.0,4529251.0,4624538.0,4719919.0,4815072.0,4910491.0,5005558.0,5101104.0,5198217.0,5293901.0,5389846.0,5486036.0,5582987.0
6,1052,822,bottas,131,3,1,Finished,123772,265250,419449,527495,631146,728255,824610,920632,1017718,1114123,1210507,1306967,1403390,1500126,1596709,1696243,1810962,1906000,2000518,2095292,2190390,2285467,2380559,2475752,2570774,2666082,2761551,2856927,2952842,3050870,3174688,3269808,3364265.0,3458737.0,3553137.0,3647598.0,3741997.0,3836415.0,3931613.0,4026342.0,4121118.0,4215916.0,4310382.0,4404685.0,4499843.0,4594222.0,4688494.0,4782711.0,4876923.0,4971232.0,5065720.0,5160845.0,5255489.0,5353291.0,5469190.0,5561280.0
12,1052,842,gasly,213,17,31,Retired,124697,266960,419570,546342,677876,774553,871507,968931,1065961,1163336,1260853,1358907,1456781,1555083,1653084,1751077,1849492,1948764,2049602,2168892,2265375,2361850,2458271,2554790,2651262,2748152,2844546,2941058,3037275,3133336,3229521,3325973,3422330.0,3519019.0,3617764.0,3714655.0,3811391.0,3908319.0,4007906.0,4124793.0,4219353.0,4313702.0,4408005.0,4502983.0,4597675.0,4691905.0,4786148.0,4880238.0,4974519.0,5068865.0,5163815.0,5261866.0,,,,
14,1052,846,norris,1,4,1,Finished,126744,267743,419810,529798,632018,729911,826817,924541,1021901,1119424,1216586,1317011,1434428,1529714,1625393,1721737,1817976,1914021,2010105,2106568,2203137,2299508,2396055,2492464,2589029,2685181,2781471,2878048,2974694,3071111,3167626,3264242,3363517.0,3480327.0,3575226.0,3669873.0,3764374.0,3858770.0,3953399.0,4048155.0,4142955.0,4238045.0,4332850.0,4427583.0,4522399.0,4617448.0,4712291.0,4807321.0,4902433.0,4997201.0,5092275.0,5187583.0,5283012.0,5378912.0,5474630.0,5570363.0
5,1052,817,ricciardo,1,7,1,Finished,128545,269187,420232,531670,633140,730711,827916,925555,1023413,1121195,1218509,1316963,1417158,1534585,1630666,1727456,1823998,1921422,2017805,2114427,2211091,2307773,2404267,2500574,2597249,2693754,2790088,2886618,2983211,3080022,3177090,3276893,3392932.0,3488565.0,3583994.0,3678926.0,3774125.0,3869326.0,3964795.0,4060391.0,4155566.0,4250788.0,4345799.0,4442390.0,4538018.0,4633453.0,4728751.0,4823879.0,4919435.0,5015893.0,5111509.0,5207277.0,5302665.0,5398438.0,5494078.0,5589901.0
1,1052,4,alonso,214,19,23,Brakes,130373,270149,420779,533092,633950,731602,828968,926974,1026036,1123794,1224102,1340224,1437068,1534211,1631658,1728841,1826638,1923622,2021128,2120206,2220296,2318055,2416432,2514036,2611632,2710390,2807837,2905628,3005736,3123258,3219321,3321634,,,,,,,,,,,,,,,,,,,,,,,,
10,1052,840,stroll,117,10,1,Finished,132396,271999,421034,533953,635416,732462,829671,927371,1025168,1122782,1220318,1321069,1437909,1535386,1632227,1729292,1825625,1922576,2020584,2117035,2214241,2311198,2408041,2504738,2601617,2698531,2796231,2895819,3013332,3109355,3204220,3299499,3394928.0,3490256.0,3585805.0,3681260.0,3776724.0,3872410.0,3968542.0,4065220.0,4161007.0,4256928.0,4352641.0,4448655.0,4544949.0,4642362.0,4738736.0,4835003.0,4931101.0,5027256.0,5123837.0,5220927.0,5317866.0,5414942.0,5512010.0,5610610.0
8,1052,832,sainz,6,8,1,Finished,134282,273352,421479,534956,636165,733277,830416,928245,1026641,1124653,1222215,1319931,1417591,1515182,1616022,1732570,1828720,1925084,2021534,2120500,2217202,2313718,2409954,2506233,2603831,2700517,2797091,2893933,2989953,3086170,3182443,3278912,3376053.0,3472688.0,3569272.0,3665985.0,3765616.0,3880744.0,3975405.0,4070035.0,4164911.0,4259547.0,4354358.0,4449439.0,4545463.0,4640346.0,4735039.0,4829548.0,4924184.0,5018771.0,5113881.0,5208890.0,5304053.0,5399660.0,5495237.0,5590997.0
2,1052,8,raikkonen,51,11,1,Finished,136372,276365,422014,538572,639146,736977,834991,933006,1030999,1128621,1226707,1324490,1424200,1541233,1637569,1734878,1832047,1929198,2026319,2123242,2220907,2318478,2415463,2512360,2609379,2706231,2802726,2899257,2998292,3114926,3211378,3308319,3405105.0,3501119.0,3597910.0,3694020.0,3789862.0,3886507.0,3983079.0,4079967.0,4176531.0,4272911.0,4368726.0,4465047.0,4560239.0,4656310.0,4751887.0,4847255.0,4942817.0,5038155.0,5133841.0,5229495.0,5325400.0,5420814.0,5516801.0,5612761.0
11,1052,841,giovinazzi,51,12,11,+1 Lap,138362,277241,422367,536128,638278,736130,834123,932095,1030103,1127949,1225714,1326606,1451957,1549419,1646209,1743667,1840868,1938007,2035012,2132291,2229678,2327120,2424056,2521292,2618191,2715109,2812319,2909259,3006246,3105736,3222109,3317231,3414168.0,3510256.0,3606366.0,3702079.0,3798031.0,3894337.0,3990761.0,4087276.0,4183537.0,4279743.0,4375714.0,4472501.0,4568369.0,4664049.0,4759796.0,4855134.0,4950432.0,5045799.0,5141934.0,5241382.0,5337607.0,5433507.0,5529295.0,
9,1052,839,ocon,214,13,11,+1 Lap,139866,278687,422633,539770,640104,737959,835950,934184,1032050,1130868,1228813,1327014,1427517,1544739,1641398,1738428,1835670,1932765,2029439,2127847,2226524,2323841,2421203,2518625,2615529,2712845,2809949,2907155,3004585,3101993,3201261,3317575,3412825.0,3508800.0,3604648.0,3700369.0,3796077.0,3892349.0,3988657.0,4084902.0,4180947.0,4277126.0,4372656.0,4479832.0,4576334.0,4673118.0,4769857.0,4865987.0,4962346.0,5058517.0,5154572.0,5250874.0,5347255.0,5443649.0,5539995.0,
3,1052,20,vettel,117,15,11,+1 Lap,141797,280091,422721,540196,642144,739628,837592,936527,1035885,1133985,1232169,1330338,1428388,1526399,1624423,1723725,1822459,1921176,2020247,2119831,2219827,2320581,2419212,2520720,2637314,2732880,2828925,2925266,3021700,3117960,3214145,3310480,3406972.0,3503013.0,3599262.0,3697114.0,3793847.0,3890087.0,3986813.0,4083204.0,4179375.0,4275731.0,4372110.0,4477316.0,4574021.0,4672753.0,4771189.0,4868261.0,4965103.0,5062339.0,5161664.0,5260258.0,5357357.0,5454879.0,5552439.0,
17,1052,852,tsunoda,213,9,1,Finished,142502,281022,423118,543521,644075,742293,839622,937113,1035020,1132758,1230351,1328298,1426180,1524103,1624683,1741810,1837957,1934106,2030085,2128404,2225614,2322172,2419478,2515632,2612456,2708651,2805308,2902178,2999022,3095727,3192390,3289044,3388432.0,3504205.0,3599693.0,3695670.0,3790588.0,3885349.0,3980990.0,4076681.0,4172326.0,4267877.0,4363107.0,4458403.0,4553565.0,4648819.0,4743793.0,4838972.0,4934516.0,5029624.0,5125341.0,5221463.0,5318598.0,5415952.0,5512834.0,5609589.0
