,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,montoya,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1,barrichello,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2
2,michael_schumacher,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
3,ralf_schumacher,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,4,4,4,4,3,2,2,2,2,2,3,3,3,3,3,3,3
4,coulthard,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,rosa,6,6,6,6,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,irvine,7,7,9,12,12,15,15,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,verstappen,8,8,7,7,6,6,5,5,5,5,5,5,5,5,5,7,7,7,15,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,raikkonen,9,9,8,8,7,7,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,13,13,13,13,12,11,10,10,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
9,trulli,10,10,10,9,8,8,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
10,villeneuve,11,12,12,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
11,bernoldi,12,11,11,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,10,9,9,9,8,8,8,8,13,14,13,13,13,13,12,12,12,12,12,12,12,12,12,12,13,13,13,13,0,0,0,0,0,0,0
12,hakkinen,13,13,13,13,13,12,11,11,11,11,11,11,10,10,10,10,10,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,panis,14,14,14,14,14,13,12,12,12,12,12,12,12,12,12,12,12,12,11,10,10,10,9,9,9,9,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
14,frentzen,15,15,15,15,15,14,13,13,13,13,13,13,13,13,13,13,13,13,12,11,11,11,10,10,10,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,alonso,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,16,17,17,16,16,16,16,16,16,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,0,0
16,enge,17,17,17,17,19,19,18,17,17,17,17,17,17,17,17,17,17,16,16,15,15,15,15,15,15,14,14,13,11,11,10,10,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,0
17,heidfeld,18,18,18,18,17,17,16,15,15,15,15,15,15,15,15,15,14,14,13,12,12,12,12,12,12,12,11,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
18,yoong,19,20,20,20,20,20,19,19,19,19,19,19,19,19,18,18,18,18,18,17,17,17,17,17,17,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0
19,fisichella,20,19,19,19,18,18,17,16,16,16,16,16,16,16,16,16,15,15,14,13,13,13,11,11,11,11,10,10,9,9,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
