,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,152.0,31.0,montoya,14.0,5.0,Engine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36449.0,33916.0,,,,,,,,,,,,,,,,,,,,,
1,152.0,23.0,ralf_schumacher,1.0,1.0,Finished,1472.0,2105.0,2546.0,2979.0,3445.0,4221.0,4729.0,5498.0,6202.0,6118.0,6799.0,7497.0,8081.0,8408.0,8384.0,8407.0,8387.0,8464.0,8535.0,9244.0,9604.0,7056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,152.0,30.0,michael_schumacher,15.0,32.0,Fuel pressure,2606.0,4006.0,5462.0,6502.0,7657.0,9791.0,11149.0,12442.0,13546.0,14442.0,15385.0,17188.0,18442.0,20065.0,20925.0,22183.0,23363.0,24535.0,25706.0,27138.0,27655.0,25971.0,22897.0,,,,,,,,,,,,,,,,,,,,,,
3,152.0,57.0,hakkinen,19.0,5.0,Engine,3984.0,5861.0,8639.0,9865.0,11429.0,12980.0,14724.0,16173.0,17880.0,18953.0,20547.0,22351.0,24479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,152.0,22.0,barrichello,2.0,1.0,Finished,5326.0,6200.0,7300.0,7822.0,8367.0,8576.0,9054.0,9267.0,9515.0,9483.0,9644.0,10154.0,10500.0,11187.0,11713.0,14664.0,36527.0,37905.0,39818.0,42359.0,43220.0,41613.0,35203.0,32574.0,10405.0,10196.0,9915.0,10240.0,11620.0,11353.0,11247.0,14968.0,47735.0,48031.0,48103.0,49264.0,49524.0,49184.0,49596.0,50202.0,50860.0,51049.0,50554.0,49724.0,46117.0
5,152.0,14.0,coulthard,12.0,5.0,Engine,6208.0,7717.0,9650.0,11183.0,13061.0,14974.0,16725.0,18356.0,20181.0,21947.0,23543.0,25590.0,27682.0,29632.0,31426.0,33617.0,35605.0,37539.0,39550.0,43424.0,45425.0,45242.0,39701.0,37452.0,16061.0,16661.0,20027.0,,,,,,,,,,,,,,,,,,
6,152.0,8.0,raikkonen,17.0,86.0,Halfshaft,6667.0,9100.0,11199.0,13853.0,16418.0,18782.0,21073.0,23033.0,25594.0,27289.0,29499.0,31992.0,34633.0,37280.0,39697.0,79357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,152.0,56.0,irvine,18.0,32.0,Fuel pressure,7042.0,9658.0,11993.0,14476.0,16997.0,19356.0,21616.0,23701.0,26062.0,28245.0,30122.0,40348.0,63559.0,66282.0,72767.0,89737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,152.0,15.0,trulli,11.0,9.0,Hydraulics,7478.0,10627.0,13644.0,16665.0,19451.0,22449.0,25476.0,28539.0,31912.0,34894.0,38847.0,55257.0,59941.0,63820.0,67284.0,71970.0,75842.0,79850.0,83142.0,87340.0,90655.0,91592.0,87665.0,87553.0,67674.0,70442.0,76278.0,106761.0,108229.0,108796.0,109233.0,110294.0,110561.0,110591.0,,,,,,,,,,,
9,152.0,35.0,villeneuve,3.0,1.0,Finished,8001.0,11258.0,14200.0,17081.0,20083.0,22840.0,26024.0,28976.0,32329.0,36032.0,39618.0,44258.0,46102.0,48166.0,50259.0,53492.0,55314.0,57034.0,58787.0,61122.0,62234.0,60985.0,55374.0,56305.0,62691.0,64541.0,65584.0,67073.0,68662.0,69294.0,70273.0,71268.0,71889.0,72073.0,72631.0,72915.0,72803.0,71572.0,71105.0,70546.0,69810.0,68771.0,66109.0,69465.0,62806.0
10,152.0,50.0,verstappen,9.0,11.0,+1 Lap,8930.0,12008.0,15159.0,18410.0,21651.0,26858.0,36087.0,63018.0,66282.0,69362.0,72737.0,76449.0,79866.0,83611.0,87069.0,90889.0,94511.0,97995.0,101114.0,105292.0,108475.0,109042.0,105815.0,104997.0,84961.0,87219.0,91506.0,115942.0,117983.0,119281.0,120411.0,123188.0,124571.0,126279.0,127282.0,128431.0,129058.0,128904.0,129807.0,129763.0,128686.0,128816.0,127366.0,125832.0,
11,152.0,41.0,zonta,20.0,4.0,Collision,9822.0,12852.0,16163.0,19464.0,23359.0,43844.0,94307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
