,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,209086.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,211191.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,213092.0,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,214947.0,4,4,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,215286.0,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,216803.0,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,4,4,5,5,5,5,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,218186.0,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,218744.0,8,8,8,8,8,8,8,8,8,8,8,8,16,14,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,219713.0,9,9,9,9,9,9,9,9,9,9,9,17,14,13,13,12,11,10,10,10,10,10,10,9,7,6,9,9,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0
9,220344.0,10,10,10,10,10,10,10,10,10,11,11,10,9,8,8,7,6,6,6,6,6,6,6,5,6,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10,221094.0,11,11,11,11,11,12,18,19,19,19,19,19,19,17,16,16,14,14,14,14,14,14,14,12,11,11,11,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,0
11,221938.0,12,12,12,12,13,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,222634.0,13,13,14,14,15,14,12,12,12,12,12,11,10,9,9,8,7,7,7,7,7,7,7,7,9,8,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,222657.0,14,14,13,13,12,11,11,11,11,10,10,9,8,7,7,6,12,11,11,11,11,11,11,10,8,7,6,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
14,224159.0,15,16,16,16,16,15,14,14,14,14,14,12,11,10,10,9,8,8,8,8,8,8,8,6,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
15,223718.0,16,15,15,15,14,13,13,13,13,13,13,13,18,15,15,14,13,13,13,13,13,13,13,11,10,10,10,8,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,0
16,224737.0,17,17,17,17,17,16,15,15,16,16,16,15,13,12,12,11,10,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,225267.0,18,18,18,18,18,17,16,16,15,15,15,14,12,11,11,10,9,9,9,9,9,9,9,8,5,9,8,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6
18,225864.0,19,19,19,19,19,18,17,17,17,17,17,16,15,18,18,18,16,16,16,15,15,15,15,13,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,0
19,230113.0,20,20,20,20,20,20,19,18,18,18,18,18,17,16,17,17,15,15,15,16,16,16,16,14,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
