,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,coulthard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,hakkinen,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,frentzen,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,irvine,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,ralf_schumacher,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,3,4,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5
5,zanardi,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,5,8,8,8,8,8,8,8,7,7,8,9,8,8,8,8,8,8,8,8,8,8,8,8
6,damon_hill,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,10,8,7,7,7,6,5,5,5,5,5,5,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6
7,salo,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,9,9,9,8,7,6,6,6,6,6,6,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7
8,barrichello,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,13,12,12,12,10,10,10,10,10,10,10,9,9,9,8,10,10,10,10,10,10,10,10,10,10,10,10
9,herbert,10,10,10,10,10,10,11,11,11,11,11,11,11,12,14,16,16,16,16,16,16,16,15,15,15,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,fisichella,11,11,11,11,12,12,12,12,12,12,12,12,12,11,10,10,9,7,8,8,9,15,14,14,14,14,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,wurz,12,13,13,13,13,13,13,13,14,15,15,14,14,13,11,11,11,10,10,10,11,13,16,16,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
12,alesi,13,12,12,12,11,11,10,10,10,10,10,10,10,10,13,13,13,11,11,11,10,9,9,9,9,9,9,9,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9
13,villeneuve,14,15,15,15,16,16,16,16,16,16,16,15,15,14,12,12,12,12,13,13,13,11,11,11,11,13,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
14,trulli,15,14,14,14,14,14,14,14,13,13,13,13,13,16,17,15,15,15,15,15,15,14,13,13,13,12,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12
15,diniz,16,18,18,18,18,18,18,18,18,18,18,18,16,15,15,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,panis,17,16,16,16,15,15,15,15,15,14,14,17,19,17,16,14,14,14,14,14,14,12,12,12,12,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
17,badoer,18,17,17,17,17,17,17,17,17,17,17,16,17,19,18,17,17,17,17,17,17,17,17,17,17,18,18,17,17,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0
18,gene,19,19,19,19,19,19,19,19,19,19,19,19,18,18,19,19,19,19,19,18,18,18,18,18,18,17,17,16,16,17,17,17,17,16,16,16,16,16,16,16,16,16,16,0
19,rosa,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,18,18,18,18,18,18,17,17,0,0,0,0,0,0,0,0,0
