,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
6,186.0,25.0,wurz,14.0,1.0,Finished,129663.0,249686.0,368632.0,487177.0,605966.0,724756.0,844236.0,962793.0,1082691.0,1202778.0,1322087.0,1440813.0,1559845.0,1678774.0,1797710.0,1915993.0,2034050.0,2153184.0,2271862.0,2390367.0,2510994.0,2636572.0,2773992.0,2891631.0,3009352.0,3127434.0,3244960.0,3363343.0,3481948.0,3600076.0,3718259.0,3836760.0,3954904.0,4073980.0,4192500.0,4310819.0,4428853.0,4547056.0,4665314.0,4783418.0,4902100.0,5020396.0,5138765.0,5260802.0
13,186.0,55.0,alesi,9.0,1.0,Finished,130089.0,248285.0,367096.0,485419.0,604109.0,722020.0,839274.0,955784.0,1072603.0,1189194.0,1306616.0,1424587.0,1542248.0,1668033.0,1803070.0,1919560.0,2036300.0,2154271.0,2272468.0,2390857.0,2508774.0,2625366.0,2741660.0,2858284.0,2974500.0,3090784.0,3207080.0,3323357.0,3447567.0,3579502.0,3695518.0,3812691.0,3929620.0,4046149.0,4163471.0,4280071.0,4396671.0,4513139.0,4629866.0,4746297.0,4862877.0,4979547.0,5097235.0,5216905.0
7,186.0,35.0,villeneuve,15.0,11.0,+1 Lap,130513.0,250784.0,369791.0,488655.0,608946.0,727282.0,846055.0,965754.0,1084794.0,1204142.0,1322873.0,1441692.0,1561229.0,1680686.0,1798936.0,1917275.0,2035736.0,2155450.0,2275488.0,2393950.0,2513665.0,2632181.0,2749800.0,2867528.0,2985203.0,3111311.0,3245945.0,3364020.0,3482279.0,3600455.0,3718506.0,3837118.0,3955154.0,4074400.0,4192718.0,4311329.0,4430300.0,4548462.0,4666944.0,4787317.0,4906853.0,5025124.0,5149704.0,
2,186.0,15.0,trulli,12.0,1.0,Finished,130927.0,250044.0,368870.0,487895.0,606363.0,725210.0,844506.0,963324.0,1081992.0,1199700.0,1318190.0,1437227.0,1556417.0,1684181.0,1816933.0,1933939.0,2050985.0,2168304.0,2285540.0,2402738.0,2520342.0,2637657.0,2754728.0,2871527.0,2988777.0,3105919.0,3222560.0,3338927.0,3455302.0,3580102.0,3711697.0,3828739.0,3945793.0,4062625.0,4179416.0,4296362.0,4413584.0,4530823.0,4648073.0,4765593.0,4883092.0,5001030.0,5119209.0,5239211.0
17,186.0,64.0,diniz,21.0,20.0,Spun off,132206.0,254830.0,374602.0,494433.0,613309.0,732589.0,851552.0,970875.0,1089842.0,1209658.0,1328143.0,1446322.0,1564950.0,1684175.0,1810198.0,1945886.0,2064212.0,2183308.0,2303423.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,186.0,44.0,panis,13.0,1.0,Finished,132397.0,251453.0,370520.0,489211.0,607446.0,725705.0,845037.0,964296.0,1082888.0,1200914.0,1318491.0,1445958.0,1580411.0,1697846.0,1815256.0,1932009.0,2049126.0,2166331.0,2283640.0,2400849.0,2518952.0,2635936.0,2752952.0,2869633.0,2986731.0,3103629.0,3228248.0,3361565.0,3478407.0,3595223.0,3712729.0,3830181.0,3947382.0,4064582.0,4181727.0,4299568.0,4417058.0,4534527.0,4652387.0,4770107.0,4888934.0,5006719.0,5125375.0,5244600.0
19,186.0,69.0,badoer,18.0,22.0,Suspension,132843.0,254174.0,373077.0,491311.0,609955.0,728300.0,847047.0,966850.0,1085663.0,1204988.0,1324080.0,1442668.0,1569819.0,1706884.0,1824874.0,1943415.0,2062233.0,2181487.0,2300467.0,2418633.0,2537727.0,2656063.0,2774849.0,2894013.0,3012592.0,3139172.0,3275476.0,3393785.0,3512322.0,3630524.0,3748453.0,3868558.0,3991749.0,,,,,,,,,,,
11,186.0,48.0,gene,16.0,11.0,+1 Lap,133307.0,255156.0,375417.0,494989.0,614773.0,733622.0,852887.0,972401.0,1092985.0,1212885.0,1332856.0,1453073.0,1574728.0,1703746.0,1838047.0,1956772.0,2075000.0,2193113.0,2311060.0,2430819.0,2548654.0,2666620.0,2784484.0,2902045.0,3019418.0,3136281.0,3253070.0,3370301.0,3497191.0,3632287.0,3750036.0,3868750.0,3991963.0,4110235.0,4229601.0,4347588.0,4465612.0,4583784.0,4702028.0,4820412.0,4939039.0,5059174.0,5179557.0,
8,186.0,37.0,rosa,17.0,7.0,Transmission,134414.0,256146.0,376488.0,496768.0,618372.0,738659.0,859554.0,980678.0,1101229.0,1222229.0,1342710.0,1462570.0,1583249.0,1711907.0,1847127.0,1965607.0,2086454.0,2206757.0,2326509.0,2447629.0,2566926.0,2688500.0,2808121.0,2927903.0,3047444.0,3166818.0,3286007.0,3406595.0,3533524.0,3673675.0,3792313.0,3912571.0,4031407.0,4150767.0,4270106.0,,,,,,,,,
9,186.0,41.0,zonta,19.0,6.0,Gearbox,232416.0,352865.0,475367.0,596925.0,720922.0,843656.0,967943.0,1089048.0,1210549.0,1331032.0,1452293.0,1575246.0,1696806.0,1819328.0,1939402.0,2060626.0,2180636.0,2302519.0,2422532.0,2542761.0,2670428.0,2809199.0,2929554.0,3048674.0,3167592.0,3287065.0,3407401.0,3526500.0,3645495.0,3765049.0,3884312.0,4003567.0,4176945.0,,,,,,,,,,,
