,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
13,25.0,14.0,coulthard,9.0,1.0,Finished,85918.0,166311.0,245900.0,325080.0,404407.0,483645.0,563098.0,642408.0,721764.0,800925.0,879817.0,958267.0,1037213.0,1115788.0,1194008.0,1272232.0,1350493.0,1429234.0,1507610.0,1585752.0,1663824.0,1741654.0,1819472.0,1897334.0,1975191.0,2054617.0,2156769.0,2236045.0,2315361.0,2394216.0,2473137.0,2551879.0,2630649.0,2709309.0,2787926.0,2866438.0,2945152.0,3023591.0,3102054.0,3180457.0,3258598.0,3336810.0,3415064.0,3493409.0,3571405.0,3649371.0,3727468.0,3805721.0,3884133.0,3962094.0,4040117.0,4120149.0,4221478.0,4300064.0,4378915.0,4458055.0,4538707.0,4619420.0,4699214.0,4778415.0,4856884.0,4935524.0,5013908.0,5092210.0,5170403.0,5248522.0,5326696.0,5405004.0,5483363.0,5561317.0
18,25.0,20.0,vettel,12.0,1.0,Finished,86486.0,166726.0,246776.0,326294.0,405561.0,485065.0,564387.0,643732.0,723486.0,803087.0,882203.0,961176.0,1039925.0,1118785.0,1197443.0,1276155.0,1354705.0,1433115.0,1511503.0,1589738.0,1667982.0,1746368.0,1824594.0,1904478.0,1982528.0,2061132.0,2139281.0,2217718.0,2297900.0,2397536.0,2476600.0,2555862.0,2634839.0,2713479.0,2792325.0,2870085.0,2948178.0,3026548.0,3104547.0,3182568.0,3260635.0,3338631.0,3416630.0,3494521.0,3572597.0,3650906.0,3728707.0,3808654.0,3908837.0,3987424.0,4066375.0,4145231.0,4224356.0,4304669.0,4383716.0,4462937.0,4542643.0,4621960.0,4701791.0,4781112.0,4860301.0,4939252.0,5018055.0,5097235.0,5175701.0,5254302.0,5332919.0,5411536.0,5490147.0,5568310.0
2,25.0,2.0,heidfeld,13.0,1.0,Finished,87074.0,167559.0,247706.0,327721.0,407248.0,486769.0,566183.0,645859.0,725620.0,804882.0,884538.0,963559.0,1042509.0,1121395.0,1200223.0,1279005.0,1357664.0,1436039.0,1514453.0,1592858.0,1671535.0,1750109.0,1828618.0,1907163.0,1985861.0,2064430.0,2142865.0,2221521.0,2301399.0,2399910.0,2478136.0,2557233.0,2635938.0,2714657.0,2793508.0,2871803.0,2950119.0,3029629.0,3108029.0,3186201.0,3264358.0,3342233.0,3420220.0,3498115.0,3575976.0,3653692.0,3732120.0,3812341.0,3911693.0,3990137.0,4068782.0,4147913.0,4227582.0,4307114.0,4386343.0,4466038.0,4547921.0,4628981.0,4708451.0,4787678.0,4866195.0,4944605.0,5023213.0,5101368.0,5179635.0,5259346.0,5338164.0,5416533.0,5494409.0,5572324.0
6,25.0,6.0,nakajima,15.0,11.0,+1 Lap,87559.0,168630.0,248806.0,329223.0,409631.0,489851.0,569976.0,649918.0,729887.0,809493.0,889064.0,968813.0,1048451.0,1128360.0,1207839.0,1287162.0,1366538.0,1445778.0,1524911.0,1604194.0,1682922.0,1761806.0,1840522.0,1919753.0,1998699.0,2079444.0,2158556.0,2237987.0,2317093.0,2396147.0,2476147.0,2555224.0,2633927.0,2712441.0,2792981.0,2896564.0,2976022.0,3055491.0,3135142.0,3214381.0,3293503.0,3372725.0,3451756.0,3531055.0,3609894.0,3688762.0,3767434.0,3845950.0,3924310.0,4002806.0,4081309.0,4159872.0,4238304.0,4316603.0,4395357.0,4474254.0,4555999.0,4637821.0,4738325.0,4816379.0,4894790.0,4976355.0,5055154.0,5133988.0,5212759.0,5291974.0,5370782.0,5449633.0,5528926.0,
7,25.0,7.0,bourdais,17.0,11.0,+1 Lap,88116.0,169091.0,249339.0,329836.0,410171.0,490489.0,570516.0,650539.0,730619.0,810386.0,889708.0,969287.0,1049327.0,1128821.0,1208401.0,1288670.0,1367861.0,1446643.0,1525621.0,1604699.0,1683768.0,1762933.0,1841615.0,1920216.0,1999160.0,2080270.0,2181805.0,2260021.0,2338902.0,2417558.0,2496077.0,2574810.0,2653662.0,2736276.0,2815180.0,2895917.0,2974810.0,3054830.0,3133959.0,3213122.0,3292093.0,3371007.0,3450207.0,3529011.0,3607493.0,3687739.0,3788657.0,3868892.0,3947798.0,4027563.0,4106784.0,4185504.0,4267645.0,4346412.0,4424895.0,4504079.0,4583927.0,4663539.0,4742290.0,4822579.0,4901376.0,4979903.0,5058123.0,5136589.0,5215491.0,5294092.0,5372427.0,5451306.0,5530274.0,
19,25.0,21.0,fisichella,18.0,11.0,+1 Lap,88500.0,170525.0,251322.0,332050.0,412873.0,493271.0,573783.0,654117.0,734418.0,814380.0,894236.0,974101.0,1053823.0,1133704.0,1213719.0,1293414.0,1373469.0,1453196.0,1532948.0,1612554.0,1691868.0,1771285.0,1850417.0,1929623.0,2008674.0,2087675.0,2166553.0,2245437.0,2324375.0,2403334.0,2482299.0,2563002.0,2664621.0,2743767.0,2823485.0,2903366.0,2982911.0,3063079.0,3142686.0,3221896.0,3301340.0,3380742.0,3459835.0,3538935.0,3617724.0,3696721.0,3775835.0,3854629.0,3933284.0,4011844.0,4090723.0,4169483.0,4248040.0,4328556.0,4429688.0,4509703.0,4590055.0,4669624.0,4749770.0,4829391.0,4908907.0,4988341.0,5067694.0,5150765.0,5230898.0,5313424.0,5397203.0,5476811.0,5557032.0,
15,25.0,16.0,sutil,19.0,11.0,+1 Lap,89313.0,172012.0,252841.0,333338.0,414007.0,495321.0,575812.0,656366.0,736264.0,816282.0,896302.0,975964.0,1056041.0,1136295.0,1215633.0,1295389.0,1376471.0,1455590.0,1535637.0,1616230.0,1717951.0,1799275.0,1878748.0,1960859.0,2040262.0,2119832.0,2198936.0,2277959.0,2356805.0,2435683.0,2514509.0,2593340.0,2672693.0,2751647.0,2830419.0,2909136.0,2987835.0,3066635.0,3145400.0,3224093.0,3302555.0,3381701.0,3462118.0,3565445.0,3644925.0,3726228.0,3809718.0,3890180.0,3973799.0,4057421.0,4137388.0,4216728.0,4296567.0,4376267.0,4455876.0,4536057.0,4616277.0,4695987.0,4775445.0,4854567.0,4933473.0,5012594.0,5098996.0,5178196.0,5260326.0,5339745.0,5418775.0,5497822.0,5577001.0,
20,25.0,22.0,barrichello,14.0,11.0,+1 Lap,89655.0,170891.0,251839.0,332657.0,413370.0,494510.0,574845.0,655161.0,735405.0,815536.0,895375.0,975165.0,1055742.0,1135381.0,1214879.0,1294706.0,1374526.0,1454145.0,1534021.0,1613520.0,1692894.0,1772107.0,1851362.0,1930532.0,2009570.0,2088654.0,2167542.0,2246674.0,2325576.0,2404695.0,2483709.0,2562451.0,2640872.0,2720286.0,2821616.0,2901379.0,2980275.0,3059183.0,3138174.0,3217313.0,3296609.0,3375537.0,3454414.0,3533204.0,3611858.0,3690503.0,3769114.0,3847698.0,3926185.0,4004636.0,4083309.0,4162449.0,4240770.0,4318739.0,4396842.0,4476671.0,4577124.0,4656244.0,4735029.0,4813558.0,4892233.0,4970994.0,5050035.0,5128976.0,5208247.0,5287420.0,5366677.0,5446029.0,5525471.0,
3,25.0,3.0,rosberg,16.0,11.0,+1 Lap,90112.0,172371.0,253439.0,334106.0,415103.0,495905.0,576984.0,657638.0,738122.0,818443.0,898559.0,978380.0,1058364.0,1138399.0,1218334.0,1298382.0,1378078.0,1458179.0,1537969.0,1619140.0,1698922.0,1779254.0,1858227.0,1937179.0,2016168.0,2095449.0,2174244.0,2254753.0,2333995.0,2413184.0,2492498.0,2571589.0,2650522.0,2729268.0,2808115.0,2886640.0,2965145.0,3043456.0,3122246.0,3202629.0,3306563.0,3386101.0,3465614.0,3544759.0,3624715.0,3705730.0,3785658.0,3864989.0,3944390.0,4024820.0,4103891.0,4183176.0,4261953.0,4340572.0,4419377.0,4498845.0,4579824.0,4659975.0,4739595.0,4818706.0,4897371.0,4976893.0,5055876.0,5134588.0,5213520.0,5292604.0,5371631.0,5450556.0,5529617.0,
17,25.0,18.0,button,20.0,4.0,Collision,90561.0,172696.0,253974.0,336115.0,442395.0,552808.0,634514.0,716126.0,801555.0,885124.0,966032.0,1046959.0,1130498.0,1211469.0,1292345.0,1381103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
