,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
2,872.0,3.0,rosberg,7.0,1.0,Finished,99711.0,193072.0,284711.0,376601.0,470374.0,561882.0,653410.0,744914.0,836139.0,927806.0,1019280.0,1110457.0,1201668.0,1296303.0,1406071.0,1496784.0,1586795.0,1677107.0,1767581.0,1857360.0,1946920.0,2038135.0,2128256.0,2217657.0,2307727.0,2397219.0,2486691.0,2575771.0,2665041.0,2754635.0,2843856.0,2933595.0,3023176.0,3112271.0,3201273.0,3290576.0,3380688.0,3474251.0,3581288.0,3669567.0,3758116.0,3846230.0,3934664.0,4022542.0,4110137.0,4198898.0,4287420.0,4375553.0,4464054.0,4552479.0,4639939.0,4727532.0,4814771.0
20,872.0,815.0,perez,2.0,1.0,Finished,99818.0,192013.0,283614.0,374788.0,466378.0,557529.0,648018.0,739299.0,830627.0,921512.0,1012045.0,1103407.0,1193907.0,1284732.0,1375789.0,1466043.0,1556701.0,1647161.0,1737709.0,1828030.0,1918243.0,2008733.0,2099312.0,2190026.0,2280233.0,2370639.0,2460768.0,2550947.0,2645781.0,2753678.0,2842717.0,2931763.0,3021121.0,3109841.0,3199256.0,3289283.0,3377946.0,3466074.0,3553920.0,3641673.0,3729467.0,3817355.0,3906152.0,3993857.0,4082207.0,4170480.0,4258488.0,4346550.0,4434814.0,4522445.0,4610427.0,4698015.0,4785577.0
22,872.0,817.0,ricciardo,12.0,1.0,Finished,100284.0,193632.0,285472.0,378162.0,470688.0,562368.0,653977.0,745749.0,837379.0,929047.0,1020561.0,1111734.0,1202998.0,1294227.0,1385742.0,1476582.0,1567952.0,1659104.0,1750347.0,1841406.0,1933104.0,2026320.0,2118158.0,2212736.0,2322121.0,2412647.0,2502896.0,2592542.0,2682205.0,2771802.0,2861351.0,2950802.0,3040096.0,3129870.0,3219231.0,3308575.0,3397904.0,3488094.0,3577542.0,3667395.0,3756724.0,3845842.0,3935730.0,4024725.0,4113496.0,4202117.0,4291294.0,4380770.0,4469965.0,4559159.0,4648414.0,4737457.0,4831537.0
8,872.0,17.0,webber,20.0,76.0,Vibrations,100781.0,193981.0,285914.0,377559.0,469447.0,560481.0,651405.0,742329.0,833586.0,925229.0,1016649.0,1107727.0,1199048.0,1289936.0,1380986.0,1471960.0,1562725.0,1653614.0,1744533.0,1835378.0,1929365.0,2038782.0,2129417.0,2219325.0,2309213.0,2399199.0,2488836.0,2578335.0,2667856.0,2757344.0,2847064.0,2936718.0,3026232.0,3116175.0,3206061.0,3295757.0,3385841.0,3476600.0,3566177.0,3655820.0,3745395.0,3834824.0,3924026.0,4013454.0,4102908.0,4192158.0,4281779.0,4371353.0,4461921.0,4558762.0,4680259.0,,
21,872.0,816.0,ambrosio,13.0,1.0,Finished,101438.0,195171.0,287774.0,379880.0,471564.0,563350.0,655550.0,748217.0,840052.0,932135.0,1023870.0,1115403.0,1206881.0,1300103.0,1391846.0,1483438.0,1575802.0,1668020.0,1761330.0,1854031.0,1945583.0,2037390.0,2130428.0,2221976.0,2313964.0,2410438.0,2506101.0,2614804.0,2704942.0,2794804.0,2884512.0,2974619.0,3065323.0,3155720.0,3246762.0,3337355.0,3427253.0,3517319.0,3606744.0,3696192.0,3786510.0,3875597.0,3964583.0,4053547.0,4142865.0,4232147.0,4321503.0,4410857.0,4499869.0,4588825.0,4679532.0,4768209.0,4857082.0
4,872.0,5.0,kovalainen,14.0,11.0,+1 Lap,101930.0,196344.0,289928.0,382506.0,474944.0,567539.0,660119.0,752161.0,844527.0,936951.0,1029016.0,1121187.0,1212977.0,1305295.0,1397200.0,1489517.0,1585117.0,1695462.0,1787184.0,1879199.0,1970558.0,2061865.0,2153312.0,2244523.0,2335665.0,2426740.0,2517812.0,2608686.0,2699540.0,2790299.0,2881096.0,2971798.0,3062827.0,3153521.0,3244327.0,3335202.0,3426252.0,3517907.0,3612098.0,3720232.0,3810436.0,3900360.0,3990392.0,4080292.0,4172450.0,4261849.0,4351477.0,4441503.0,4531538.0,4622275.0,4712307.0,4802320.0,
23,872.0,818.0,vergne,24.0,22.0,Suspension,102212.0,195803.0,288676.0,380776.0,473182.0,565144.0,657361.0,749877.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,872.0,807.0,hulkenberg,21.0,23.0,Brakes,102633.0,196701.0,289370.0,381356.0,473601.0,565548.0,657470.0,750653.0,841843.0,933351.0,1024738.0,1116270.0,1207387.0,1299114.0,1390500.0,1481497.0,1572585.0,1663417.0,1754420.0,1845383.0,1936421.0,2028067.0,2119747.0,2211608.0,2303208.0,2394417.0,2488785.0,2597706.0,2687774.0,2777394.0,2866831.0,2956615.0,3046362.0,3136111.0,3225719.0,3315217.0,3404766.0,3494059.0,3583616.0,3672846.0,3762628.0,3852034.0,3941089.0,4030387.0,4119299.0,4207877.0,4296571.0,4385739.0,4474584.0,4576379.0,,,
18,872.0,813.0,maldonado,11.0,1.0,Finished,102927.0,197094.0,291413.0,383444.0,475329.0,567787.0,659064.0,751149.0,842638.0,934387.0,1025644.0,1117258.0,1211739.0,1321472.0,1411860.0,1502053.0,1592647.0,1682920.0,1772573.0,1862836.0,1952738.0,2043357.0,2133883.0,2224284.0,2315061.0,2405884.0,2496188.0,2586309.0,2676320.0,2766163.0,2856013.0,2946075.0,3035900.0,3125849.0,3218917.0,3324859.0,3413411.0,3502000.0,3590266.0,3678346.0,3766841.0,3855431.0,3944532.0,4033525.0,4121837.0,4210159.0,4298602.0,4386933.0,4475470.0,4563853.0,4651906.0,4740843.0,4829903.0
16,872.0,808.0,petrov,15.0,11.0,+1 Lap,103423.0,197983.0,290912.0,383885.0,476332.0,568823.0,660988.0,753772.0,846211.0,938654.0,1030830.0,1123161.0,1215183.0,1307628.0,1399647.0,1491763.0,1583868.0,1676236.0,1772741.0,1882734.0,1974011.0,2065264.0,2156587.0,2247679.0,2338755.0,2429658.0,2520522.0,2611296.0,2702024.0,2792625.0,2883381.0,2973955.0,3064687.0,3155184.0,3246207.0,3337077.0,3428294.0,3519448.0,3610258.0,3704119.0,3812466.0,3902071.0,3991270.0,4083431.0,4173337.0,4262403.0,4352171.0,4442153.0,4531896.0,4622617.0,4712687.0,4802519.0,
6,872.0,10.0,glock,17.0,11.0,+1 Lap,103878.0,198633.0,291798.0,384720.0,477616.0,570611.0,666439.0,784573.0,877521.0,969934.0,1062971.0,1155427.0,1247923.0,1340425.0,1432704.0,1524811.0,1616868.0,1709207.0,1801425.0,1893326.0,1985355.0,2077234.0,2169032.0,2260950.0,2352898.0,2445058.0,2537128.0,2629110.0,2720772.0,2812696.0,2904753.0,3000684.0,3113866.0,3204594.0,3297707.0,3388497.0,3480240.0,3570775.0,3661037.0,3752550.0,3843598.0,3933811.0,4026071.0,4117768.0,4209037.0,4300143.0,4390861.0,4480977.0,4570921.0,4660809.0,4750789.0,4840833.0,
24,872.0,819.0,pic,16.0,11.0,+1 Lap,104495.0,199190.0,292801.0,386019.0,478813.0,571604.0,664276.0,756834.0,849568.0,942275.0,1034897.0,1127346.0,1219775.0,1312133.0,1404492.0,1497332.0,1590141.0,1686325.0,1798166.0,1889688.0,1981109.0,2072502.0,2164119.0,2255660.0,2347151.0,2438643.0,2530082.0,2621443.0,2712829.0,2803937.0,2894883.0,2985835.0,3076920.0,3167832.0,3262251.0,3371096.0,3461155.0,3551027.0,3641042.0,3731877.0,3821893.0,3911802.0,4001660.0,4091413.0,4181291.0,4271138.0,4361283.0,4451426.0,4541209.0,4631041.0,4721002.0,4813440.0,
13,872.0,39.0,karthikeyan,19.0,11.0,+1 Lap,104978.0,199973.0,294107.0,387586.0,480762.0,574137.0,667297.0,760492.0,853467.0,946795.0,1040186.0,1133710.0,1226763.0,1320046.0,1413392.0,1506686.0,1600033.0,1693321.0,1786454.0,1880192.0,1973206.0,2067549.0,2163983.0,2285517.0,2377310.0,2468767.0,2561238.0,2654157.0,2748314.0,2841123.0,2934143.0,3025973.0,3117996.0,3209906.0,3301973.0,3394117.0,3485927.0,3578109.0,3670050.0,3763119.0,3854402.0,3946573.0,4038061.0,4129147.0,4220452.0,4311927.0,4403757.0,4495360.0,4587380.0,4680176.0,4775174.0,4867733.0,
12,872.0,37.0,rosa,18.0,11.0,+1 Lap,105383.0,200796.0,294874.0,388331.0,481645.0,575359.0,668758.0,762097.0,855384.0,948699.0,1042016.0,1136305.0,1230099.0,1324072.0,1417784.0,1512021.0,1605678.0,1699382.0,1792790.0,1886518.0,1980056.0,2077155.0,2189886.0,2282817.0,2375334.0,2467200.0,2559590.0,2651551.0,2745207.0,2837465.0,2929860.0,3023840.0,3115451.0,3208704.0,3300880.0,3392139.0,3483342.0,3575630.0,3668065.0,3759730.0,3851753.0,3943316.0,4035205.0,4126344.0,4217410.0,4308434.0,4399480.0,4490485.0,4581294.0,4671965.0,4762363.0,4852865.0,
