,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,fisichella,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,3,2,2,2,2,2,2,2,2,2
1,raikkonen,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,1,1
2,kubica,3,3,3,3,3,3,3,3,3,3,3,3,8,8,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4
3,glock,4,4,4,4,4,4,4,4,4,4,4,6,12,12,12,12,12,11,11,11,11,10,10,10,9,9,8,7,7,7,7,8,10,10,10,10,10,10,10,10,10,10,10,10
4,trulli,5,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,webber,6,5,5,5,5,5,5,5,5,5,5,4,3,3,11,11,11,12,12,12,12,11,11,11,10,10,9,8,8,8,8,7,6,6,9,9,9,9,9,9,9,9,9,9
6,heidfeld,7,6,6,6,6,6,6,6,6,6,6,5,4,5,9,9,9,9,8,8,8,7,7,7,6,6,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5
7,rosberg,8,7,7,7,8,8,8,8,8,8,8,8,6,6,2,2,1,3,10,10,10,9,9,9,8,8,7,6,6,6,6,6,7,9,8,8,8,8,8,8,8,8,8,8
8,vettel,9,8,8,8,7,7,7,7,7,7,7,7,5,4,1,1,8,8,7,7,6,6,6,6,5,4,4,4,4,3,3,1,1,1,1,3,3,3,3,3,3,3,3,3
9,alonso,10,9,9,9,9,9,9,9,9,9,9,9,7,7,5,5,4,4,3,3,3,3,3,4,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,kovalainen,11,10,10,10,10,10,10,10,10,10,10,10,9,9,7,7,6,6,5,5,5,5,5,5,4,5,10,9,9,9,9,9,8,7,6,6,6,6,6,6,6,6,6,6
11,buemi,12,11,11,11,11,11,11,11,11,11,11,11,10,10,8,8,7,7,6,6,7,12,12,12,11,11,11,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,nakajima,13,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,barrichello,14,15,15,15,13,13,12,12,12,12,12,12,11,11,10,10,10,10,9,9,9,8,8,8,7,7,6,11,11,10,10,10,9,8,7,7,7,7,7,7,7,7,7,7
14,badoer,15,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
